lake,lake_ID_andClass,abs_440,DOC,chlA,color_chlA,tdp,tdn,tdp_mol,tdn_mol,dD_H2O,d18O_H2O,pCO2,pDIC,pCO3_HCO3,CH4,caddisd13c,caddisd15n,caddisd2H,calanoidd13c,calanoidd15n,calanoidd2H,cladocerand13c,cladocerand15n,cladocerand2H,POMd13C,POMd15N,phytod2H,N2O,pH,temp,DO_sat_corr,DO_mgL,spCond,lake_area,shed_area,shed_lake_areaRatio,prop_veg,vegshed:lakearea,elev,DO_sat_true,FI,d18O_O2,O2_Ar,d13C_DIC
Morgenroth,214,0.02258395,0.488103192,0.554102165,0.040757736,2.961351313,122.7256464,0.095622034,8.761383898,-81.4243,-11.40895,2475.500926,4700.851171,2225.350245,5.99E-08,-23.89465,1.854547,-201.1089785,-34.1952,7.0092,-191.9068264,-31.5123,5.4979,-184.2773601,-31.5661,-1.170605,-238.8064418,0.314540574,7.99,16,84.9,8.37,0.061,10.97862483,238.0879854,21.68650346,0.928742336,20.14117389,1320.6984,99.9535,1.24345116,-0.876666667,19,-9.2
No Name,204,0.0175042,0.518417731,1.112473156,0.015734492,1.386271659,124.9329299,0.044762712,8.918961864,-83.9582,-11.83845,5438.530562,8592.242748,3153.712186,5.00E-07,-26.4785,1.33923,-213.0406455,,,,,,,-30.8165,-2.040188,-231.4500044,0.345952401,8.13,14.42,87.4,8.95,0.088,3.463139115,184.1190288,53.16535741,0.958707938,50.97005016,1293.5712,102.91457,1.214029096,-2.69,19.51666667,-10.21
O,131,0.135737,4.534090823,3.673624967,0.036949063,24.87748739,474.1717019,0.803294068,33.8511178,-35.0595,-0.848045,127.4396533,1000.027814,872.5881607,5.30E-07,,,,-27.4428,4.36175,-145.6256812,-26.9176,3.6885,-141.1080836,-28.2329,-0.83973,-206.33362,0.317333437,5.31,13.25,74.3,7.77,0.005,0.069717505,5.6972797,81.71950072,1,81.71950072,1285.0368,86.95565,1.292530776,-0.966666667,17.9,-20.28666667
C,111,0.05382655,2.436255583,1.695083798,0.031754507,18.6752471,434.2334895,0.603023729,30.99992881,-61.1902,-4.50945,125.2042643,657.2345719,532.0303076,5.69E-07,-25.12795,3.2933,-161.5502479,-29.5801,4.61707,-154.796696,-26.9549,4.376,-149.8604261,-30.02745,-0.02825,-201.2531728,0.305063042,5.36,13.23,72.9,7.64,0.003,0.068383229,4.904420066,71.71963269,1,71.71963269,1305.7632,81.9855,1.33171312,-1.08,17.96,-20.38666667
Z,141,0.6055065,7.017589854,12.63179379,0.047935116,45.63222071,489.6709172,1.473464407,34.95760678,-57.5709,-4.74745,287.1616578,819.1400556,531.9783978,1.18E-06,-26.3411,3.5433,-152.4652407,-28.7121,5.16805,-141.317118,-28.0407,4.1421,-145.5611315,-31.6874,-1.03224,-209.7088898,0.598258448,5.2,11.3,65.7,7.42,0.006,0.003409815,0.538358776,157.8850395,1,157.8850395,1293.5712,76.38343,1.201073764,-0.353333333,16.01333333,-20.02666667
L,121,1.0774,10.07609732,4.850016185,0.222143589,138.0035536,1289.116123,4.456134746,92.03,-47.74645,-1.63935,390.523759,1381.199583,990.675824,1.96E-06,,,,-27.7709,3.70745,-147.6181319,-26.2529,4.34335,-145.2838155,-31.1327,-1.19844,-202.9462692,0.205456535,5.025,9.6,45,9.2,0.006,0.028457222,5.087690639,178.7838124,0.946930736,169.295887,1295.0952,105.52941,1.204160383,-0.316666667,12.74333333,-23.25
Mirror,172,0.0120709,0.258876041,1.331573458,0.00906514,6.419340616,126.2124734,0.207280508,9.010308475,-86.56905,-10.68505,146.0417399,1457.942726,1311.900986,-7.18E-09,-22.3411,1.2281,-200.1210359,-27.73265,3.76295,-191.1714257,,,,-27.3909,-2.392108,-243.5231522,0.334185947,7.69,14.3,87.16,8.96,0.021,1.854149437,10.33555912,5.574285931,0.777810605,4.335738715,1438.9608,100.92763,1.301097477,-0.923333333,19.95333333,-6.11
Y-015,182,0.0184853,0.426375196,1.353662632,0.013655766,4.536430967,119.1792398,0.146481356,8.508205932,-75.04475,-8.5381,104.6328807,270.6846544,166.0517737,1.09E-07,-20.6719,1.14814,-199.6721218,-26.57525,3.3681,-197.7577272,,,,-29.9675,-4.315367,-230.4086294,0.35620671,5.88,12.69,84.8,8.98,0.002,0.824578657,12.44457331,15.09203907,0.144200688,2.176282416,1461.516,103.37584,1.410554918,0.146666667,19.92666667,-10.685
Y-025,192,0.008737565,0.485796406,0.746890431,0.01169859,3.787734042,150.7337471,0.122305932,10.7608822,-86.4781,-10.58285,530.6833516,2396.052919,1865.369567,1.93E-08,-21.9723,1.05524,-203.9628483,-24.6669,4.67125,-199.610571,,,,-26.5364,-1.509477,-239.6506164,0.315428114,8.16,13.98,99.1,10.2,0.038,1.854917758,16.76315455,9.037141662,0.833735444,7.53458532,1455.1152,125.79703,1.815140781,-0.646666667,20.39333333,-9.28
Clear,153,0.0252972,1.148973761,2.013934806,0.012561082,3.463395814,163.029848,0.111833051,11.63870085,-87.786,-10.7254,494.3359338,2366.339709,1872.003775,1.77E-07,-24.9591,1.12492,-167.3892814,-35.2658,6.7236,-197.1874358,-30.46385,5.11275,-187.3215552,-35.01375,-0.374935,-237.6168296,0.304885117,7.61,16.72,90.7,8.83,0.031,5.152976224,34.35081128,6.666207991,0.827007118,5.51300146,1288.6944,94.05046,1.220726541,-2.0675,19.9425,-9.0375
Milk,163,0.0161917,0.528050291,0.7556171,0.021428446,4.321823937,113.0850948,0.139551695,8.073144915,-97.59605,-12.1692,1304.570112,3122.33029,1817.760178,4.92E-08,-24.0175,0.52883,-203.833692,-36.1413,4.3027,-210.4316883,,,,-36.6821,-2.00197,-237.0273636,0.3913646,8.09,11.07,85.1,9.37,0.034,2.3,41.98815699,18.25572043,0.623577613,11.38385857,1434.9984,103.36754,1.247042896,0.21,19.70333333,-7.026666667
Morgenroth 7m,,0.0234928,0.466314961,0.859540013,0.027331828,4.121782994,112.9489128,0.133092373,8.063422881,,,6195.55929,11809.6594,5614.10011,7.35E-08,,,,,,,,,,,,,0.201538866,,11.8,68.2,7.41,0.095,10.97862483,238.0879854,21.68650346,0.928742336,20.14117389,1320.6984,88.14674,1.251477122,-5.525,14.7775,-12.5925
Clear 7m,,0.02385355,1.178055814,3.563844972,0.006693206,1.701870233,185.3920693,0.05495339,13.23513983,-77.8519,-10.65,,,,,,,,,,,,,,,,,,,15.82,88.8,8.81,0.032,5.152976224,34.35081128,6.666207991,0.827007118,5.51300146,1288.6944,104.78856,,,,
