"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.68010951574044,-0.675721247042568,-5.53920535838606,-6.192393333,-30.3262747735783,-30.3136079281155,-25.2064745777947,-28.37235,-187.162243330184,-201.253172773352,-211.262327557099,-157.3064625,1.5575292082737,3.7511322966301,4.20462664764085,2.72679794,1.5801053429097,3.70667987170878,3.58636057287823,1.540348521,11.8249290679107,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-0.0508254139878517,-0.728699990447754,-6.46798501412974,-6.192393333,-35.742961214377,-32.1044096570966,-22.7796641430676,-28.37235,-233.988518576067,-237.616829617785,-227.787682602852,-161.4372422,1.56476050218442,3.48261682981135,3.3982703316688,2.72679794,1.32701456229653,6.45127707251769,4.51888769214587,1.540348521,10.7183280159472,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-3.2581032566887,-0.721784725465159,-7.65432810491417,-6.192393333,-28.195923117499,-31.3903811904155,-25.1079696058431,-28.37235,-181.714717909044,-202.946269245913,-217.512557680938,-161.4372422,1.52098882887677,2.92072854139188,3.97466871061764,2.72679794,1.44630629491938,3.59701827314883,3.25892219929203,1.540348521,10.1278942432955,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-2.41103252718426,-1.94053917933561,-7.5686129488159,-6.96259,-37.2349120385243,-32.4515177478187,-22.1592642142546,-26.644,-252.085034660337,-237.027363610288,-240.011620742348,-157.3064625,1.60587454642736,3.20968864136549,3.27273643587308,2.597857878,1.51662108995367,8.11793270565709,5.3829295577982,1.617015005,10.7618236492506,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-3.35952678247685,-1.79507364081246,-6.09769794200679,-6.96259,-27.904623137929,-27.9489558260143,-18.4895861890801,-26.644,-229.03803758756,-243.523152175726,-238.385449279191,-161.4372422,1.46749161388671,3.10695183848198,3.88259430512398,2.597857878,1.48149450516068,5.29813250159769,9.52930765829312,1.617015005,9.76133600343105,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",0.262982166079226,-0.960049617528894,-7.80192835236272,-6.192393333,-35.1452753278429,-31.7799914745219,-19.9873055133148,-28.37235,-231.033858644992,-238.806441823403,-240.461821563758,-161.4372422,1.42340053510486,2.85309684927098,3.82651134016102,2.72679794,1.61964906551202,3.98785287863553,5.33631412493896,1.540348521,10.0037639283483,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-2.70568872630122,-0.69926785053141,-6.11366558769981,-6.192393333,-28.0552782484604,-30.6806216574121,-25.0778859628808,-28.37235,-192.991281161238,-206.333620030204,-212.680762382593,-161.4372422,1.53804526324108,3.26568085635706,6.24774036262642,2.72679794,1.53416769608488,4.6710577016353,3.60611864892801,1.540348521,11.1385321340779,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-3.00444713745104,-1.47041920931745,-7.57753974517591,-6.96259,-27.5417196511584,-30.1011969942632,-19.6018624893783,-26.644,-242.465051857153,-230.408629430576,-241.345817293268,-157.3064625,1.62357489151228,4.8384898450801,3.32054538405981,2.597857878,1.44455828934526,4.71366481747617,5.63245678860225,1.617015005,10.3235624678643,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-2.12030796597352,-1.27020837550997,-6.54954856384784,-6.96259,-25.6436915429757,-27.2167640801548,-21.6691185002807,-26.644,-236.07047966155,-239.650616434034,-242.91541846195,-157.3064625,1.4987833024264,3.08975196758895,3.34457631102079,2.597857878,1.56231594354079,6.06113545108123,5.02108871404274,1.617015005,9.68075156808353,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-1.88868339437282,-0.708715007705383,-7.19115771701392,-6.192393333,-29.7506268203188,-31.6495502283268,-25.0540556618901,-28.37235,-173.36637511712,-209.708889815053,-220.566497783563,-157.3064625,1.41044829259226,2.89767873970557,3.48363297232447,2.72679794,1.54652407122056,3.95148394334033,3.21138082089687,1.540348521,9.87090178823776,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-1.80966471606604,-1.94053917933561,-7.5686129488159,-6.96259,-34.5298322970832,-32.4515177478187,-22.1592642142546,-26.644,-221.252935734295,-237.027363610288,-240.011620742348,-157.3064625,1.438650924656,3.20968864136549,3.27273643587308,2.597857878,1.58619904540026,8.11793270565709,5.3829295577982,1.617015005,10.3996989644539,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-2.25931182753359,-0.675721247042568,-5.53920535838606,-6.192393333,-27.4817729584492,-30.3136079281155,-25.2064745777947,-28.37235,-179.267474021634,-201.253172773352,-211.262327557099,-157.3064625,1.43202594545327,3.7511322966301,4.20462664764085,2.72679794,1.39786884105171,3.70667987170878,3.58636057287823,1.540348521,9.54020835595664,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-1.54743533387696,-0.728699990447754,-6.46798501412974,-6.192393333,-31.5412331384791,-32.1044096570966,-22.7796641430676,-28.37235,-225.546994730401,-237.616829617785,-227.787682602852,-161.4372422,1.59993206827315,3.48261682981135,3.3982703316688,2.72679794,1.54320286288777,6.45127707251769,4.51888769214587,1.540348521,10.8211853700344,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-2.06597968210117,-0.721784725465159,-7.65432810491417,-6.192393333,-27.1424612149076,-31.3903811904155,-25.1079696058431,-28.37235,-180.890113153784,-202.946269245913,-217.512557680938,-161.4372422,1.63964393844898,2.92072854139188,3.97466871061764,2.72679794,1.48827177311614,3.59701827314883,3.25892219929203,1.540348521,11.1488237452601,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-1.18185541980681,-0.960049617528894,-7.80192835236272,-6.192393333,-32.4392994815663,-31.7799914745219,-19.9873055133148,-28.37235,-220.74755810014,-238.806441823403,-240.461821563758,-161.4372422,1.48165130600528,2.85309684927098,3.82651134016102,2.72679794,1.48734569172726,3.98785287863553,5.33631412493896,1.540348521,10.5730948533176,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-2.89775110144832,-0.69926785053141,-6.11366558769981,-6.192393333,-27.9100228386536,-30.6806216574121,-25.0778859628808,-28.37235,-179.429091055972,-206.333620030204,-212.680762382593,-161.4372422,1.52779983247593,3.26568085635706,6.24774036262642,2.72679794,1.50624342840223,4.6710577016353,3.60611864892801,1.540348521,10.8078416532557,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-2.39074107754725,-0.708715007705383,-7.19115771701392,-6.192393333,-29.0797181240428,-31.6495502283268,-25.0540556618901,-28.37235,-176.632294592133,-209.708889815053,-220.566497783563,-157.3064625,1.53660609660486,2.89767873970557,3.48363297232447,2.72679794,1.6129293879513,3.95148394334033,3.21138082089687,1.540348521,10.5964375989415,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",0.47569439733995,-1.79507364081246,-6.09769794200679,-6.96259,-19.8452026349851,-27.9489558260143,-18.4895861890801,-26.644,-209.687560515887,-243.523152175726,-238.385449279191,-161.4372422,1.4671116290195,3.10695183848198,3.88259430512398,2.597857878,1.60688428272219,5.29813250159769,9.52930765829312,1.617015005,9.26714702393414,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",-0.368865812981085,-1.79507364081246,-6.09769794200679,-6.96259,-20.0930430464419,-27.9489558260143,-18.4895861890801,-26.644,-194.540187692603,-243.523152175726,-238.385449279191,-161.4372422,1.33862195477085,3.10695183848198,3.88259430512398,2.597857878,1.58085224092443,5.29813250159769,9.52930765829312,1.617015005,9.69634441023315,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.56820793542437,-0.675721247042568,-5.53920535838606,-6.192393333,-25.5297121214313,-30.3136079281155,-25.2064745777947,-28.37235,-203.765095076653,-201.253172773352,-211.262327557099,-157.3064625,1.4661724484282,3.7511322966301,4.20462664764085,2.72679794,1.5444661173236,3.70667987170878,3.58636057287823,1.540348521,9.9807865129038,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-3.03777131692885,-0.675721247042568,-5.53920535838606,-6.192393333,-26.8599358015768,-30.3136079281155,-25.2064745777947,-28.37235,-193.682641376972,-201.253172773352,-211.262327557099,-157.3064625,1.57185862118763,3.7511322966301,4.20462664764085,2.72679794,1.4587770921992,3.70667987170878,3.58636057287823,1.540348521,10.1685281098795,19.2693270128454,14.393886253489,15.47038337
"Clear","Trichoptera",-4.72459047335414,-0.728699990447754,-6.46798501412974,-6.192393333,-26.2023175479748,-32.1044096570966,-22.7796641430676,-28.37235,-195.981763410139,-237.616829617785,-227.787682602852,-161.4372422,1.50170369454881,3.48261682981135,3.3982703316688,2.72679794,1.56158137926196,6.45127707251769,4.51888769214587,1.540348521,10.8354230400739,19.9660628405562,15.1415558620887,15.47038337
"Milk","Trichoptera",-6.14466091120261,-1.94053917933561,-7.5686129488159,-6.96259,-24.6373355652182,-32.4515177478187,-22.1592642142546,-26.644,-242.240290293561,-237.027363610288,-240.011620742348,-157.3064625,1.4594974087468,3.20968864136549,3.27273643587308,2.597857878,1.53572049354756,8.11793270565709,5.3829295577982,1.617015005,10.2662449637897,20.611725236529,14.2005425579273,19.03892533
"Mirror","Trichoptera",-5.85701350203169,-1.79507364081246,-6.09769794200679,-6.96259,-23.4585114471335,-27.9489558260143,-18.4895861890801,-26.644,-241.345884417468,-243.523152175726,-238.385449279191,-161.4372422,1.51086207119033,3.10695183848198,3.88259430512398,2.597857878,1.59587854927552,5.29813250159769,9.52930765829312,1.617015005,10.3749438578111,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Trichoptera",-4.74914060178219,-0.960049617528894,-7.80192835236272,-6.192393333,-25.5390904054753,-31.7799914745219,-19.9873055133148,-28.37235,-237.294157286857,-238.806441823403,-240.461821563758,-161.4372422,1.51844713740988,2.85309684927098,3.82651134016102,2.72679794,1.55848818599837,3.98785287863553,5.33631412493896,1.540348521,10.4553874530499,21.4298937263986,14.9470509286722,15.47038337
"Morgenroth","Trichoptera",-4.73126139469846,-0.960049617528894,-7.80192835236272,-6.192393333,-23.8880733918523,-31.7799914745219,-19.9873055133148,-28.37235,-251.001754442617,-238.806441823403,-240.461821563758,-161.4372422,1.58430823325358,2.85309684927098,3.82651134016102,2.72679794,1.44145122590144,3.98785287863553,5.33631412493896,1.540348521,10.6425039367765,21.4298937263986,14.9470509286722,15.47038337
"No Name","Trichoptera",-5.01325554514059,-1.47632239967872,-6.7036379188141,-6.192393333,-27.5594862972159,-31.1692575251977,-22.7846765479317,-28.37235,-257.680619968147,-231.450004384411,-241.272140135283,-161.4372422,1.48976067090804,2.78761428451552,3.45315875067983,2.72679794,1.63793163745199,3.86861130173427,4.30146125740658,1.540348521,9.47262490778709,18.2061142867846,16.1468342009499,15.47038337
"Y-015","Trichoptera",-5.82214485934544,-1.47041920931745,-7.57753974517591,-6.96259,-21.6119186718156,-30.1011969942632,-19.6018624893783,-26.644,-245.119874998252,-230.408629430576,-241.345817293268,-157.3064625,1.57985026476447,4.8384898450801,3.32054538405981,2.597857878,1.58287423184548,4.71366481747617,5.63245678860225,1.617015005,10.7262073227862,20.564046413556,13.5568416660392,19.03892533
"Y-025","Trichoptera",-5.84762552570166,-1.27020837550997,-6.54954856384784,-6.96259,-22.7688504208451,-27.2167640801548,-21.6691185002807,-26.644,-247.283507223352,-239.650616434034,-242.91541846195,-157.3064625,1.55548662323101,3.08975196758895,3.34457631102079,2.597857878,1.56207845987179,6.06113545108123,5.02108871404274,1.617015005,10.2683943154062,19.3415978714667,13.7446142544739,19.03892533
"Z","Trichoptera",-3.47840646769528,-0.708715007705383,-7.19115771701392,-6.192393333,-27.1750768773936,-31.6495502283268,-25.0540556618901,-28.37235,-187.532537256077,-209.708889815053,-220.566497783563,-157.3064625,1.63653121798317,2.89767873970557,3.48363297232447,2.72679794,1.50997195626696,3.95148394334033,3.21138082089687,1.540348521,10.2098092484274,21.1213567578619,13.6878893408975,15.47038337
"Clear","Chaoborus",-0.522987595059803,-0.728699990447754,-6.46798501412974,-6.192393333,-32.6739449671825,-32.1044096570966,-22.7796641430676,-28.37235,-209.254855359655,-237.616829617785,-227.787682602852,-161.4372422,1.37248738850541,3.48261682981135,3.3982703316688,2.72679794,1.48816919455152,6.45127707251769,4.51888769214587,1.540348521,9.98745233293973,19.9660628405562,15.1415558620887,15.47038337
