Lake,POM_CN,terr_CN,POM_d13C,terr_d13C,cons_d13C_uncor,trophic_lvl_3,peri_CN,peri_d13C,terr_CNsd,d13CT_sd,groups,CNpom_prec,CNperi_prec,d13Cpom_prec,d13Cperi_prec,spec,prec_C_spec
Morgenroth,10.03309308,52.95058962,-31.5661,-28.37235,-29.5801,2,13.25577701,-20.3127,27.63730426,1.540348521,lg,2.32075209,0.286859845,0.6675643,0.250324811,cal,0.055944727
No Name,11.24945525,52.95058962,-30.8165,-28.37235,-35.2658,2,15.69749891,-23.9309,27.63730426,1.540348521,sm,0.355941293,0.015746458,0.948682323,6.164604685,chaob,0.06508215
O,13.96051346,52.95058962,-28.2329,-28.37235,-27.7709,2,11.63146436,-25.4192,27.63730426,1.540348521,hi,0.491230358,0.394852416,0.084148139,0.052076182,clad,0.102582464
C,9.968989802,52.95058962,-30.02745,-28.37235,-36.1413,2,13.5487983,-25.9593,27.63730426,1.540348521,,,,,,salv,23.15425562
Z,11.92137933,52.95058962,-31.6874,-28.37235,-27.73265,2,23.97414015,-26.3412,27.63730426,1.540348521,,,,,,caddis,0.063649687
L,12.73427678,52.95058962,-31.1327,-28.37235,-34.1952,2,28.06292002,-26.1833,27.63730426,1.540348521,,,,,,,
Mirror,11.19511668,66.77917242,-27.3909,-26.644,-27.4428,2,11.2725873,-13.254,22.40051318,1.617015005,,,,,,,
Y-015,9.380810655,66.77917242,-29.9675,-26.644,-26.57525,2,13.00644565,-20.2722,22.40051318,1.617015005,,,,,,,
Y-025,9.016311937,66.77917242,-26.5364,-26.644,-24.6669,2,14.87537264,-22.4763,22.40051318,1.617015005,,,,,,,
Clear,10.21345213,52.95058962,-35.01375,-28.37235,-28.7121,2,12.02989228,-23.5935,27.63730426,1.540348521,,,,,,,
Milk,7.740185276,66.77917242,-36.6821,-26.644,-33.4142,3,11.83782181,-22.5353,22.40051318,1.617015005,,,,,,,
,,,,,-26.9549,2,,,,,,,,,,,
,,,,,-30.46385,2,,,,,,,,,,,
,,,,,-26.2529,2,,,,,,,,,,,
,,,,,-31.5123,2,,,,,,,,,,,
,,,,,-26.9176,2,,,,,,,,,,,
,,,,,-28.0407,2,,,,,,,,,,,
,,,,,-18.2786,3,,,,,,,,,,,
,,,,,-19.5725,3,,,,,,,,,,,
,,,,,-24.8547,2,,,,,,,,,,,
,,,,,-25.4012,2,,,,,,,,,,,
,,,,,-24.9591,2,,,,,,,,,,,
,,,,,-24.0175,2,,,,,,,,,,,
,,,,,-22.3411,2,,,,,,,,,,,
,,,,,-24.7877,2,,,,,,,,,,,
,,,,,-23.0016,2,,,,,,,,,,,
,,,,,-26.4785,2,,,,,,,,,,,
,,,,,-20.6719,2,,,,,,,,,,,
,,,,,-21.9723,2,,,,,,,,,,,
,,,,,-26.3411,2,,,,,,,,,,,
,,,,,-31.8707,3,,,,,,,,,,,
