Lake,POM_CN,terr_CN,POM_d15N,terr_d15N,cons_d15N_uncor,trophic_lvl_3,peri_CN,peri_d15N,terr_CNsd,d15NT_sd,groups,CNpom_prec,CNperi_prec,d15Npom_prec,d15Nperi_prec,spec,prec_N_spec
Morgenroth,10.03309308,52.95058962,-1.170605,-6.19239,4.61707,2,13.25577701,-7.7719,27.63730426,2.72679794,lg,2.32075209,0.286859845,1.113521081,1.251485346,cal,0.905825011
No Name,11.24945525,52.95058962,-2.040188,-6.19239,6.7236,2,15.69749891,-6.2318,27.63730426,2.72679794,sm,0.355941293,0.015746458,1.077207429,0.207238118,chaob,2.34253481
O,13.96051346,52.95058962,-0.83973,-6.19239,3.70745,2,11.63146436,-2.9949,27.63730426,2.72679794,hi,0.491230358,0.394852416,0.470226353,1.126188306,clad,1.114353104
C,9.968989802,52.95058962,-0.02825,-6.19239,4.3027,2,13.5487983,-5.01302,27.63730426,2.72679794,,,,,,salv,369.210775
Z,11.92137933,52.95058962,-1.03224,-6.19239,3.76295,2,23.97414015,-6.83866,27.63730426,2.72679794,,,,,,caddis,0.723488087
L,12.73427678,52.95058962,-1.19844,-6.19239,7.0092,2,28.06292002,-8.0219,27.63730426,2.72679794,,,,,,,
Mirror,11.19511668,66.77917242,-2.392108,-6.96259,4.36175,2,11.2725873,-5.72018,22.40051318,2.597857878,,,,,,,
Y-015,9.380810655,66.77917242,-4.315367,-6.96259,3.3681,2,13.00644565,-7.6684,22.40051318,2.597857878,,,,,,,
Y-025,9.016311937,66.77917242,-1.509477,-6.96259,4.67125,2,14.87537264,-6.43834,22.40051318,2.597857878,,,,,,,
Clear,10.21345213,52.95058962,-0.374935,-6.19239,5.16805,2,12.02989228,-6.21558,27.63730426,2.72679794,,,,,,,
Milk,7.740185276,66.77917242,-2.00197,-6.96259,8.6158,3,11.83782181,-7.5904,22.40051318,2.597857878,,,,,,,
,,,,,4.376,2,,,,,,,,,,,
,,,,,5.11275,2,,,,,,,,,,,
,,,,,4.34335,2,,,,,,,,,,,
,,,,,5.4979,2,,,,,,,,,,,
,,,,,3.6885,2,,,,,,,,,,,
,,,,,4.1421,2,,,,,,,,,,,
,,,,,10.2002,3,,,,,,,,,,,
,,,,,10.2738,3,,,,,,,,,,,
,,,,,3.4111,2,,,,,,,,,,,
,,,,,3.1755,2,,,,,,,,,,,
,,,,,1.12492,2,,,,,,,,,,,
,,,,,0.52883,2,,,,,,,,,,,
,,,,,1.2281,2,,,,,,,,,,,
,,,,,1.75818,2,,,,,,,,,,,
,,,,,1.950914,2,,,,,,,,,,,
,,,,,1.33923,2,,,,,,,,,,,
,,,,,1.14814,2,,,,,,,,,,,
,,,,,1.05524,2,,,,,,,,,,,
,,,,,3.5433,2,,,,,,,,,,,
,,,,,9.5398,3,,,,,,,,,,,
