"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.68010951574044,-0.136445863919296,-5.32117387045611,-6.192393333,-30.3262747735783,-30.3051552286365,-25.1913491119435,-28.37235,-187.162243330184,-199.385874031825,-212.348091798072,-157.3064625,1.5575292082737,3.56144703769271,4.3902465133492,2.72679794,1.5801053429097,3.72764338857692,3.90208911283284,1.540348521,11.8249290679107,18.8848048280138,14.8038713589945,15.47038337
"Clear","Calanoida",-0.0508254139878517,-1.09298482241555,-6.47752127062709,-6.192393333,-35.742961214377,-31.7331023067493,-22.8605839901654,-28.37235,-233.988518576067,-231.927943382814,-225.270674930819,-161.4372422,1.56476050218442,3.58207368261056,3.52228723981502,2.72679794,1.32701456229653,6.52960255743719,4.59285110202176,1.540348521,10.7183280159472,20.3627826298803,14.8264707889823,15.47038337
"L","Calanoida",-3.2581032566887,-0.692008944138478,-7.04532653782286,-6.192393333,-28.195923117499,-31.4585830835844,-25.0759357476678,-28.37235,-181.714717909044,-203.588767460411,-219.458210851303,-161.4372422,1.52098882887677,2.84064681434766,3.94722016204544,2.72679794,1.44630629491938,3.80493714726493,3.29762426462931,1.540348521,10.1278942432955,19.3105358813116,14.7360946686935,15.47038337
"Milk","Calanoida",-2.41103252718426,-1.86735039644699,-7.4074337516851,-6.96259,-37.2349120385243,-30.972324188245,-21.9547450177171,-26.644,-252.085034660337,-229.373569377745,-241.86911648872,-157.3064625,1.60587454642736,3.28428353318201,3.33409043919531,2.597857878,1.51662108995367,7.53376411214989,5.42777364935737,1.617015005,10.7618236492506,17.8182114455166,12.3926293272882,19.03892533
"Mirror","Calanoida",-3.35952678247685,-1.97052880645998,-7.18812715809828,-6.96259,-27.904623137929,-28.2252946218497,-18.9344564854214,-26.644,-229.03803758756,-237.010015867964,-239.139770634521,-161.4372422,1.46749161388671,3.20136163867634,3.72890425160464,2.597857878,1.48149450516068,5.55101844953995,9.7648023978369,1.617015005,9.76133600343105,17.3241265622293,13.06013190284,19.03892533
"Morgenroth","Calanoida",0.262982166079226,-0.881397811824306,-7.40420931579625,-6.192393333,-35.1452753278429,-31.7260316255298,-20.6893969099913,-28.37235,-231.033858644992,-234.579347222879,-240.606651008487,-161.4372422,1.42340053510486,2.89612454945667,3.39253099807248,2.72679794,1.61964906551202,3.81100057947907,5.51158683421619,1.540348521,10.0037639283483,19.173655117503,14.6232445601455,15.47038337
"O","Calanoida",-2.70568872630122,-0.414056498055585,-5.78933623032685,-6.192393333,-28.0552782484604,-30.7378209748891,-25.0487011910446,-28.37235,-192.991281161238,-201.039128865671,-214.634845065389,-161.4372422,1.53804526324108,3.30761120422731,6.20958778999532,2.72679794,1.53416769608488,4.78529819836488,3.60373041166348,1.540348521,11.1385321340779,21.5689755026722,16.3240802752328,15.47038337
"Y-015","Calanoida",-3.00444713745104,-2.1660248118005,-7.57967837404611,-6.96259,-27.5417196511584,-30.1911097626779,-19.5045866852874,-26.644,-242.465051857153,-239.100490856395,-241.169383818985,-157.3064625,1.62357489151228,4.87429461888548,3.3003707066826,2.597857878,1.44455828934526,4.70495737992921,5.65770574932809,1.617015005,10.3235624678643,19.9185288904326,13.7347553364388,19.03892533
"Y-025","Calanoida",-2.12030796597352,-1.33613757875944,-6.68810635425378,-6.96259,-25.6436915429757,-29.1102972943921,-21.5424604739196,-26.644,-236.07047966155,-228.955141371237,-243.055185213414,-157.3064625,1.4987833024264,3.18127689964923,3.0396785477229,2.597857878,1.56231594354079,6.25888873552998,5.01764736260304,1.617015005,9.68075156808353,18.2841197386925,14.4490004866053,19.03892533
"Z","Calanoida",-1.88868339437282,-0.623435781811202,-7.05273806431567,-6.192393333,-29.7506268203188,-31.5041303054573,-25.0467703001667,-28.37235,-173.36637511712,-200.832765725147,-217.759190322502,-157.3064625,1.41044829259226,2.98247197513062,3.74058513799139,2.72679794,1.54652407122056,3.66342788479496,3.39865209950528,1.540348521,9.87090178823776,19.8259381689517,13.260258828225,15.47038337
"Milk","Chaoborus",-1.80966471606604,-1.86735039644699,-7.4074337516851,-6.96259,-34.5298322970832,-30.972324188245,-21.9547450177171,-26.644,-221.252935734295,-229.373569377745,-241.86911648872,-157.3064625,1.438650924656,3.28428353318201,3.33409043919531,2.597857878,1.58619904540026,7.53376411214989,5.42777364935737,1.617015005,10.3996989644539,17.8182114455166,12.3926293272882,19.03892533
"C","Cladocera",-2.25931182753359,-0.136445863919296,-5.32117387045611,-6.192393333,-27.4817729584492,-30.3051552286365,-25.1913491119435,-28.37235,-179.267474021634,-199.385874031825,-212.348091798072,-157.3064625,1.43202594545327,3.56144703769271,4.3902465133492,2.72679794,1.39786884105171,3.72764338857692,3.90208911283284,1.540348521,9.54020835595664,18.8848048280138,14.8038713589945,15.47038337
"Clear","Cladocera",-1.54743533387696,-1.09298482241555,-6.47752127062709,-6.192393333,-31.5412331384791,-31.7331023067493,-22.8605839901654,-28.37235,-225.546994730401,-231.927943382814,-225.270674930819,-161.4372422,1.59993206827315,3.58207368261056,3.52228723981502,2.72679794,1.54320286288777,6.52960255743719,4.59285110202176,1.540348521,10.8211853700344,20.3627826298803,14.8264707889823,15.47038337
"L","Cladocera",-2.06597968210117,-0.692008944138478,-7.04532653782286,-6.192393333,-27.1424612149076,-31.4585830835844,-25.0759357476678,-28.37235,-180.890113153784,-203.588767460411,-219.458210851303,-161.4372422,1.63964393844898,2.84064681434766,3.94722016204544,2.72679794,1.48827177311614,3.80493714726493,3.29762426462931,1.540348521,11.1488237452601,19.3105358813116,14.7360946686935,15.47038337
