"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-6.10168197999754,-0.675721247042568,-5.53920535838606,-6.192393333,-30.5822488377484,-30.3136079281155,-25.2064745777947,-28.37235,-190.157753902687,-201.253172773352,-211.262327557099,-157.3064625,1.61848346536946,3.7511322966301,4.20462664764085,2.72679794,1.48573627319748,3.70667987170878,3.58636057287823,1.540348521,10.6621050868302,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-4.03626652538044,-0.728699990447754,-6.46798501412974,-6.192393333,-35.9733340162098,-32.1044096570966,-22.7796641430676,-28.37235,-239.593246022199,-237.616829617785,-227.787682602852,-161.4372422,1.60561521284722,3.48261682981135,3.3982703316688,2.72679794,1.59039566021417,6.45127707251769,4.51888769214587,1.540348521,10.6459707109432,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-7.01670662859766,-0.721784725465159,-7.65432810491417,-6.192393333,-27.8882111846736,-31.3903811904155,-25.1079696058431,-28.37235,-185.93952330763,-202.946269245913,-217.512557680938,-161.4372422,1.60562684093029,2.92072854139188,3.97466871061764,2.72679794,1.49586204146793,3.59701827314883,3.25892219929203,1.540348521,10.9689503987509,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-6.5564130997674,-1.94053917933561,-7.5686129488159,-6.96259,-36.8138381208771,-32.4515177478187,-22.1592642142546,-26.644,-253.831850566681,-237.027363610288,-240.011620742348,-157.3064625,1.58417024373579,3.20968864136549,3.27273643587308,2.597857878,1.59820492752204,8.11793270565709,5.3829295577982,1.617015005,9.95561171662675,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-6.94145071292427,-1.79507364081246,-6.09769794200679,-6.96259,-28.5795879717256,-27.9489558260143,-18.4895861890801,-26.644,-230.767937543981,-243.523152175726,-238.385449279191,-161.4372422,1.4547214024827,3.10695183848198,3.88259430512398,2.597857878,1.65185462843151,5.29813250159769,9.52930765829312,1.617015005,9.51107648220659,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",-3.75752918023716,-0.960049617528894,-7.80192835236272,-6.192393333,-35.1977120267436,-31.7799914745219,-19.9873055133148,-28.37235,-230.649739523967,-238.806441823403,-240.461821563758,-161.4372422,1.57014583443505,2.85309684927098,3.82651134016102,2.72679794,1.53966297029939,3.98785287863553,5.33631412493896,1.540348521,10.1403035239261,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-6.42433050259693,-0.69926785053141,-6.11366558769981,-6.192393333,-28.8076655662621,-30.6806216574121,-25.0778859628808,-28.37235,-182.80332761027,-206.333620030204,-212.680762382593,-161.4372422,1.54443562343731,3.26568085635706,6.24774036262642,2.72679794,1.53611438939336,4.6710577016353,3.60611864892801,1.540348521,11.3906961836826,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-7.42942983651487,-1.47041920931745,-7.57753974517591,-6.96259,-27.1654931270704,-30.1011969942632,-19.6018624893783,-26.644,-236.631228742752,-230.408629430576,-241.345817293268,-157.3064625,1.42363938944141,4.8384898450801,3.32054538405981,2.597857878,1.56747046567887,4.71366481747617,5.63245678860225,1.617015005,10.8426080382155,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-6.07557501967793,-1.27020837550997,-6.54954856384784,-6.96259,-24.8899462891679,-27.2167640801548,-21.6691185002807,-26.644,-238.339477263311,-239.650616434034,-242.91541846195,-157.3064625,1.55392865956384,3.08975196758895,3.34457631102079,2.597857878,1.54495034313775,6.06113545108123,5.02108871404274,1.617015005,9.45186122018689,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-5.60280122396196,-0.708715007705383,-7.19115771701392,-6.192393333,-29.6851911906412,-31.6495502283268,-25.0540556618901,-28.37235,-170.647503292186,-209.708889815053,-220.566497783563,-157.3064625,1.58639266509456,2.89767873970557,3.48363297232447,2.72679794,1.60863611007978,3.95148394334033,3.21138082089687,1.540348521,9.87155661534686,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-7.51541133557608,-1.94053917933561,-7.5686129488159,-6.96259,-35.6453550899219,-32.4515177478187,-22.1592642142546,-26.644,-221.489684742995,-237.027363610288,-240.011620742348,-157.3064625,1.5225147895148,3.20968864136549,3.27273643587308,2.597857878,1.59552503847931,8.11793270565709,5.3829295577982,1.617015005,9.94080816648111,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-6.44712739623532,-0.675721247042568,-5.53920535838606,-6.192393333,-27.7530695700963,-30.3136079281155,-25.2064745777947,-28.37235,-179.684754771509,-201.253172773352,-211.262327557099,-157.3064625,1.46749409412061,3.7511322966301,4.20462664764085,2.72679794,1.55608246908001,3.70667987170878,3.58636057287823,1.540348521,10.7066998704966,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-5.6491644693505,-0.728699990447754,-6.46798501412974,-6.192393333,-31.162503160471,-32.1044096570966,-22.7796641430676,-28.37235,-225.900610148883,-237.616829617785,-227.787682602852,-161.4372422,1.52494355843133,3.48261682981135,3.3982703316688,2.72679794,1.50683781888129,6.45127707251769,4.51888769214587,1.540348521,10.6190261570005,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-6.43983124452136,-0.721784725465159,-7.65432810491417,-6.192393333,-27.6868073937417,-31.3903811904155,-25.1079696058431,-28.37235,-181.190383170273,-202.946269245913,-217.512557680938,-161.4372422,1.43020325835436,2.92072854139188,3.97466871061764,2.72679794,1.52455887587484,3.59701827314883,3.25892219929203,1.540348521,9.88338492736432,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-5.296860326958,-0.960049617528894,-7.80192835236272,-6.192393333,-31.703668595078,-31.7799914745219,-19.9873055133148,-28.37235,-219.100190015114,-238.806441823403,-240.461821563758,-161.4372422,1.46271601701777,2.85309684927098,3.82651134016102,2.72679794,1.54538451343888,3.98785287863553,5.33631412493896,1.540348521,10.9391511856321,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-7.09001554020278,-0.69926785053141,-6.11366558769981,-6.192393333,-27.2924974129928,-30.6806216574121,-25.0778859628808,-28.37235,-178.986015545603,-206.333620030204,-212.680762382593,-161.4372422,1.57903301621313,3.26568085635706,6.24774036262642,2.72679794,1.49977086989665,4.6710577016353,3.60611864892801,1.540348521,10.539832252503,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-6.58226353078382,-0.708715007705383,-7.19115771701392,-6.192393333,-28.212801952568,-31.6495502283268,-25.0540556618901,-28.37235,-177.338950970553,-209.708889815053,-220.566497783563,-157.3064625,1.66369662473142,2.89767873970557,3.48363297232447,2.72679794,1.60889425935132,3.95148394334033,3.21138082089687,1.540348521,10.5488410316768,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",-5.91292411946493,-1.79507364081246,-6.09769794200679,-6.96259,-19.107068496026,-27.9489558260143,-18.4895861890801,-26.644,-214.443067772689,-243.523152175726,-238.385449279191,-161.4372422,1.67096345369538,3.10695183848198,3.88259430512398,2.597857878,1.50657374811528,5.29813250159769,9.52930765829312,1.617015005,9.82829160372707,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",-5.90714131412912,-1.79507364081246,-6.09769794200679,-6.96259,-20.4643040836428,-27.9489558260143,-18.4895861890801,-26.644,-193.518569337731,-243.523152175726,-238.385449279191,-161.4372422,1.5547848381508,3.10695183848198,3.88259430512398,2.597857878,1.67408797391028,5.29813250159769,9.52930765829312,1.617015005,10.0784649696663,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-7.33801458387727,-0.675721247042568,-5.53920535838606,-6.192393333,-25.7583586522188,-30.3136079281155,-25.2064745777947,-28.37235,-206.931458357004,-201.253172773352,-211.262327557099,-157.3064625,1.57103655087595,3.7511322966301,4.20462664764085,2.72679794,1.52621948567449,3.70667987170878,3.58636057287823,1.540348521,10.3923134108968,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-7.62449433422222,-0.675721247042568,-5.53920535838606,-6.192393333,-26.4630704406663,-30.3136079281155,-25.2064745777947,-28.37235,-191.257136360507,-201.253172773352,-211.262327557099,-157.3064625,1.49003748588281,3.7511322966301,4.20462664764085,2.72679794,1.46398428566764,3.70667987170878,3.58636057287823,1.540348521,11.2143448913053,19.2693270128454,14.393886253489,15.47038337
"Clear","Trichoptera",-9.63832412191088,-0.728699990447754,-6.46798501412974,-6.192393333,-26.1563531674457,-32.1044096570966,-22.7796641430676,-28.37235,-195.603329112974,-237.616829617785,-227.787682602852,-161.4372422,1.54484074500897,3.48261682981135,3.3982703316688,2.72679794,1.44181770350403,6.45127707251769,4.51888769214587,1.540348521,10.7315674608157,19.9660628405562,15.1415558620887,15.47038337
"Milk","Trichoptera",-10.1931651941845,-1.94053917933561,-7.5686129488159,-6.96259,-25.1150280608634,-32.4515177478187,-22.1592642142546,-26.644,-242.007816255329,-237.027363610288,-240.011620742348,-157.3064625,1.46401019924024,3.20968864136549,3.27273643587308,2.597857878,1.55570127672348,8.11793270565709,5.3829295577982,1.617015005,9.71273677400628,20.611725236529,14.2005425579273,19.03892533
"Mirror","Trichoptera",-9.55226983082105,-1.79507364081246,-6.09769794200679,-6.96259,-22.6146423089121,-27.9489558260143,-18.4895861890801,-26.644,-237.63150453455,-243.523152175726,-238.385449279191,-161.4372422,1.4570065569681,3.10695183848198,3.88259430512398,2.597857878,1.53178627015728,5.29813250159769,9.52930765829312,1.617015005,10.9892440257418,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Trichoptera",-8.97589036603971,-0.960049617528894,-7.80192835236272,-6.192393333,-25.7893384279205,-31.7799914745219,-19.9873055133148,-28.37235,-244.504886500713,-238.806441823403,-240.461821563758,-161.4372422,1.39007883427855,2.85309684927098,3.82651134016102,2.72679794,1.45494398551473,3.98785287863553,5.33631412493896,1.540348521,10.0945228450402,21.4298937263986,14.9470509286722,15.47038337
"Morgenroth","Trichoptera",-8.82382263921934,-0.960049617528894,-7.80192835236272,-6.192393333,-23.9948157852209,-31.7799914745219,-19.9873055133148,-28.37235,-250.09116878005,-238.806441823403,-240.461821563758,-161.4372422,1.52184540033293,2.85309684927098,3.82651134016102,2.72679794,1.45653825098861,3.98785287863553,5.33631412493896,1.540348521,10.4740002780927,21.4298937263986,14.9470509286722,15.47038337
"No Name","Trichoptera",-9.40490476329606,-1.47632239967872,-6.7036379188141,-6.192393333,-27.2921288317233,-31.1692575251977,-22.7846765479317,-28.37235,-260.218522861342,-231.450004384411,-241.272140135283,-161.4372422,1.60404337223472,2.78761428451552,3.45315875067983,2.72679794,1.39848966514372,3.86861130173427,4.30146125740658,1.540348521,10.6186779811705,18.2061142867846,16.1468342009499,15.47038337
"Y-015","Trichoptera",-9.60610743124417,-1.47041920931745,-7.57753974517591,-6.96259,-21.5802177790985,-30.1011969942632,-19.6018624893783,-26.644,-258.545432298959,-230.408629430576,-241.345817293268,-157.3064625,1.62717286809809,4.8384898450801,3.32054538405981,2.597857878,1.60814398671772,4.71366481747617,5.63245678860225,1.617015005,10.1123450446525,20.564046413556,13.5568416660392,19.03892533
