"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.68010951574044,-0.561986818631327,-5.4310290366519,-6.192393333,-30.3262747735783,-30.299909294864,-25.2595066245969,-28.37235,-187.162243330184,-155.902978451838,-215.581163078629,-157.3064625,1.5575292082737,3.40797455450343,4.52993613589251,2.72679794,1.5801053429097,3.64288288640918,3.36253704516405,1.540348521,11.8249290679107,16.1928558662377,14.4941204582504,15.47038337
"Clear","Calanoida",-0.0508254139878517,-1.1044044089865,-6.43779183771919,-6.192393333,-35.742961214377,-30.9248351210521,-22.7479502944859,-28.37235,-233.988518576067,-183.106813744801,-224.376159765596,-161.4372422,1.56476050218442,3.56195005133253,3.55332892729944,2.72679794,1.32701456229653,6.26208282303296,4.30072296953186,1.540348521,10.7183280159472,14.6317292035477,15.4063979045245,15.47038337
"L","Calanoida",-3.2581032566887,-0.722741147191984,-7.27561609959016,-6.192393333,-28.195923117499,-31.0455221939539,-25.2521509667158,-28.37235,-181.714717909044,-144.306210801822,-215.805046010264,-161.4372422,1.52098882887677,3.09654702682879,3.90147801488615,2.72679794,1.44630629491938,3.54799084074301,3.24391700545843,1.540348521,10.1278942432955,14.5401449129471,14.7268976499243,15.47038337
"Milk","Calanoida",-2.41103252718426,-1.82381264492905,-7.56480531408554,-6.96259,-37.2349120385243,-32.6455065510449,-22.0305060664757,-26.644,-252.085034660337,-192.36103340581,-239.75798892593,-157.3064625,1.60587454642736,3.34769362569123,3.48962509302963,2.597857878,1.51662108995367,7.79069801526204,5.39252126004727,1.617015005,10.7618236492506,16.0016018925296,13.7388561929082,19.03892533
"Mirror","Calanoida",-3.35952678247685,-1.75721954862939,-6.05631412587607,-6.96259,-27.904623137929,-27.9382386534497,-20.1116539054475,-26.644,-229.03803758756,-182.582965011771,-239.052954098192,-161.4372422,1.46749161388671,3.22144921051273,3.85372160418598,2.597857878,1.48149450516068,5.65139117607288,10.4309794367398,1.617015005,9.76133600343105,14.2712201367208,13.555216016598,19.03892533
"Morgenroth","Calanoida",0.262982166079226,-1.01725928304162,-7.36983068696578,-6.192393333,-35.1452753278429,-31.8076696025148,-21.5778828592623,-28.37235,-231.033858644992,-177.563751747226,-238.275086062411,-161.4372422,1.42340053510486,2.95127855660019,3.50913095468565,2.72679794,1.61964906551202,4.03856329964249,5.36561392059175,1.540348521,10.0037639283483,14.6113587393114,15.7835607273785,15.47038337
"O","Calanoida",-2.70568872630122,-0.307353938239761,-7.01614768125915,-6.192393333,-28.0552782484604,-30.7139958826271,-25.156756259792,-28.37235,-192.991281161238,-132.461699575672,-209.699710282983,-161.4372422,1.53804526324108,3.32503549483396,6.19995885304932,2.72679794,1.53416769608488,4.32380508393491,3.44977095815482,1.540348521,11.1385321340779,18.8652946491446,16.3211534899673,15.47038337
"Y-015","Calanoida",-3.00444713745104,-1.6919623633065,-7.6781246785295,-6.96259,-27.5417196511584,-30.2501459873276,-20.0279471390788,-26.644,-242.465051857153,-173.297694684124,-241.112874364196,-157.3064625,1.62357489151228,4.76549362700289,3.05846400657518,2.597857878,1.44455828934526,4.8854262511711,5.38645228397673,1.617015005,10.3235624678643,17.099185564768,13.6728752847881,19.03892533
"Y-025","Calanoida",-2.12030796597352,-1.38395067081178,-6.66698599463796,-6.96259,-25.6436915429757,-26.9616429621648,-21.7074222353676,-26.644,-236.07047966155,-182.66333919097,-243.621832358833,-157.3064625,1.4987833024264,3.05234271353333,3.33524307384797,2.597857878,1.56231594354079,6.07987304557829,5.26416553254713,1.617015005,9.68075156808353,15.1853388798304,13.5631603177862,19.03892533
"Z","Calanoida",-1.88868339437282,-0.824230512396087,-7.31333071463135,-6.192393333,-29.7506268203188,-31.6470025564209,-25.1798584870662,-28.37235,-173.36637511712,-152.559509948285,-217.733820330723,-157.3064625,1.41044829259226,3.01398075195074,3.45505149341642,2.72679794,1.54652407122056,4.11377809296806,3.43230365789332,1.540348521,9.87090178823776,16.1585051891205,12.8959771120119,15.47038337
