"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.31638798319317,-0.675721247042568,-5.53920535838606,-6.192393333,-25.7778924207195,-30.3136079281155,-25.2064745777947,-28.37235,-190.248383496742,-201.253172773352,-211.262327557099,-157.3064625,1.63535064967024,3.7511322966301,4.20462664764085,2.72679794,1.45892278428986,3.70667987170878,3.58636057287823,1.540348521,10.7105290765399,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-0.192579453616673,-0.728699990447754,-6.46798501412974,-6.192393333,-31.4913134239322,-32.1044096570966,-22.7796641430676,-28.37235,-234.880949783846,-237.616829617785,-227.787682602852,-161.4372422,1.46443728004378,3.48261682981135,3.3982703316688,2.72679794,1.63854502681514,6.45127707251769,4.51888769214587,1.540348521,10.5844735841674,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-3.05105792664462,-0.721784725465159,-7.65432810491417,-6.192393333,-24.0059740562956,-31.3903811904155,-25.1079696058431,-28.37235,-182.988762395081,-202.946269245913,-217.512557680938,-161.4372422,1.53625413943538,2.92072854139188,3.97466871061764,2.72679794,1.58238385103423,3.59701827314883,3.25892219929203,1.540348521,10.597203429029,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-2.71232233185775,-1.94053917933561,-7.5686129488159,-6.96259,-32.3787006041154,-32.4515177478187,-22.1592642142546,-26.644,-246.143763793092,-237.027363610288,-240.011620742348,-157.3064625,1.5895260002611,3.20968864136549,3.27273643587308,2.597857878,1.55781963146314,8.11793270565709,5.3829295577982,1.617015005,9.95609950563778,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-3.3335577817755,-1.79507364081246,-6.09769794200679,-6.96259,-23.9592126942885,-27.9489558260143,-18.4895861890801,-26.644,-228.238902144892,-243.523152175726,-238.385449279191,-161.4372422,1.47912843877488,3.10695183848198,3.88259430512398,2.597857878,1.60274793254835,5.29813250159769,9.52930765829312,1.617015005,11.2069620540343,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",0.175882278588048,-0.960049617528894,-7.80192835236272,-6.192393333,-30.4499914192373,-31.7799914745219,-19.9873055133148,-28.37235,-232.857066425971,-238.806441823403,-240.461821563758,-161.4372422,1.56954749914498,2.85309684927098,3.82651134016102,2.72679794,1.46818999648779,3.98785287863553,5.33631412493896,1.540348521,10.8200312671674,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-2.82008208097294,-0.69926785053141,-6.11366558769981,-6.192393333,-23.6889495494815,-30.6806216574121,-25.0778859628808,-28.37235,-186.342903458652,-206.333620030204,-212.680762382593,-161.4372422,1.45360571485383,3.26568085635706,6.24774036262642,2.72679794,1.6866240918094,4.6710577016353,3.60611864892801,1.540348521,10.4655191521517,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-3.63038741581617,-1.47041920931745,-7.57753974517591,-6.96259,-22.8366443864126,-30.1011969942632,-19.6018624893783,-26.644,-242.6189609408,-230.408629430576,-241.345817293268,-157.3064625,1.57357354066532,4.8384898450801,3.32054538405981,2.597857878,1.44899079584269,4.71366481747617,5.63245678860225,1.617015005,9.30086913687111,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-2.32592556695604,-1.27020837550997,-6.54954856384784,-6.96259,-20.8677694613812,-27.2167640801548,-21.6691185002807,-26.644,-241.254627149537,-239.650616434034,-242.91541846195,-157.3064625,1.5406136079693,3.08975196758895,3.34457631102079,2.597857878,1.62630029768543,6.06113545108123,5.02108871404274,1.617015005,10.6600856639897,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-1.45211022416372,-0.708715007705383,-7.19115771701392,-6.192393333,-24.9700532257289,-31.6495502283268,-25.0540556618901,-28.37235,-170.1128617084,-209.708889815053,-220.566497783563,-157.3064625,1.57571321500501,2.89767873970557,3.48363297232447,2.72679794,1.47035030621516,3.95148394334033,3.21138082089687,1.540348521,10.4013654938645,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-1.55375039132869,-1.94053917933561,-7.5686129488159,-6.96259,-27.7220631076812,-32.4515177478187,-22.1592642142546,-26.644,-216.603787772414,-237.027363610288,-240.011620742348,-157.3064625,1.54572326308137,3.20968864136549,3.27273643587308,2.597857878,1.47007192185027,8.11793270565709,5.3829295577982,1.617015005,10.1457230784582,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-2.80455015309039,-0.675721247042568,-5.53920535838606,-6.192393333,-23.1979759103361,-30.3136079281155,-25.2064745777947,-28.37235,-183.640437037228,-201.253172773352,-211.262327557099,-157.3064625,1.47084127236871,3.7511322966301,4.20462664764085,2.72679794,1.86338985256748,3.70667987170878,3.58636057287823,1.540348521,9.2520383099235,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-2.14940544644458,-0.728699990447754,-6.46798501412974,-6.192393333,-26.7160569797205,-32.1044096570966,-22.7796641430676,-28.37235,-226.470736155928,-237.616829617785,-227.787682602852,-161.4372422,1.54499713191826,3.48261682981135,3.3982703316688,2.72679794,1.60935164359798,6.45127707251769,4.51888769214587,1.540348521,10.5122533917426,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-2.44011254028514,-0.721784725465159,-7.65432810491417,-6.192393333,-22.4202494978142,-31.3903811904155,-25.1079696058431,-28.37235,-181.070135644996,-202.946269245913,-217.512557680938,-161.4372422,1.46491613610722,2.92072854139188,3.97466871061764,2.72679794,1.52570968109386,3.59701827314883,3.25892219929203,1.540348521,9.98738533793757,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-1.38245052254837,-0.960049617528894,-7.80192835236272,-6.192393333,-27.717517400781,-31.7799914745219,-19.9873055133148,-28.37235,-216.818293391197,-238.806441823403,-240.461821563758,-161.4372422,1.51384325359351,2.85309684927098,3.82651134016102,2.72679794,1.48498345086025,3.98785287863553,5.33631412493896,1.540348521,10.5377879824292,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-3.00317287340445,-0.69926785053141,-6.11366558769981,-6.192393333,-23.123518290535,-30.6806216574121,-25.0778859628808,-28.37235,-178.741976775446,-206.333620030204,-212.680762382593,-161.4372422,1.42506353052537,3.26568085635706,6.24774036262642,2.72679794,1.49753967596159,4.6710577016353,3.60611864892801,1.540348521,9.71607134242602,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-3.70923647162179,-0.708715007705383,-7.19115771701392,-6.192393333,-24.2879879190127,-31.6495502283268,-25.0540556618901,-28.37235,-178.31378159532,-209.708889815053,-220.566497783563,-157.3064625,1.59098797914846,2.89767873970557,3.48363297232447,2.72679794,1.43217250756691,3.95148394334033,3.21138082089687,1.540348521,10.7692114527146,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",0.566173191851306,-1.79507364081246,-6.09769794200679,-6.96259,-12.6342595532737,-27.9489558260143,-18.4895861890801,-26.644,-207.453832331594,-243.523152175726,-238.385449279191,-161.4372422,1.31876685916355,3.10695183848198,3.88259430512398,2.597857878,1.54114817362178,5.29813250159769,9.52930765829312,1.617015005,10.1245681753218,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",0.485017183197471,-1.79507364081246,-6.09769794200679,-6.96259,-13.9012396305589,-27.9489558260143,-18.4895861890801,-26.644,-196.300193550314,-243.523152175726,-238.385449279191,-161.4372422,1.53367128754555,3.10695183848198,3.88259430512398,2.597857878,1.59419642650665,5.29813250159769,9.52930765829312,1.617015005,10.1973966866158,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.12586438676767,-0.675721247042568,-5.53920535838606,-6.192393333,-21.0744593356207,-30.3136079281155,-25.2064745777947,-28.37235,-208.539672747379,-201.253172773352,-211.262327557099,-157.3064625,1.45036935836048,3.7511322966301,4.20462664764085,2.72679794,1.48417281206252,3.70667987170878,3.58636057287823,1.540348521,10.590848216453,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-3.57132270283635,-0.675721247042568,-5.53920535838606,-6.192393333,-21.5818204968772,-30.3136079281155,-25.2064745777947,-28.37235,-193.861324335362,-201.253172773352,-211.262327557099,-157.3064625,1.61579151008603,3.7511322966301,4.20462664764085,2.72679794,1.58269732420343,3.70667987170878,3.58636057287823,1.540348521,10.9552986851172,19.2693270128454,14.393886253489,15.47038337
"Clear","Trichoptera",-5.55225273595676,-0.728699990447754,-6.46798501412974,-6.192393333,-21.1854821077219,-32.1044096570966,-22.7796641430676,-28.37235,-194.058065772621,-237.616829617785,-227.787682602852,-161.4372422,1.66421727603619,3.48261682981135,3.3982703316688,2.72679794,1.58415080429604,6.45127707251769,4.51888769214587,1.540348521,10.5046865399134,19.9660628405562,15.1415558620887,15.47038337
"Milk","Trichoptera",-6.20956414405605,-1.94053917933561,-7.5686129488159,-6.96259,-20.2743190697077,-32.4515177478187,-22.1592642142546,-26.644,-244.926280441177,-237.027363610288,-240.011620742348,-157.3064625,1.75462849872077,3.20968864136549,3.27273643587308,2.597857878,1.46329983301515,8.11793270565709,5.3829295577982,1.617015005,9.55385384445264,20.611725236529,14.2005425579273,19.03892533
"Mirror","Trichoptera",-5.56357286440532,-1.79507364081246,-6.09769794200679,-6.96259,-18.5563564616784,-27.9489558260143,-18.4895861890801,-26.644,-247.770953966205,-243.523152175726,-238.385449279191,-161.4372422,1.51122115701949,3.10695183848198,3.88259430512398,2.597857878,1.75123413067736,5.29813250159769,9.52930765829312,1.617015005,9.52835410261536,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Trichoptera",-5.19395318906918,-0.960049617528894,-7.80192835236272,-6.192393333,-21.0283005710963,-31.7799914745219,-19.9873055133148,-28.37235,-237.616162209681,-238.806441823403,-240.461821563758,-161.4372422,1.54902340784654,2.85309684927098,3.82651134016102,2.72679794,1.54840369649178,3.98785287863553,5.33631412493896,1.540348521,10.4155427268219,21.4298937263986,14.9470509286722,15.47038337
"Morgenroth","Trichoptera",-4.61918352253363,-0.960049617528894,-7.80192835236272,-6.192393333,-19.2162721374219,-31.7799914745219,-19.9873055133148,-28.37235,-247.357702566355,-238.806441823403,-240.461821563758,-161.4372422,1.41590715221856,2.85309684927098,3.82651134016102,2.72679794,1.69828212642109,3.98785287863553,5.33631412493896,1.540348521,9.82434992085907,21.4298937263986,14.9470509286722,15.47038337
"No Name","Trichoptera",-5.74186187752676,-1.47632239967872,-6.7036379188141,-6.192393333,-22.7292039248328,-31.1692575251977,-22.7846765479317,-28.37235,-259.083701964184,-231.450004384411,-241.272140135283,-161.4372422,1.51750588735956,2.78761428451552,3.45315875067983,2.72679794,1.67206739287628,3.86861130173427,4.30146125740658,1.540348521,9.94136748929335,18.2061142867846,16.1468342009499,15.47038337
"Y-015","Trichoptera",-5.1972041967343,-1.47041920931745,-7.57753974517591,-6.96259,-16.8968183378951,-30.1011969942632,-19.6018624893783,-26.644,-242.066243297796,-230.408629430576,-241.345817293268,-157.3064625,1.47369884640198,4.8384898450801,3.32054538405981,2.597857878,1.5507957493165,4.71366481747617,5.63245678860225,1.617015005,11.0181793523547,20.564046413556,13.5568416660392,19.03892533
"Y-025","Trichoptera",-5.5951656869273,-1.27020837550997,-6.54954856384784,-6.96259,-18.2526542500808,-27.2167640801548,-21.6691185002807,-26.644,-242.824514850199,-239.650616434034,-242.91541846195,-157.3064625,1.64906125063593,3.08975196758895,3.34457631102079,2.597857878,1.51805572390465,6.06113545108123,5.02108871404274,1.617015005,9.82972257664899,19.3415978714667,13.7446142544739,19.03892533
"Z","Trichoptera",-2.9543175236409,-0.708715007705383,-7.19115771701392,-6.192393333,-22.5850246700893,-31.6495502283268,-25.0540556618901,-28.37235,-188.034888437046,-209.708889815053,-220.566497783563,-157.3064625,1.58978864359046,2.89767873970557,3.48363297232447,2.72679794,1.52059211768203,3.95148394334033,3.21138082089687,1.540348521,9.59168797949717,21.1213567578619,13.6878893408975,15.47038337
"Clear","Chaoborus",0.0492620087673714,-0.728699990447754,-6.46798501412974,-6.192393333,-26.2103764187876,-32.1044096570966,-22.7796641430676,-28.37235,-208.912877247063,-237.616829617785,-227.787682602852,-161.4372422,1.67586041926747,3.48261682981135,3.3982703316688,2.72679794,1.55544144292206,6.45127707251769,4.51888769214587,1.540348521,9.72089753019644,19.9660628405562,15.1415558620887,15.47038337
