"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",1.78765868034189,-0.675721247042568,-5.53920535838606,-6.192393333,-30.1360628257822,-30.3136079281155,-25.2064745777947,-28.37235,-186.264383697024,-201.253172773352,-211.262327557099,-157.3064625,1.40258296112882,3.7511322966301,4.20462664764085,2.72679794,1.61095042417035,3.70667987170878,3.58636057287823,1.540348521,10.2671446827155,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",3.88472068996124,-0.728699990447754,-6.46798501412974,-6.192393333,-36.4805540698103,-32.1044096570966,-22.7796641430676,-28.37235,-231.872909828905,-237.616829617785,-227.787682602852,-161.4372422,1.42365912874446,3.48261682981135,3.3982703316688,2.72679794,1.61468187871775,6.45127707251769,4.51888769214587,1.540348521,10.5908016532226,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",0.849601916675084,-0.721784725465159,-7.65432810491417,-6.192393333,-28.9413971237945,-31.3903811904155,-25.1079696058431,-28.37235,-180.79183015183,-202.946269245913,-217.512557680938,-161.4372422,1.62141991383081,2.92072854139188,3.97466871061764,2.72679794,1.60184169202922,3.59701827314883,3.25892219929203,1.540348521,10.8777506812247,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",1.50490307205033,-1.94053917933561,-7.5686129488159,-6.96259,-36.4071904031848,-32.4515177478187,-22.1592642142546,-26.644,-250.783057438937,-237.027363610288,-240.011620742348,-157.3064625,1.6718286005099,3.20968864136549,3.27273643587308,2.597857878,1.646168517814,8.11793270565709,5.3829295577982,1.617015005,10.4739670804557,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",0.915009217602389,-1.79507364081246,-6.09769794200679,-6.96259,-28.5518773957009,-27.9489558260143,-18.4895861890801,-26.644,-227.490822595249,-243.523152175726,-238.385449279191,-161.4372422,1.53762963363425,3.10695183848198,3.88259430512398,2.597857878,1.50885407541256,5.29813250159769,9.52930765829312,1.617015005,10.5562182638806,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",4.17020349063844,-0.960049617528894,-7.80192835236272,-6.192393333,-35.0867573735499,-31.7799914745219,-19.9873055133148,-28.37235,-232.314352832075,-238.806441823403,-240.461821563758,-161.4372422,1.53477753384535,2.85309684927098,3.82651134016102,2.72679794,1.59353901475339,3.98785287863553,5.33631412493896,1.540348521,10.5899357961765,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",1.49688190109792,-0.69926785053141,-6.11366558769981,-6.192393333,-28.1845937677254,-30.6806216574121,-25.0778859628808,-28.37235,-186.481558451753,-206.333620030204,-212.680762382593,-161.4372422,1.54229948345382,3.26568085635706,6.24774036262642,2.72679794,1.4470920022122,4.6710577016353,3.60611864892801,1.540348521,10.190132016613,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",0.56485354784931,-1.47041920931745,-7.57753974517591,-6.96259,-27.7473813994694,-30.1011969942632,-19.6018624893783,-26.644,-239.76761884634,-230.408629430576,-241.345817293268,-157.3064625,1.59723672738935,4.8384898450801,3.32054538405981,2.597857878,1.52789753597086,4.71366481747617,5.63245678860225,1.617015005,10.2202525251409,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",1.83251965595905,-1.27020837550997,-6.54954856384784,-6.96259,-25.9282785807174,-27.2167640801548,-21.6691185002807,-26.644,-250.0814013397,-239.650616434034,-242.91541846195,-157.3064625,1.45772810463143,3.08975196758895,3.34457631102079,2.597857878,1.5539398576983,6.06113545108123,5.02108871404274,1.617015005,10.280883958225,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",2.34749530772343,-0.708715007705383,-7.19115771701392,-6.192393333,-29.3978056355994,-31.6495502283268,-25.0540556618901,-28.37235,-175.67612096498,-209.708889815053,-220.566497783563,-157.3064625,1.50924368066288,2.89767873970557,3.48363297232447,2.72679794,1.39690802911351,3.95148394334033,3.21138082089687,1.540348521,11.0542623241172,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",4.39498558193124,-1.94053917933561,-7.5686129488159,-6.96259,-34.680200357889,-32.4515177478187,-22.1592642142546,-26.644,-213.485986483407,-237.027363610288,-240.011620742348,-157.3064625,1.56535522710766,3.20968864136549,3.27273643587308,2.597857878,1.52309155478886,8.11793270565709,5.3829295577982,1.617015005,9.09604638009748,20.611725236529,14.2005425579273,19.03892533
