"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.14533959381157,-0.675721247042568,-5.53920535838606,-6.192393333,-30.8299334127447,-30.3136079281155,-25.2064745777947,-28.37235,-158.512987480368,-201.253172773352,-211.262327557099,-157.3064625,1.56856391462882,3.7511322966301,4.20462664764085,2.72679794,1.48789010346935,3.70667987170878,3.58636057287823,1.540348521,11.2184321852053,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-0.424155796828359,-0.728699990447754,-6.46798501412974,-6.192393333,-36.2218462980725,-32.1044096570966,-22.7796641430676,-28.37235,-201.548670718371,-237.616829617785,-227.787682602852,-161.4372422,1.42119841963965,3.48261682981135,3.3982703316688,2.72679794,1.5187363351702,6.45127707251769,4.51888769214587,1.540348521,10.3540393363798,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-3.29501376184865,-0.721784725465159,-7.65432810491417,-6.192393333,-28.8650191722501,-31.3903811904155,-25.1079696058431,-28.37235,-151.680605288364,-202.946269245913,-217.512557680938,-161.4372422,1.58569071144637,2.92072854139188,3.97466871061764,2.72679794,1.5120759524709,3.59701827314883,3.25892219929203,1.540348521,11.550460802874,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-2.29917027192685,-1.94053917933561,-7.5686129488159,-6.96259,-36.7430982703961,-32.4515177478187,-22.1592642142546,-26.644,-215.474571635016,-237.027363610288,-240.011620742348,-157.3064625,1.440311963119,3.20968864136549,3.27273643587308,2.597857878,1.481871988064,8.11793270565709,5.3829295577982,1.617015005,10.531615663101,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-2.88889744976407,-1.79507364081246,-6.09769794200679,-6.96259,-28.5375587609773,-27.9489558260143,-18.4895861890801,-26.644,-195.415590185824,-243.523152175726,-238.385449279191,-161.4372422,1.59089150221325,3.10695183848198,3.88259430512398,2.597857878,1.46615487997792,5.29813250159769,9.52930765829312,1.617015005,11.5735565126045,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",0.103651550884138,-0.960049617528894,-7.80192835236272,-6.192393333,-34.7380636075378,-31.7799914745219,-19.9873055133148,-28.37235,-196.800531142888,-238.806441823403,-240.461821563758,-161.4372422,1.47834512559624,2.85309684927098,3.82651134016102,2.72679794,1.41976783179103,3.98785287863553,5.33631412493896,1.540348521,11.3728240026044,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-2.23559212708361,-0.69926785053141,-6.11366558769981,-6.192393333,-28.5015761604045,-30.6806216574121,-25.0778859628808,-28.37235,-150.479658700055,-206.333620030204,-212.680762382593,-161.4372422,1.48019056062897,3.26568085635706,6.24774036262642,2.72679794,1.40129700504682,4.6710577016353,3.60611864892801,1.540348521,11.1594575865041,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-3.85164050834955,-1.47041920931745,-7.57753974517591,-6.96259,-27.5332466238578,-30.1011969942632,-19.6018624893783,-26.644,-202.4948938634,-230.408629430576,-241.345817293268,-157.3064625,1.6106214964098,4.8384898450801,3.32054538405981,2.597857878,1.45227945507819,4.71366481747617,5.63245678860225,1.617015005,11.2322984308678,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-2.51442187349463,-1.27020837550997,-6.54954856384784,-6.96259,-25.7669809810587,-27.2167640801548,-21.6691185002807,-26.644,-204.601875804155,-239.650616434034,-242.91541846195,-157.3064625,1.56993876280987,3.08975196758895,3.34457631102079,2.597857878,1.42024016030553,6.06113545108123,5.02108871404274,1.617015005,10.7040222629084,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-1.79853744925759,-0.708715007705383,-7.19115771701392,-6.192393333,-29.1768784110359,-31.6495502283268,-25.0540556618901,-28.37235,-144.912758286798,-209.708889815053,-220.566497783563,-157.3064625,1.49294985615436,2.89767873970557,3.48363297232447,2.72679794,1.70887803563624,3.95148394334033,3.21138082089687,1.540348521,11.3944212733035,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-1.73354242704265,-1.94053917933561,-7.5686129488159,-6.96259,-34.7857119554923,-32.4515177478187,-22.1592642142546,-26.644,-170.827602350131,-237.027363610288,-240.011620742348,-157.3064625,1.52782132453021,3.20968864136549,3.27273643587308,2.597857878,1.47702659808287,8.11793270565709,5.3829295577982,1.617015005,11.409864459427,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-2.34471292144681,-0.675721247042568,-5.53920535838606,-6.192393333,-27.8620850528916,-30.3136079281155,-25.2064745777947,-28.37235,-153.517380823208,-201.253172773352,-211.262327557099,-157.3064625,1.51723990871508,3.7511322966301,4.20462664764085,2.72679794,1.56811494613144,3.70667987170878,3.58636057287823,1.540348521,10.691289135542,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-1.51712727877121,-0.728699990447754,-6.46798501412974,-6.192393333,-31.605642361678,-32.1044096570966,-22.7796641430676,-28.37235,-191.425662147419,-237.616829617785,-227.787682602852,-161.4372422,1.74113049210401,3.48261682981135,3.3982703316688,2.72679794,1.64586677288631,6.45127707251769,4.51888769214587,1.540348521,10.3788592093629,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-2.25469517547879,-0.721784725465159,-7.65432810491417,-6.192393333,-26.6640363830233,-31.3903811904155,-25.1079696058431,-28.37235,-149.639568718075,-202.946269245913,-217.512557680938,-161.4372422,1.59456967204738,2.92072854139188,3.97466871061764,2.72679794,1.45800864559407,3.59701827314883,3.25892219929203,1.540348521,11.739407089003,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-1.0898159099247,-0.960049617528894,-7.80192835236272,-6.192393333,-32.5538448011599,-31.7799914745219,-19.9873055133148,-28.37235,-188.087144601792,-238.806441823403,-240.461821563758,-161.4372422,1.50375077361297,2.85309684927098,3.82651134016102,2.72679794,1.53090604130514,3.98785287863553,5.33631412493896,1.540348521,10.7950192518405,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-3.01050802316345,-0.69926785053141,-6.11366558769981,-6.192393333,-27.4738790230892,-30.6806216574121,-25.0778859628808,-28.37235,-145.285071456152,-206.333620030204,-212.680762382593,-161.4372422,1.62598850984288,3.26568085635706,6.24774036262642,2.72679794,1.40321311958154,4.6710577016353,3.60611864892801,1.540348521,10.999733147465,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-2.81231074032164,-0.708715007705383,-7.19115771701392,-6.192393333,-28.8331577077817,-31.6495502283268,-25.0540556618901,-28.37235,-149.367606653207,-209.708889815053,-220.566497783563,-157.3064625,1.45614383953391,2.89767873970557,3.48363297232447,2.72679794,1.60612646907336,3.95148394334033,3.21138082089687,1.540348521,10.8012827632959,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",0.110993281887147,-1.79507364081246,-6.09769794200679,-6.96259,-19.816753855621,-27.9489558260143,-18.4895861890801,-26.644,-161.779054797431,-243.523152175726,-238.385449279191,-161.4372422,1.60600678029423,3.10695183848198,3.88259430512398,2.597857878,1.4469369684586,5.29813250159769,9.52930765829312,1.617015005,11.5511049195662,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",-0.141458715073597,-1.79507364081246,-6.09769794200679,-6.96259,-19.9579864501211,-27.9489558260143,-18.4895861890801,-26.644,-151.244856590494,-243.523152175726,-238.385449279191,-161.4372422,1.71648564276679,3.10695183848198,3.88259430512398,2.597857878,1.49759485142691,5.29813250159769,9.52930765829312,1.617015005,11.5152379830844,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.40300924901193,-0.675721247042568,-5.53920535838606,-6.192393333,-25.3131883483593,-30.3136079281155,-25.2064745777947,-28.37235,-170.049348537523,-201.253172773352,-211.262327557099,-157.3064625,1.55510995848603,3.7511322966301,4.20462664764085,2.72679794,1.56899003650088,3.70667987170878,3.58636057287823,1.540348521,10.0442016853088,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-4.01860695196481,-0.675721247042568,-5.53920535838606,-6.192393333,-26.5213317194338,-30.3136079281155,-25.2064745777947,-28.37235,-162.152798107431,-201.253172773352,-211.262327557099,-157.3064625,1.44679084837101,3.7511322966301,4.20462664764085,2.72679794,1.78605918314113,3.70667987170878,3.58636057287823,1.540348521,12.2017792638108,19.2693270128454,14.393886253489,15.47038337
