Peak,structure,common_name,class,synthesizers
2,,,,
3,,,,
4,,,,
4.5,,,,
6,,,,
8,,,,
9,,,,
10,,,,
11,,,,
13,,,,
14,,,,
16,,,,
17,14-0,,SAFA,
18,,,,
19,,,,
19.5,,,,
20,,,,
21,,,,
22,i15-0,,SAFA,
23,,,,
24,a15-0,,SAFA,
25,,,,
26,,,,
27,,,,
28,,,,
29,,,,
29.5,,,,
30,,,,
31,,,,
32,16-0,,SAFA,t-POM
33,,,,
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms
36,,,,
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms
38,16-1n6,,MUFA,all 16 MUFA and PUFA characteristic of diatoms
39,16-1n5,,MUFA,all 16 MUFA and PUFA characteristic of diatoms
39.5,,,,
40,,,,
41,i17,,,
41.5,,,,
42,,,,
42.5,,,,
43,,,,
44,,,,
44.5,,,,
45,17-0,,SAFA,
45.5,,,,
46,17-1,,MUFA,
47,,,,
49,a18,,,
50,i18,,,
50.5,,,,
51,,,,
52,18-0,,SAFA,t-POM
54,18-1n9c,oleic acid,MUFA,fungi
55,E18-1,,MUFA,
55.5,,,,
56,,,,
57,,,,
58,,,,
59,,,,
60,18-2n6c,LIN (linoleic),PUFA,"scendesmus, fungi (green algae generally), high proportion in chlorophytes (brett chapter 6)"
60.5,,,,
61,,,,
62,18-3n6,GLA (gamma-linoleic),PUFA,
64,18-3n3,ALA (alpha-linolenic),PUFA,"crypto, green algae, cyano, plants"
65,18-3n1?,,PUFA,
66,,,,
67,20-0,,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*, chlorophyceae"
68,20-1n11,,MUFA,
69,20-1n9,,MUFA,
70,20-1n7,,MUFA,
70.5,,,,
72,,,,
73,,,,
74,,,,
74.5,,,,
75,20-2n6,,PUFA,Euglenophyceae
76,20-3n6,,PUFA,Euglenophyceae
77,20-4n6,ARA (arachidonic),PUFA,"produced by very few higher plants and algae, must be elongated from LIN"
80,20-4n3,,PUFA,Euglenophyceae
81,20-5n3,EPA (eicosapentaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae"
82,,,,
83,,,,
84,,,,
85,,,,
86,,,,
87,22-4n6,,PUFA,Euglenophyceae
87.5,,,,
88,22-5n6,DPA (docosapentaenoic),PUFA, Cryptophyceae and Chrysophyceae (Synurales)
89,22-5n3,DPA (docosapentaenoic),PUFA,
90,22-6n3,DHA (docosahexaenoic),PUFA,"diatom, crypto, green algae, cyano (phytoplankton), also benthic algae"
91,24-0,JSY?,SAFA,"tPOM (especially temperate deciduous, also reed and peat)*"
92,24-1n?,,MUFA,
94,,,,
95,,,,
96,,,,
97,,,,
98,,,,
