Category,Putative Source,Clear*,Clear,Morgenroth,O,Milk*,L,C,Z
short_SAFA,,23.88907793,60.14254535,51.08908865,41.33610029,23.96801592,35.74581212,40.01602436,44.5882403
iSAFA,bacteria,0.00000001,4.712724469,2.670305473,3.195372673,1.463385868,0.689836703,2.537805436,3.9257619
other_MUFA,,5.588023503,11.92934016,15.01554001,25.56886798,7.859976059,22.09864909,30.20941956,32.58666326
unidentified,,0.884277551,1.192857488,0.97072084,0.943929996,0.00000001,0.893210408,0.969635539,0.436280899
other_n3_and_n6_PUFA,non-terrestrial,10.93142243,0.565664593,1.080186024,0.00000001,17.10002442,0.925888679,0.00000001,0.463525346
16.1n5,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),0.393033196,1.359378768,0.999019117,0.900186054,0.540898375,0.629676718,0.687284122,0.894084064
EPA_and_16.4n3,diatoms,18.50521406,2.193552391,2.871262329,2.518018281,16.45165548,3.247936203,2.552113709,1.409320813
OA,detritus,16.67743942,10.31349885,17.14854202,15.65382648,13.44749505,19.42827971,14.15602193,9.261619545
LIN_ALA_SDA,green algae,18.47982903,5.367969008,6.518718656,5.390359287,16.32667103,10.52064854,7.341851694,3.219883703
long_SAFA,terrestrial,0.659578695,0.626059141,0.00000001,1.082698168,0.352622025,0.647601589,0.00000001,0.00000001
ARA,terrest?,3.992104197,1.071809513,1.025682801,1.221867802,2.07493626,5.172460241,1.529843658,0.725231843
