Peak,structure,common_name,class,synthesizers,Reten_1_mirror_fish,Area1_mirror_fish,Reten_2_mirror_fish,Area2_mirror_fish,Reten_3_C_caddis,Area3_C_caddis,Reten_4_C_caddis,Area4_C_caddis,Reten_6_milk_caddis,Area6_milk_caddis,Reten_7_mirror_caddis,Area7_mirror_caddis,Reten_8_morg_caddis,Area8_morg_caddis,Reten_9_morg_caddis,Area9_morg_caddis,Reten_10_noname_caddis,Area10_noname_caddis,Reten_11_y015_caddis,Area11_y015_caddis,Reten_12_y025_caddis,Area12_y025_caddis,Reten_13_Z_caddis,Area13_Z_caddis,Reten_90_C_cal,Area90_C_cal,Reten_92_O_cal,Area92_O_cal,Reten_108_clear_caddis,Area108_clear_caddis,Reten_94_Z_cal,Area94_Z_cal,Reten_85_mirror_cal,Area85_mirror_cal,Reten_86_y025_cal,Area86_y025_cal,Reten_87_y015_cal,Area87_y015_cal,Reten_80_clear_chaob,Area80_clear_chaob,Reten_96_L_cal,Area96_L_cal,Reten_81_clear_clad,Area81_clear_clad,Reten_82_clear_cal,Area82_clear_cal,Reten_83_morg_cal,Area83_morg_cal,Reten_84_morg_clad,Area84_morg_clad,Reten_93_O_clad,Area93_O_clad,Reten_105_milk_cal,Area105_milk_cal,Reten_106_milk_chaob,Area106_milk_chaob,Reten_97_L_clad,Area97_L_clad,Reten_91_C_clad,Area91_C_clad,Reten_95_Z_clad,Area95_Z_clad,total_appearances
2,,,,,12.10005379,2.715703726,12.09762383,2.763931751,12.09350586,2.837466955,12.09500122,2.783468008,12.09836674,2.698827028,12.07448006,2.721787214,12.09999943,2.490899324,12.09816456,2.679193735,12.0883646,5.435933113,12.0809679,6.577653885,12.09675884,2.512636662,12.10206127,2.498779297,12.09841061,2.605213404,12.10125446,2.495899677,12.08611679,7.017295361,12.08821583,2.609730721,12.09015465,2.305733442,12.08922291,2.290817738,12.08854485,2.349327326,12.07428932,2.282285213,12.08644199,2.343898058,12.08760643,2.334486961,12.09335327,2.758377314,12.08864594,2.684092283,12.08760834,2.341344833,12.08749008,2.429335356,12.08870506,2.871026754,12.08762455,2.434609413,12.08511162,2.363118887,12.07084846,2.280869484,12.08223343,2.51505208,31
4,,,,,13.14044476,3.293114901,13.13864613,3.381491184,13.13626385,3.123898506,13.14214993,3.095425129,13.1391573,3.217296362,13.11788368,2.703024626,13.14214516,3.02126956,13.14017773,3.174468994,13.12908363,6.328565121,13.12829685,7.931264877,13.14210606,2.745423555,13.14361763,3.120712519,13.13715744,3.259592772,13.13633633,2.731211424,13.12725925,8.491541862,13.12716293,2.786786318,13.12686825,2.558831692,13.11845016,2.288147211,13.12834072,2.742040873,13.1074419,2.407830954,13.11571598,2.62589097,13.11843967,2.782834291,13.17356205,2.484770775,13.13225269,2.856972933,13.11645031,2.659671307,13.12173653,2.976911068,13.13026619,2.994653225,13.11693859,2.769462585,13.11952782,2.681093931,13.10454273,2.429094076,13.11098671,2.665041447,31
14,,,,,19.10275841,3.17458415,19.11154366,3.195432186,19.11019897,3.147095203,19.12300873,3.05836153,19.10664558,3.145444393,19.10622597,3.266460419,19.11577034,2.99610424,19.10982895,3.170222521,19.11184502,9.515148163,19.1059742,8.740480423,19.1204052,2.992650032,19.12760735,3.055350542,19.12979889,2.829262257,19.12474632,2.701899767,19.11432648,8.715510368,19.11115646,2.900239944,19.09370232,2.5935812,19.08965111,2.599047661,19.10051727,2.658546686,19.06263924,2.643759012,19.09136581,2.56294632,19.08589935,2.578530312,19.1319809,2.819977283,19.114048,2.850131273,19.08526802,2.594371796,19.09085846,2.635075808,19.10008621,2.995964527,19.08998108,2.615387678,19.07408333,1.668643594,19.06012344,2.457990885,19.08383751,2.541673183,31
17,14-0,,SAFA,,21.85639763,2.120194912,21.85587502,9.454238892,21.85309029,10.12435627,21.86231041,14.67107487,21.85709381,8.77461338,21.83420181,12.04671383,21.86122704,11.44474125,21.85804558,6.614631176,21.83926773,4.911800861,21.83627701,9.663080215,21.86219978,10.40098858,21.86549187,15.75446987,21.86933708,87.62751007,21.86444664,60.97812653,21.83828926,13.77513981,21.88247299,142.242218,21.88342857,145.631073,21.86917305,80.88602448,21.88495827,160.4068909,21.84499168,6.417704582,21.8566494,39.72754669,21.86912155,92.78793335,21.94711113,541.1335449,21.88932037,181.1827087,21.85910988,42.81863403,21.85814285,17.18531609,21.88647842,180.881012,21.86402321,82.30506134,21.85886574,9.541446686,21.8446312,7.10138464,21.85879326,41.41214752,31
29,,,,,26.11512756,2.640543222,26.12467003,2.653702736,26.13419151,2.679783106,26.1439743,2.452049255,26.12302208,2.415266514,26.11943817,2.501331806,26.1312561,2.496446848,26.12518311,2.501392126,26.12953758,8.356538773,26.13573837,7.76386261,26.14171028,2.246291637,26.1558342,3.252683878,26.14403152,3.539231062,26.13907242,3.113930464,26.13002014,7.306800365,26.09998703,3.639659882,26.09306145,2.054863453,26.08966255,2.103251934,26.10007286,2.254808187,26.06867218,2.139760256,26.08867073,2.247027636,26.08257484,2.600180149,26.14360237,2.624876738,26.11303139,3.36684823,26.08115387,2.094166517,26.09102249,3.167990446,26.10078239,2.158224583,26.09684753,2.134067297,26.07233429,2.05103898,26.05585289,1.856914759,26.06933594,2.831360579,31
32,16-0,,SAFA,t-POM,29.18048859,60.05001831,29.22314453,167.7549896,29.22754097,194.9248657,29.25460052,252.5829926,29.19970703,103.6860046,29.25889587,389.885437,29.23056984,172.9376526,29.21327591,133.9206543,29.24332047,316.3377686,29.22179604,237.1411285,29.24088097,195.5327911,29.25758934,240.1091309,29.27760315,358.327179,29.25990295,286.9136353,29.24367523,290.0067749,29.28328896,420.2233582,29.23870659,232.6644745,29.22878838,199.420166,29.26013184,326.1678162,29.17763901,75.97454834,29.24206924,265.9096375,29.2155571,165.1879578,29.30967522,555.3544922,29.28464699,413.5822754,29.21558571,163.9787598,29.23049164,199.880188,29.25286484,310.4258118,29.22979355,219.5191498,29.19596291,106.1043243,29.18924332,113.3125381,29.23165131,206.9620819,31
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.13261795,22.74563217,30.1631794,107.8940887,30.13869667,35.88169098,30.15677643,54.70383835,30.13765907,28.84243965,30.14109993,85.59881592,30.15148926,44.66452789,30.13983345,26.75465584,30.12199783,24.3746891,30.13426971,77.31943512,30.15655327,49.21037674,30.17374992,90.34507751,30.19004822,165.4835663,30.16991425,101.6272507,30.17121315,184.6995697,30.17035103,103.3655167,30.14167976,22.07278633,30.13835907,15.89616489,30.14422417,33.13156891,30.11735153,11.2590332,30.14143562,37.33267975,30.13770676,27.72460365,30.18308258,131.5342407,30.18852425,160.8198547,30.14179802,45.69731522,30.1650753,101.033783,30.15393257,76.60489655,30.14108086,45.42907333,30.13913918,37.82129288,30.13616371,69.56352997,30.17565727,147.4388275,31
52,18-0,,SAFA,t-POM,38.1891098,21.21569633,38.2098732,31.86664009,38.24810028,60.40550995,38.27600861,87.00094604,38.23062897,61.7552948,38.26831055,147.7175293,38.24973297,79.67276001,38.23599243,61.37607956,38.24271774,95.9442749,38.25431442,106.3231964,38.27479935,90.8217926,38.29550934,96.05123901,38.2570343,90.61625671,38.25183105,78.16440582,38.22261429,55.52835083,38.24227142,88.8242569,38.22784805,75.82643127,38.22321701,72.21115875,38.23430252,74.07983398,38.19259262,44.03227234,38.22361374,69.81147766,38.21588516,70.66477966,38.30097961,136.670517,38.26633453,98.44696808,38.20482254,50.21723938,38.23434448,78.64912415,38.23158264,64.82530212,38.22852707,55.08337021,38.20610046,46.94067764,38.1833725,39.85198593,38.20323563,52.11011887,31
54,18-1n9c,oleic acid,MUFA,fungi,38.99456406,42.21796417,39.05687714,160.6956482,39.10448074,275.9264221,39.12636948,307.2087708,39.05846786,158.7492676,39.08022308,266.4248657,39.06499863,145.4766235,39.06249619,157.3386383,39.08003235,271.4542847,39.09921646,331.9787292,39.11281967,252.3846283,39.13267136,276.3965759,39.05826187,142.680481,39.06432343,153.2455292,39.08485413,283.2659607,39.04896545,130.8323975,39.01852417,61.74754715,39.01183701,58.4768486,39.0500412,140.6941071,39.01333237,99.99786377,39.03437042,116.9453278,39.0062027,63.2498703,39.10926437,221.7173309,39.11714172,325.3916931,39.02114868,93.63067627,39.04421997,130.6335602,39.06240845,175.262558,39.07954025,221.8669434,39.02549744,104.7967529,38.99053955,64.21051788,39.00804138,70.8404541,31
55,E18-1,,MUFA,,39.4023056,7.441773415,39.42493057,23.19882584,39.4447937,25.70511246,39.45780563,27.40054321,39.42023849,13.0010376,39.42419052,45.06109619,39.43119049,16.22186661,39.42914581,15.79038906,39.41804123,18.59540939,39.4265213,38.78118515,39.4528656,26.67153931,39.48326492,52.60739136,39.47411728,108.1354446,39.46015549,75.27859497,39.42412186,40.86811066,39.44810104,65.12277985,39.41841125,12.91888237,39.41508865,13.69117641,39.44293976,55.00431442,39.39667511,22.24673462,39.4237442,34.99573135,39.41635895,37.57234573,39.48858643,77.09368896,39.46009064,59.20590591,39.41301346,25.96128464,39.45719147,94.6601181,39.43975449,46.43452072,39.44423676,54.43442535,39.43514252,67.52545929,39.41559982,61.66500854,39.43820953,80.81464386,31
