Peak,FA_name,Common_name,Class,synthesizer,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_108_clear_caddis,Area_108_clear_caddis,total_appearances,availability
17,14-0,,SAFA,,21.85309029,10.12435627,21.86231041,14.67107487,21.85709381,8.77461338,21.83420181,12.04671383,21.86122704,11.44474125,21.85804558,6.614631176,21.85689735,4.063191891,21.86492157,6.256418705,21.86219978,10.40098858,21.86549187,15.75446987,21.84628296,3.299023628,31,1
19,14-1,,MUFA,,22.60490036,5.750306606,22.61231232,22.60741615,22.61032677,5.057595253,22.58655357,18.62119865,22.61333466,10.97100067,22.61024284,7.277675629,22.6101017,2.481511593,22.61660767,20.63272095,22.61476326,16.50690079,22.61843872,4.761554241,22.59915543,5.603676796,25,0.806451613
25,,,,,24.7634182,1.891028166,24.77734947,2.034653187,24.74779129,1.834339738,24.75424957,1.924986124,24.7562294,1.78393507,24.75027657,1.830002427,24.74797249,1.879522681,24.76062584,2.248664379,24.77287292,1.834348559,24.79046249,1.921420574,24.74754143,1.811336756,25,0.806451613
26,15-0,,SAFA,,25.39637756,3.922565699,25.4051342,6.673335075,NA,NA,25.37828445,2.017900467,25.40562057,2.169418812,25.40177345,1.857760549,25.4011097,2.148168564,25.40969849,2.168139458,25.40641785,2.460848808,25.40990829,8.29019165,NA,NA,26,0.838709677
32,16-0,,SAFA,t-POM,29.22754097,194.9248657,29.25460052,252.5829926,29.19970703,103.6860046,29.25889587,389.885437,29.23056984,172.9376526,29.21327591,133.9206543,29.22787476,188.312561,29.21899986,124.9375381,29.24088097,195.5327911,29.25758934,240.1091309,29.21547508,156.4772186,31,1
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,29.78271294,4.853469849,29.79504776,4.394880295,NA,NA,29.7734127,7.533689022,NA,NA,NA,NA,29.79101372,2.265295982,29.7937355,2.815860748,29.79417801,4.677788734,29.80219841,7.822441578,29.7762394,2.319501877,24,0.774193548
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.13869667,35.88169098,30.15677643,54.70383835,30.13765907,28.84243965,30.14109993,85.59881592,30.15148926,44.66452789,30.13983345,26.75465584,30.1364212,14.72935295,30.15295982,41.52625275,30.15655327,49.21037674,30.17374992,90.34507751,30.13450241,38.75849533,31,1
41,16-2,,PUFA,green algae and diatoms,31.62877083,8.457503319,31.63845253,8.55423069,NA,NA,31.60795403,4.676136017,31.63765335,2.43903017,31.63248062,6.124781609,31.63067627,2.824572086,31.64131927,6.070459366,31.64331627,20.57777786,31.64455986,9.313150406,31.62099457,2.761126041,15,0.483870968
42,17-0,,SAFA,,32.21778488,11.27962399,32.22990417,7.287350655,NA,NA,32.0905571,2.655182838,32.12324905,2.94413209,32.11740875,3.443467379,32.11493301,5.14414835,NA,NA,32.23149109,5.368885517,32.13132858,11.17796516,NA,NA,26,0.838709677
45,17-0,,SAFA,,33.44326019,9.908975601,33.45536804,14.81874657,33.44294739,7.234475613,33.42169189,17.3504715,33.45141983,8.867617607,33.44571304,7.492432594,33.44348907,6.01089859,33.45834351,14.88826656,33.45582199,10.0649786,33.46193695,13.73550987,33.4353447,10.28998756,29,0.935483871
46,16-4n3,,PUFA,green algae,34.23353577,18.75431824,34.24605942,19.00461006,NA,NA,34.18772888,5.594346523,34.20289993,8.812381744,34.1995697,4.791649342,34.22740936,7.442363739,34.24760818,13.94241524,34.23475266,19.63306618,34.25086212,15.89386749,34.18845367,4.512061119,27,0.870967742
52,18-0,,SAFA,t-POM,38.24810028,60.40550995,38.27600861,87.00094604,38.23062897,61.7552948,38.26831055,147.7175293,38.24973297,79.67276001,38.23599243,61.37607956,38.22613525,54.70887375,38.2419548,54.37539673,38.27479935,90.8217926,38.29550934,96.05123901,38.25436783,92.76358032,31,1
