Peak,FA_name,Common_name,Class,synthesizer,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_96_L_cal,Area_96_L_cal,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_105_milk_cal,Area_105_milk_cal,total_appearances,availability
8,12 /- 0,,SAFA,,15.33848763,1.802883744,15.3398056,1.530100942,15.34118271,8.076251984,NA,NA,NA,NA,NA,NA,15.34449387,1.43642056,15.33922005,8.861718178,15.34272099,2.248443842,15.34206676,1.712821603,9,0.290322581
13,13-0,,SAFA,,18.45900917,1.76760447,NA,NA,18.46269417,3.719393253,NA,NA,NA,NA,18.46356392,1.65186429,18.46164513,2.93719101,18.45994568,5.578029633,NA,NA,NA,NA,5,0.161290323
16,i14-0,,SAFA,bacteria,20.35292435,9.073320389,20.35662842,2.151610374,20.35474014,2.401230097,NA,NA,NA,NA,20.35417366,3.258660316,NA,NA,20.35063934,5.663258076,20.35289192,2.905639172,20.35147858,2.104864836,10,0.322580645
17,14-0,,SAFA,,21.86933708,87.62751007,21.86444664,60.97812653,21.88247299,142.242218,21.88342857,145.631073,21.86917305,80.88602448,21.88495827,160.4068909,21.8566494,39.72754669,21.94711113,541.1335449,21.88932037,181.1827087,21.88647842,180.881012,31,1
19,14-1,,MUFA,,22.68431473,13.62588406,22.68649864,12.44106197,22.68410683,10.43957901,22.6872139,4.823341846,22.68927383,2.252179146,22.68333054,4.497888088,22.68265533,9.531222343,22.68590164,34.55542755,22.68204498,11.35436535,22.68131065,11.80021572,25,0.806451613
22,i15-0,,SAFA,bacteria,23.84004593,17.03572845,23.84061241,13.41611576,23.83909607,12.16024685,23.83987808,11.28899002,23.8424015,10.16940022,23.83992386,23.80042458,23.83496666,6.156296253,23.84939766,55.03609467,23.84017372,27.91177177,23.83605576,23.86857414,22,0.709677419
23,,,,,24.11083984,3.401964188,24.1115818,1.94771266,NA,NA,24.11476326,1.825108171,24.1150074,3.360044956,24.1131897,3.328696012,NA,NA,24.11329651,18.16333199,24.1114521,8.870362282,24.10912704,7.197844028,12,0.387096774
24,a15-0,,SAFA,bacteria,24.32583046,11.34187984,24.32683945,6.880585194,24.32536888,9.392165184,24.32587242,9.807372093,24.32764626,3.772555113,24.32353783,10.10333538,24.32177162,3.239655972,24.33214951,39.96210861,24.32441521,18.90422058,24.32138634,14.92420864,19,0.612903226
25,,,,,24.76962852,1.886434436,24.76499939,2.054297924,24.73320961,1.582490563,NA,NA,24.71817589,1.560165405,NA,NA,24.71861458,1.521123648,24.79117775,1.930691957,24.74870682,1.514927745,24.73257065,1.641186595,25,0.806451613
26,15-0,,SAFA,,25.40162468,18.71272087,25.40297508,14.84617996,25.40307236,29.12837982,25.40095139,7.792221546,25.40275574,4.758803368,25.39910316,17.13951874,25.39695358,18.03871155,25.40431213,36.81789398,25.40040588,20.49576759,25.39758301,14.13075256,26,0.838709677
31,i16-0,,SAFA,bacteria,27.45254898,7.134357929,27.45309448,4.513172626,27.44734764,4.839259148,27.44729233,2.277812481,NA,NA,27.44527626,4.164742947,27.44266319,3.120823622,27.44939232,10.9768219,27.44906807,6.675378799,27.44352531,7.114460945,15,0.483870968
32,16-0,,SAFA,t-POM,29.27760315,358.327179,29.25990295,286.9136353,29.28328896,420.2233582,29.23870659,232.6644745,29.22878838,199.420166,29.26013184,326.1678162,29.24206924,265.9096375,29.30967522,555.3544922,29.28464699,413.5822754,29.25286484,310.4258118,31,1
33,16-0 (secondary),,SAFA,t-POM,NA,NA,NA,NA,NA,NA,29.50426674,4.144557476,NA,NA,29.50925636,11.93279076,NA,NA,29.52778435,10.96151924,29.52038765,6.137532711,29.58412552,6.911828041,7,0.225806452
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,29.8139286,18.77343178,29.80355072,16.17406654,29.80438232,8.115167618,29.81336594,2.766767025,NA,NA,29.82842827,11.60521889,29.78689957,4.781125069,29.80888748,11.18603325,29.80395317,31.89764786,29.79235268,3.486341715,24,0.774193548
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.19004822,165.4835663,30.16991425,101.6272507,30.17035103,103.3655167,30.14167976,22.07278633,30.13835907,15.89616489,30.14422417,33.13156891,30.14143562,37.33267975,30.18308258,131.5342407,30.18852425,160.8198547,30.15393257,76.60489655,31,1
38,16-1n6,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,30.41078758,2.862896442,NA,NA,30.39899826,5.307274342,NA,NA,30.68173027,5.987483025,NA,NA,NA,NA,30.41617966,5.538543701,30.41203117,3.128777504,30.39570618,2.84931469,13,0.419354839
39,16-1n5,,MUFA,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),30.68624687,9.247582436,30.68545723,7.398258686,30.68272591,6.685977936,30.68041801,4.879556179,NA,NA,30.67647171,4.402616024,30.67429924,4.748585701,30.6956768,38.42290115,30.68571091,17.42850304,30.67844582,14.05995846,22,0.709677419
40,17-0,,SAFA,,31.49868774,9.857953072,31.49956131,8.399643898,31.48998451,6.364057064,31.48888206,3.497860432,31.4910183,5.151728153,31.4871254,6.461574078,31.48613358,5.248898983,31.50484085,38.63804626,31.49287415,13.46193886,31.48195839,9.023931503,25,0.806451613
42,17-0,,SAFA,,32.12086487,6.996881008,32.12126923,5.591868877,32.11447525,9.081670761,32.11426163,7.691358566,32.11193085,5.151011944,32.11138153,14.2222147,32.10700607,4.924046516,32.13198471,48.71154404,32.11667252,21.31278038,32.11682129,31.01559448,26,0.838709677
45,17-0,,SAFA,,33.4528656,22.06592751,33.45392609,19.78606224,33.44363403,20.18258858,33.44020462,5.226006031,33.44042587,6.875518799,33.44052505,17.07004166,33.43676376,16.97366524,33.44661331,18.94780922,33.44277573,15.33181286,33.4355011,9.018971443,29,0.935483871
46,16-4n3,,PUFA,green algae,34.34563065,17.34546471,34.34685898,14.70929337,34.3428688,20.00393295,34.34649277,5.217898846,34.34456253,4.098113537,34.34379578,9.743704796,34.33417511,18.65445518,34.37398529,33.95146561,34.3477478,26.64349937,34.34241486,21.55394936,27,0.870967742
