Peak,FA_name,Common_name,Class,synthesizer,Reten_81_clear_clad,Area_81_clear_clad,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,total_appearances,availability
16,i14-0,,SAFA,bacteria,NA,NA,NA,NA,20.35675049,1.727248907,NA,NA,20.3431282,1.654696703,20.35378838,1.853686929,10,0.322580645
17,14-0,,SAFA,,21.86912155,92.78793335,21.85910988,42.81863403,21.85814285,17.18531609,21.85886574,9.541446686,21.8446312,7.10138464,21.85879326,41.41214752,31,1
19,14-1,,MUFA,,22.68528938,2.345734358,NA,NA,22.68408585,3.127722502,NA,NA,NA,NA,NA,NA,25,0.806451613
22,i15-0,,SAFA,bacteria,23.8382225,14.07558346,23.83909225,7.407576561,23.84019279,10.68257904,23.84273148,2.047887802,23.82574081,4.189491749,23.83642197,12.75278473,22,0.709677419
23,,,,,24.11112213,3.217230082,24.11166954,3.33568716,24.11330032,1.67125845,NA,NA,NA,NA,NA,NA,12,0.387096774
24,a15-0,,SAFA,bacteria,24.32339096,7.374485493,24.32496452,4.868420601,24.32566071,5.592789173,24.32883263,1.673113108,24.31127167,3.198622704,24.32312012,11.67530537,19,0.612903226
25,,,,,24.71136475,1.471202135,24.70915985,1.970144391,24.72388077,2.315345287,NA,NA,NA,NA,NA,NA,25,0.806451613
26,15-0,,SAFA,,25.39833832,8.018041611,25.39863777,6.470828056,25.4001503,10.7924118,25.39885902,7.028996944,25.38626671,3.854204655,25.39793968,14.39272785,26,0.838709677
31,i16-0,,SAFA,bacteria,27.4442482,2.866551638,NA,NA,27.44618607,4.208743095,NA,NA,27.42981148,2.468459606,27.44314957,3.745666265,15,0.483870968
32,16-0,,SAFA,t-POM,29.2155571,165.1879578,29.21558571,163.9787598,29.23049164,199.880188,29.19596291,106.1043243,29.18924332,113.3125381,29.23165131,206.9620819,31,1
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,29.78429985,5.516699791,29.78369713,10.3259306,29.79359055,14.55446434,29.78159714,6.779488564,29.77671623,5.798832893,29.7900219,11.56045532,24,0.774193548
