Category,Putative Source,C,O,Z,Mirror,Y.025,Y.015,L,Clear,Morgenroth,Milk
iSAFA,bacteria,3.145060611,2.800695996,1.82347691,1.964772799,1.817851207,3.100371396,1.427075323,2.966391686,2.664107907,2.609999969
short_SAFA,,41.91537354,42.07107971,45.34778555,35.58233452,37.66416642,34.19019867,37.02134694,31.21638025,32.98317341,28.15814566
unidentified,,0.549586586,0.637044142,0.520457038,0.294057651,0.635843247,0.329046216,0.676388245,0.043332041,0.247251054,0.346187738
other_MUFA,,23.49121459,19.99056558,15.06557131,4.555617253,5.44110293,7.494611963,9.370000516,7.96704164,14.07420458,8.955474633
16.1n5,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),0.652327471,0.655710756,0.423428201,0.359866037,0.00000001,0.239889962,0.417938268,0.862355442,0.744792565,0.63219637
long_SAFA,terrestrial,0.679198057,0.744695162,1.001792246,0.640638706,1.280916588,1.013354907,0.826183005,1.004963465,0.881184354,0.62856859
other_n3_and_n6_PUFA,non-terrestrial,2.628705992,3.118588845,9.829847373,20.48747958,18.12626552,20.78446745,13.63547091,20.78285307,12.07000013,21.05745968
ARA,terrest?,2.249565637,2.01361456,1.972742674,3.855228789,5.197969651,2.565776597,2.869473907,1.300145949,1.739534951,1.765093872
EPA_and_16.4n3,diatoms,3.810518296,4.12910352,4.551174116,8.218959839,8.147711725,7.060191986,6.506493446,6.120663773,7.528882711,12.00222257
LIN_ALA_SDA,green algae,9.702519473,9.165156928,10.1681046,18.7140435,15.46836337,15.28456231,15.81193178,20.9475746,12.03661821,14.84927665
OA,detritus,10.06472751,13.58221523,8.285717844,4.553866025,5.881842194,7.66614753,10.29273363,4.976176739,13.90534306,7.880560478
