Peak,FA_name,Common_name,Class,synthesizer,Rel_3_C_caddis,Rel_4_C_caddis,Rel_6_milk_caddis,Rel_7_mirror_caddis,Rel_8_morg_caddis,Rel_9_morg_caddis,Rel_10_noname_caddis,Rel_11_y015_caddis,Rel_12_y025_caddis,Rel_13_Z_caddis,Rel_108_clear_caddis
3,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
8,12 /- 0,,SAFA,,#VALUE!,0.132548037,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
13,13-0,,SAFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
16,i14-0,,SAFA,bacteria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
17,14-0,,SAFA,,0.979304316,1.260786957,1.796317185,1.065546157,1.854674412,1.142559211,0.748891858,1.02513734,1.146456494,1.139712163,0.551432
18,14-0,,SAFA,,0.451877732,1.49094442,#VALUE!,0.236298128,#VALUE!,#VALUE!,#VALUE!,0.801698895,0.528468914,0.455025888,#VALUE!
19,14-1,,MUFA,,0.556213149,1.942811666,1.035378412,1.647067154,1.777902512,1.257088279,0.457370431,3.380747624,1.819485087,0.344461053,0.936654916
19.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
20,,,,,#VALUE!,0.221491351,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.32732961,#VALUE!,#VALUE!,#VALUE!
21,14-3n?,,PUFA,,#VALUE!,0.251792798,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.157288903,#VALUE!
22,i15-0,,SAFA,bacteria,0.172256641,0.323900121,#VALUE!,0.181187584,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.192367659,0.349046599,#VALUE!
23,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
24,a15-0,,SAFA,bacteria,#VALUE!,0.139622208,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.225127637,#VALUE!
25,,,,,0.182914547,0.174851824,0.375521502,0.170267311,0.28909511,0.316100184,0.34641712,0.368451974,0.202192398,0.138999688,0.302765049
26,15-0,,SAFA,,0.379420224,0.573485849,#VALUE!,0.178485695,0.351564572,0.320894903,0.395931571,0.355257668,0.271248841,0.599730256,#VALUE!
27,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
28,,,,,#VALUE!,0.153561215,0.59067045,0.308033064,0.45064323,0.57534214,0.915251219,#VALUE!,0.242477177,0.236571304,#VALUE!
29.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
31,i16-0,,SAFA,bacteria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.222081501,#VALUE!
32,16-0,,SAFA,t-POM,18.85460737,21.7062039,21.22634284,34.48583033,28.02536397,23.13239741,34.70811802,20.47147762,21.55274342,17.37000985,26.15517658
33,16-0 (secondary),,SAFA,t-POM,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,0.469464314,0.377682467,#VALUE!,0.666363749,#VALUE!,#VALUE!,0.417519468,0.461389196,0.515612649,0.565892212,0.387704879
36,16-1,,MUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.31806788,#VALUE!
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,3.470748552,4.701079266,5.904553027,7.571317013,7.238097847,4.6213882,2.714785024,6.80423007,5.424249394,6.535756806,6.478484845
38,16-1n6,,MUFA,MOB,#VALUE!,#VALUE!,#VALUE!,0.410642186,0.502893127,0.466793148,#VALUE!,#VALUE!,0.447946739,0.217387347,0.69636985
