Peak,FA_name,Common_name,Class,synthesizer,Rel_90_C_cal,Rel_92_O_cal,Rel_94_Z_cal,Rel_85_mirror_cal,Rel_86_y025_cal,Rel_87_y015_cal,Rel_96_L_cal,Rel_82_clear_cal,Rel_83_morg_cal,Rel_105_milk_cal
3,,,,,0.263181173,0.334026537,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
4.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.101616313
8,12 /- 0,,SAFA,,0.127176005,0.135613485,0.511475341,#VALUE!,#VALUE!,#VALUE!,0.126423984,0.198890523,0.096085375,0.077015846
13,13-0,,SAFA,,0.124687394,#VALUE!,0.235552078,#VALUE!,#VALUE!,0.090006864,0.258511608,0.125192114,#VALUE!,#VALUE!
16,i14-0,,SAFA,bacteria,0.64003497,0.190698126,0.152071776,#VALUE!,#VALUE!,0.177558046,#VALUE!,0.127104963,0.124170071,0.094643801
17,14-0,,SAFA,,6.181273047,5.404516812,9.008310681,10.7402549,8.135849367,8.740258678,3.496548887,12.14508648,7.742692192,8.133190401
18,14-0,,SAFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.081563969,0.079925007,#VALUE!
19,14-1,,MUFA,,0.961174291,1.102656516,0.661146686,0.355720244,0.226533451,0.245081151,0.838873468,0.775554685,0.485219349,0.530588591
19.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.159805171,#VALUE!,#VALUE!
20,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.041917219,#VALUE!,#VALUE!
21,14-3n?,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
22,i15-0,,SAFA,bacteria,1.201705823,1.189075941,0.770117924,0.832560166,1.022880144,1.296838722,0.541835391,1.235218433,1.192786325,1.073234033
23,,,,,0.23997566,0.172626586,#VALUE!,0.134601267,0.337967156,0.181374154,#VALUE!,0.40765397,0.379067546,0.32364611
24,a15-0,,SAFA,bacteria,0.800059891,0.609829138,0.594813151,0.723291218,0.379459126,0.550511042,0.28513252,0.896901088,0.807856126,0.671056785
25,,,,,0.133069698,0.182073283,0.100220362,#VALUE!,0.15692786,#VALUE!,0.133878974,0.043332041,0.064739176,0.073794827
26,15-0,,SAFA,,1.320001413,1.315823128,1.844723028,0.574674373,0.478660036,0.933898953,1.587644898,0.826333002,0.875869562,0.635379578
27,,,,,0.130645332,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.051230456,#VALUE!,#VALUE!
28,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
29.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.097852164,#VALUE!
31,i16-0,,SAFA,bacteria,0.503259928,0.400004374,0.306474059,0.167988096,#VALUE!,0.226928722,0.274673703,0.246361462,0.285266755,0.319896847
32,16-0,,SAFA,t-POM,25.27651569,25.42927528,26.61307324,17.1589463,20.05850135,17.77224825,23.40356061,12.46425841,17.67409416,13.9580833
33,16-0 (secondary),,SAFA,t-POM,#VALUE!,#VALUE!,#VALUE!,0.305660068,#VALUE!,0.650194499,#VALUE!,0.246018012,0.26228235,0.310785598
35,16-1n9?,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,1.324283981,1.43351427,0.513939899,0.20404837,#VALUE!,0.632345746,0.420802162,0.251056957,1.363119421,0.156760959
36,16-1,,MUFA,,#VALUE!,#VALUE!,0.533423529,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.102250863,0.144595023,0.154324861
37,16-1,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,11.67326456,9.007265657,6.546218846,1.627862424,1.598901713,1.80527458,3.285768961,2.952126594,6.872502581,3.444486529
38,16-1n6,,MUFA,all 16 MUFA and PUFA characteristic of diatoms,0.201949646,#VALUE!,0.336113826,#VALUE!,0.602245694,#VALUE!,#VALUE!,0.1243059,0.133705701,0.128117477
39,16-1n5,,MUFA,sulfate reducers (all 16 MUFA and PUFA characteristic of diatoms?),0.652327471,0.655710756,0.423428201,0.359866037,#VALUE!,0.239889962,0.417938268,0.862355442,0.744792565,0.63219637
39.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.132621633
40,17-0,,SAFA,,0.695383214,0.744463945,0.403040701,0.257966324,0.518182028,0.352078571,0.461972445,0.867184114,0.575284748,0.405754879
41,16-2,,PUFA,green algae and diatoms,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.17117809,0.068927004,0.129459197,#VALUE!
41.5,?,,SAFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
42,17-0,,SAFA,,0.493562261,0.495609673,0.575149297,0.567235754,0.518109989,0.774940744,0.433381137,1.093271561,0.910783923,1.394594891
42.5,17-1,,MUFA,,0.180346849,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.089044657,#VALUE!,#VALUE!
43,17-1?,,MUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.252140281,0.343673505,0.227686464
44,16-2?,,PUFA,,0.225536678,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.078384021,#VALUE!,#VALUE!
44.5,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.10822431,#VALUE!,0.116063294
45,17-0,,SAFA,,1.5565377,1.753646957,1.278179087,0.385416626,0.691567989,0.930113282,1.493906754,0.425260611,0.655192256,0.405531853
45.5,16-3n4,,PUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.109299104,0.215551941,0.154945182
46,16-4n3,,PUFA,green algae,1.223554719,1.303690812,1.266864686,0.384818724,0.412205132,0.530915473,1.641838471,0.761999492,1.13858776,0.969158521
47,17-1,,MUFA,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
49,17-1,,MUFA,,0.527312704,0.401382378,0.430238228,0.29507263,#VALUE!,0.344565039,#VALUE!,0.351584975,0.463330445,0.323809274
50,i18-0,,SAFA,bacteria,#VALUE!,0.411088417,#VALUE!,0.240933319,0.415511937,0.848534864,0.325433709,0.46080574,0.254028631,0.451168502
51,17-2? Or a18-0,,PUFA or SAFA,could be bacteria,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.349560024,#VALUE!,#VALUE!,#VALUE!
52,18-0,,SAFA,t-POM,6.392100206,6.92774392,5.625309514,5.592180178,7.263295656,4.036465691,6.144332204,3.06740409,4.207049207,2.914825161
54,18-1n9c,oleic acid,MUFA,fungi,10.06472751,13.58221523,8.285717844,4.553866025,5.881842194,7.66614753,10.29273363,4.976176739,13.90534306,7.880560478
55,18-1n7,,MUFA,,7.627909415,6.6719733,4.124276474,0.952764316,1.377114893,2.99707783,3.080086632,1.7302744,2.53011509,2.087896314
