Peak,FA_name,Common_name,Class,synthesizer,Reten_1_mirror_fish,Area_1_mirror_fish,Reten_2_mirror_fish,Area_2_mirror_fish,Reten_3_C_caddis,Area_3_C_caddis,Reten_4_C_caddis,Area_4_C_caddis,Reten_6_milk_caddis,Area_6_milk_caddis,Reten_7_mirror_caddis,Area_7_mirror_caddis,Reten_8_morg_caddis,Area_8_morg_caddis,Reten_9_morg_caddis,Area_9_morg_caddis,Reten_10_noname_caddis,Area_10_noname_caddis,Reten_11_y015_caddis,Area_11_y015_caddis,Reten_12_y025_caddis,Area_12_y025_caddis,Reten_13_Z_caddis,Area_13_Z_caddis,Reten_90_C_cal,Area_90_C_cal,Reten_92_O_cal,Area_92_O_cal,Reten_108_clear_caddis,Area_108_clear_caddis,Reten_94_Z_cal,Area_94_Z_cal,Reten_85_mirror_cal,Area_85_mirror_cal,Reten_86_y025_cal,Area_86_y025_cal,Reten_87_y015_cal,Area_87_y015_cal,Reten_80_clear_chaob,Area_80_clear_chaob,Reten_96_L_cal,Area_96_L_cal,Reten_81_clear_clad,Area_81_clear_clad,Reten_82_clear_cal,Area_82_clear_cal,Reten_83_morg_cal,Area_83_morg_cal,Reten_84_morg_clad,Area_84_morg_clad,Reten_93_O_clad,Area_93_O_clad,Reten_105_milk_cal,Area_105_milk_cal,Reten_106_milk_chaob,Area_106_milk_chaob,Reten_97_L_clad,Area_97_L_clad,Reten_91_C_clad,Area_91_C_clad,Reten_95_Z_clad,Area_95_Z_clad,,Reten_17_O_filAlgae,Area_17_O_filAlgae,Reten_32_O_peri,Area_32_O_peri,Reten_29_morg_peri,Area_29_morg_peri,Reten_34_y015_peri,Area_34_y015_peri,Reten_41_C_pom,Area_41_C_pom,Reten_44_clear_pom,Area_44_clear_pom,Reten_48_milk_pom,Area_48_milk_pom,Reten_51_mirror_pom,Area_51_mirror_pom,Reten_54_morg_pom,Area_54_morg_pom,Reten_64_Z_pom,Area_64_Z_pom,Reten_71_O_soil,Area_71_O_soil,Reten_73_plant,Area_73_plant,Reten_74_plant,Area_74_plant,Reten_75_plant,Area_75_plant,Reten_76_plant,Area_76_plant,Reten_77_plant,Area_77_plant,Reten_109_Z_moss,Area_109_Z_moss,total_appearances_prod,total_appearances_cons,,
3,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.66598988,3.730932236,12.66570759,3.768757343,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.041666667
4.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13.26914215,2.259932518,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
8,12 /- 0,,SAFA,,NA,NA,NA,NA,NA,NA,15.34306622,1.542387605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.33848763,1.802883744,15.3398056,1.530100942,NA,NA,15.34118271,8.076251984,NA,NA,NA,NA,NA,NA,NA,NA,15.34449387,1.43642056,NA,NA,15.33922005,8.861718178,15.34272099,2.248443842,NA,NA,NA,NA,15.34206676,1.712821603,NA,NA,NA,NA,NA,NA,15.34287453,2.23063755,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.31839561,2.436595917,15.30360031,1.731511116,NA,NA,2,9,11,0.229166667
13,13-0,,SAFA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.45900917,1.76760447,NA,NA,NA,NA,18.46269417,3.719393253,NA,NA,NA,NA,18.46356392,1.65186429,NA,NA,18.46164513,2.93719101,NA,NA,18.45994568,5.578029633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,0.104166667
16,i14-0,,SAFA,bacteria,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.35292435,9.073320389,20.35662842,2.151610374,NA,NA,20.35474014,2.401230097,NA,NA,NA,NA,20.35417366,3.258660316,NA,NA,NA,NA,NA,NA,20.35063934,5.663258076,20.35289192,2.905639172,NA,NA,20.35675049,1.727248907,20.35147858,2.104864836,NA,NA,NA,NA,20.3431282,1.654696703,20.35378838,1.853686929,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0.208333333
17,14-0,,SAFA,,21.85639763,2.120194912,21.85587502,9.454238892,21.85309029,10.12435627,21.86231041,14.67107487,21.85709381,8.77461338,21.83420181,12.04671383,21.86122704,11.44474125,21.85804558,6.614631176,21.85689735,4.063191891,21.86492157,6.256418705,21.86219978,10.40098858,21.86549187,15.75446987,21.86933708,87.62751007,21.86444664,60.97812653,21.84628296,3.299023628,21.88247299,142.242218,21.88342857,145.631073,21.86917305,80.88602448,21.88495827,160.4068909,21.84499168,6.417704582,21.8566494,39.72754669,21.86912155,92.78793335,21.94711113,541.1335449,21.88932037,181.1827087,21.85910988,42.81863403,21.85814285,17.18531609,21.88647842,180.881012,21.86402321,82.30506134,21.85886574,9.541446686,21.8446312,7.10138464,21.85879326,41.41214752,,21.81583595,2.810913801,21.83434486,9.179749489,21.83333588,11.31094933,NA,NA,21.83586693,3.095624208,21.834692,2.42884469,21.83822632,6.216326714,21.83847618,1.770781279,21.83687019,2.421883345,NA,NA,21.833395,7.002393723,21.85050011,4.692823887,21.85022736,9.851249695,21.86149597,3.105415344,21.83374214,3.98380518,21.81867218,3.239259005,21.83647728,3.361407757,15,31,46,0.958333333
18,14-0,,SAFA,,NA,NA,NA,NA,22.05846405,4.671654224,22.06445503,17.34928894,NA,NA,22.03938103,2.671508789,NA,NA,NA,NA,NA,NA,22.06787872,4.892772675,22.06593513,4.794424534,22.07081795,6.289914131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.08487129,3.634144545,22.07451439,1.870283484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,8,0.166666667
19,14-1,,MUFA,,NA,NA,22.607584,7.609663486,22.60490036,5.750306606,22.61231232,22.60741615,22.61032677,5.057595253,22.58655357,18.62119865,22.61333466,10.97100067,22.61024284,7.277675629,22.6101017,2.481511593,22.61660767,20.63272095,22.61476326,16.50690079,22.61843872,4.761554241,22.68431473,13.62588406,22.68649864,12.44106197,22.59915543,5.603676796,22.68410683,10.43957901,22.6872139,4.823341846,22.68927383,2.252179146,22.68333054,4.497888088,NA,NA,22.68265533,9.531222343,22.68528938,2.345734358,22.68590164,34.55542755,22.68204498,11.35436535,NA,NA,22.68408585,3.127722502,22.68131065,11.80021572,22.68378067,2.490204096,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,25,0.520833333
19.5,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.95431137,7.120240688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0.020833333
20,,,,,NA,NA,NA,NA,NA,NA,23.09687233,2.577371359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.10172844,1.997694373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.10186386,1.867653489,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,3,0.0625
21,14-3n?,,PUFA,,NA,NA,NA,NA,NA,NA,23.49716377,2.92997241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.50439644,2.174236059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,0.041666667
22,i15-0,,SAFA,bacteria,NA,NA,NA,NA,23.83912468,1.780843377,23.84665489,3.769045115,NA,NA,23.81925392,2.048447132,NA,NA,NA,NA,NA,NA,NA,NA,23.8482151,1.745215654,23.84981918,4.824941158,23.84004593,17.03572845,23.84061241,13.41611576,NA,NA,23.83909607,12.16024685,23.83987808,11.28899002,23.8424015,10.16940022,23.83992386,23.80042458,NA,NA,23.83496666,6.156296253,23.8382225,14.07558346,23.84939766,55.03609467,23.84017372,27.91177177,23.83909225,7.407576561,23.84019279,10.68257904,23.83605576,23.86857414,23.83674622,9.187203407,23.84273148,2.047887802,23.82574081,4.189491749,23.83642197,12.75278473,,NA,NA,23.81855774,2.834122896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.81871796,2.99530673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.82254028,1.676621079,3,22,25,0.520833333
23,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.11083984,3.401964188,24.1115818,1.94771266,NA,NA,NA,NA,24.11476326,1.825108171,24.1150074,3.360044956,24.1131897,3.328696012,NA,NA,NA,NA,24.11112213,3.217230082,24.11329651,18.16333199,24.1114521,8.870362282,24.11166954,3.33568716,24.11330032,1.67125845,24.10912704,7.197844028,24.11074829,2.399925947,NA,NA,NA,NA,NA,NA,,24.04236794,5.910906315,24.0633564,2.22954607,24.06341171,1.945456147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.07557297,1.899476409,24.07682419,4.828697681,24.08845711,2.294549227,24.06099129,5.338634014,NA,NA,24.06271935,3.243938208,8,12,20,0.416666667
24,a15-0,,SAFA,bacteria,NA,NA,NA,NA,NA,NA,24.33223534,1.624705791,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.3362484,3.111984491,24.32583046,11.34187984,24.32683945,6.880585194,NA,NA,24.32536888,9.392165184,24.32587242,9.807372093,24.32764626,3.772555113,24.32353783,10.10333538,NA,NA,24.32177162,3.239655972,24.32339096,7.374485493,24.33214951,39.96210861,24.32441521,18.90422058,24.32496452,4.868420601,24.32566071,5.592789173,24.32138634,14.92420864,24.32289696,5.597839355,24.32883263,1.673113108,24.31127167,3.198622704,24.32312012,11.67530537,,NA,NA,24.30423737,3.635586262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.32067299,2.188144922,NA,NA,NA,NA,NA,NA,24.20086861,21.27974129,NA,NA,3,19,22,0.458333333
26,15-0,,SAFA,,NA,NA,NA,NA,25.39637756,3.922565699,25.4051342,6.673335075,NA,NA,25.37828445,2.017900467,25.40562057,2.169418812,25.40177345,1.857760549,25.4011097,2.148168564,25.40969849,2.168139458,25.40641785,2.460848808,25.40990829,8.29019165,25.40162468,18.71272087,25.40297508,14.84617996,NA,NA,25.40307236,29.12837982,25.40095139,7.792221546,25.40275574,4.758803368,25.39910316,17.13951874,NA,NA,25.39695358,18.03871155,25.39833832,8.018041611,25.40431213,36.81789398,25.40040588,20.49576759,25.39863777,6.470828056,25.4001503,10.7924118,25.39758301,14.13075256,25.39775848,6.433172226,25.39885902,7.028996944,25.38626671,3.854204655,25.39793968,14.39272785,,25.35726929,1.559969544,25.37801743,11.6686182,25.37683868,2.998090029,NA,NA,25.37932777,2.401291847,NA,NA,25.38289833,1.855491877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,26,31,0.645833333
