Peak,FA_name,Common_name,Class,synthesizer,short_SAFA,iSAFA_etc,other_MUFA,LIN,other_n3_n6_PUFA,OA_16.4n3,ALA_SDA,long_SAFA,EPA_DHA,other_PUFA,i00121517,i00221517,i00310311,i00410311,i00630316,i00720317,i00840321,i00940321,i01040320,i01120318,i01220319,i01310314,i09012011,i09212013,i10830315,i09412014,i08522017,i08622019,i08722018,i08031715,i09612012,i08130115,i08232015,i08342021,i08440121,i09310113,i10532016,i10631716,i09710112,i09110111,i09510114,i01711113,i00050410,i00050810,i07110913,i00051410,i10910714
8, 12-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,0.132780206,NA,NA,NA,NA,NA,NA,NA,NA,0.127345464,0.135860852,NA,0.511988458,NA,NA,NA,NA,0.126593466,NA,0.198976744,0.096147621,NA,NA,0.077072722,NA,NA,NA,0.291631619,NA,NA,NA,NA,0.136233043,NA
13,13-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.124853536,NA,NA,0.235788386,NA,NA,0.090006864,NA,0.258858164,NA,0.125246386,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
16,i14-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.640887797,0.191045969,NA,0.152224336,NA,NA,0.177558046,NA,NA,NA,0.127160064,0.124250509,NA,0.207552178,0.094713695,NA,NA,0.364798846,0.242349422,NA,NA,NA,NA,NA,NA
17,14-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,0.788014029,1.199881602,0.981098889,1.262995327,1.803088168,1.067363528,1.86005173,1.146182295,0.751495166,1.028928447,1.148779239,1.141298564,6.189509408,5.414374942,0.553106613,9.0173479,10.7402549,8.148636849,8.740258678,1.073166568,3.501236306,15.16634684,12.15035148,7.747707994,7.870671116,2.065046772,8.139196707,4.988561559,1.768889684,1.565590187,5.414188259,0.477970376,1.233780449,3.803234287,1.128020614,1.068560882,1.113537809
18,14-0,,SAFA,,1,0,0,0,0,0,0,0,0,0,NA,NA,0.452705797,1.493555929,NA,0.236701152,NA,NA,NA,0.804663695,0.529539603,0.455659253,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.081599328,0.079976784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
19,14-1,,MUFA,,0,0,1,0,0,0,0,0,0,0,NA,0.965777924,0.557232408,1.946214658,1.039281136,1.649876354,1.783057243,1.261074538,0.458960348,3.393250121,1.823171401,0.344940519,0.962455027,1.104667821,0.939499392,0.661809955,0.355720244,0.226889504,0.245081151,NA,0.839998049,0.383414304,0.775890895,0.485533679,NA,0.375837909,0.530980427,0.150932837,NA,NA,NA,NA,NA,NA,NA,NA,NA
21,14-3n?,,PUFA,,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,0.252233834,NA,NA,NA,NA,NA,NA,NA,0.157507838,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,i15-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,0.172572301,0.324467458,NA,0.181496613,NA,NA,NA,NA,0.192757399,0.349532448,1.20330706,1.19124488,NA,0.770890513,0.832560166,1.024487851,1.296838722,NA,0.542561768,2.300678256,1.235753911,1.193559026,1.361617441,1.283655491,1.074026609,0.55684218,0.379658109,0.923626518,1.667288018,NA,0.154868567,NA,0.482516104,NA,0.55541639
24,a15-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,NA,0.139866768,NA,NA,NA,NA,NA,NA,NA,0.225440999,0.801125947,0.6109415,NA,0.595409873,0.723291218,0.380055539,0.550511042,NA,0.285514764,1.205372301,0.897289902,0.808379464,0.894884628,0.67204881,0.671552356,0.339288566,0.310178594,0.705176887,1.526419301,NA,0.198663945,NA,NA,0.610387069,NA
26,15-0,,SAFA,bacteria,0,1,0,0,0,0,0,0,0,0,NA,NA,0.38011551,0.574490355,NA,0.178790116,0.352583875,0.321912469,0.397307913,0.356571462,0.271798397,0.60056504,1.321760276,1.31822326,NA,1.846573671,0.574674373,0.479412367,0.933898953,NA,1.58977327,1.310562652,0.826691224,0.87643696,1.189429804,1.296853374,0.635848802,0.389918617,1.303106394,0.849708232,1.881692759,0.26525866,0.831689986,0.73396084,NA,NA,NA
