trt,mort,harv
C. ozolinii,1,0
C. ozolinii,1,0
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
C. ozolinii,0,1
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont.,1,0
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,0,1
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Mont. pr.,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine,1,0
Alpine pr.,0,1
Alpine pr.,0,1
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
Alpine pr.,1,0
