 ,Area,Mean,Min,Max,BX,BY,Width,Height
1,7.449,112.720,5,179,3.868,17.735,2.547,2.924
2,7.385,106.057,2,165,14.182,17.389,2.421,3.050
3,6.208,103.098,1,172,24.024,16.729,2.295,2.704
4,6.749,97.812,2,168,33.709,17.263,2.358,2.862
5,7.968,102.074,2,162,43.614,16.226,2.484,3.207
6,6.824,100.029,2,164,53.960,15.282,2.107,3.239
7,6.625,77.944,1,148,63.928,16.037,2.107,3.145
8,5.936,102.953,4,171,4.151,27.860,2.170,2.736
9,8.638,106.040,4,173,14.748,27.640,2.641,3.270
10,7.218,105.522,2,174,24.024,27.577,2.295,3.145
11,9.750,116.515,3,197,32.829,27.577,2.673,3.648
12,7.638,104.560,4,155,44.180,26.257,2.358,3.239
13,6.482,102.490,3,167,55.218,26.068,2.170,2.987
