lake,type,note1,Cmass,Cpeak,Cpercent,d13C,CpercentAcc,CpercentPrec,d13Cacc,d13Cprec,Nmass,Npeak,Npercent,d15N,placeholder,NpercentAcc,NpercentPrec,d15Nacc,d15Nprec,dD_stdev,H_dD_uncor_permil,dD_H2O,placeholder,placeholder,H_percent,placeholder,w,placeholder,C_to_N_mass,c_mass_samp,n_mass_samp,c_moles_samp,n_moles_samp,C_to_N_moles
C,Calanoida,,0.540333333,180.5166667,51.48076667,-29.5801,-1.7936,1.8802,-0.085415,0.13102,0.540333333,179.0383333,10.08226667,4.61707,,-0.50568,0.44186,0.0091391,0.057457,,-154.796696,-61.1902,,,6.282598388,,0.2700098,,5.106070723,27.81677424,5.447784754,2.315941574,0.388933016,5.954602666
Clear,Calanoida,,0.536,176.5835,50.66405,-35.2658,-1.7936,1.8802,-0.085415,0.13102,0.536,154.444,8.78975,6.7236,,-0.50568,0.44186,0.0091391,0.057457,,-197.1874358,-87.786,,,6.884832774,,0.2724228,,5.76399215,27.1559308,4.711306,2.260921722,0.33635368,6.721858134
L,Calanoida,,0.543,183.522,52.1719,-27.7709,-1.7936,1.8802,-0.085415,0.13102,0.543,189.6205,10.6503,3.70745,,-0.50568,0.44186,0.0091391,0.057457,,-147.6181319,-47.74645,,,6.396030455,,0.2683769,,4.898631963,28.3293417,5.7831129,2.35861641,0.412873056,5.712691525
Milk,Calanoida,,0.518,171.463,51.1214,-36.1413,-1.7936,1.8802,-0.085415,0.13102,0.518,177.031,10.4234,4.3027,,-0.50568,0.44186,0.0091391,0.057457,,-210.4316883,-97.59605,,,6.340614107,,0.2704377,,4.904484141,26.4808852,5.3993212,2.204719441,0.385473063,5.719516224
Mirror,Calanoida,,0.5385,180.8775,51.93805,-27.73265,-1.7936,1.8802,-0.085415,0.13102,0.5385,152.2925,8.6093,3.76295,,-0.50568,0.44186,0.0091391,0.057457,,-191.1714257,-86.56905,,,6.338597901,,0.2674997,,6.032784315,27.96863993,4.63610805,2.328585457,0.330985082,7.035318449
Morgenroth,Calanoida,,0.535,173.137,49.9751,-34.1952,-1.7936,1.8802,-0.085415,0.13102,0.535,181.669,10.355,7.0092,,-0.50568,0.44186,0.0091391,0.057457,,-191.9068264,-81.4243,,,6.903500268,,0.2737283,,4.826180589,26.7366785,5.539925,2.226016027,0.395511173,5.628200109
O,Calanoida,,0.543,173.884,49.4339,-27.4428,-1.7936,1.8802,-0.085415,0.13102,0.543,192.1775,10.7873,4.36175,,-0.50568,0.44186,0.0091391,0.057457,,-145.6256812,-35.0595,,,5.897818269,,0.2664407,,4.582601763,26.8426077,5.8575039,2.234835376,0.418184044,5.34414311
Y-015,Calanoida,,0.5345,181.6395,52.4358,-26.57525,-1.7936,1.8802,-0.085415,0.13102,0.5345,164.774,9.4083,3.3681,,-0.50568,0.44186,0.0091391,0.057457,,-197.7577272,-75.04475,,,6.436821135,,0.270709,,5.573355441,28.0269351,5.02873635,2.333438939,0.359015946,6.499541226
Y-025,Calanoida,,0.5625,189.504,51.84525,-24.6669,-1.7936,1.8802,-0.085415,0.13102,0.5625,183.138,9.938,4.67125,,-0.50568,0.44186,0.0091391,0.057457,,-199.610571,-86.4781,,,6.202584734,,0.2739289,,5.216869591,29.16295313,5.590125,2.428020408,0.399095095,6.083814201
Z,Calanoida,,0.551,165.7315,46.79875,-28.7121,-1.7936,1.8802,-0.085415,0.13102,0.551,155.5505,8.6859,5.16805,,-0.50568,0.44186,0.0091391,0.057457,,-141.317118,-57.5709,,,6.283448197,,0.2723639,,5.387898778,25.78611125,4.7859309,2.146874636,0.341681366,6.283265189
Milk,Chaoborus,,0.571,160.374,42.8579,-33.4142,-1.5641,1.1012,0.0064728,0.081011,0.571,170.509,9.0744,8.6158,,-0.29796,0.25913,-0.035774,0.038319,,-164.9549215,-97.59605,,,6.091754662,,0.2662573,,4.72294587,24.4718609,5.1814824,2.037454075,0.369920925,5.507809741
C,Cladocera,,0.538,177.734,50.4698,-26.9549,-1.5641,1.1012,0.0064728,0.081011,0.538,191.642,10.8461,4.376,,-0.29796,0.25913,-0.035774,0.038319,,-149.8604261,-61.1902,,,6.300538987,,0.2689029,,4.653267073,27.1527524,5.8352018,2.260657098,0.416591833,5.426551652
Clear,Cladocera,,0.546,144.2675,40.272,-30.46385,-1.5641,1.1012,0.0064728,0.081011,0.546,165.4695,9.20485,5.11275,,-0.29796,0.25913,-0.035774,0.038319,,-187.3215552,-87.786,,,5.556611869,,0.2652856,,4.375084874,21.988512,5.0258481,1.83069786,0.358809745,5.102140856
L,Cladocera,,0.562,159.9445,43.42915,-26.2529,-1.5641,1.1012,0.0064728,0.081011,0.562,167.8445,9.07205,4.34335,,-0.29796,0.25913,-0.035774,0.038319,,-145.2838155,-47.74645,,,5.690849626,,0.2676989,,4.787137417,24.4071823,5.0984921,2.032069128,0.363996009,5.582668703
Morgenroth,Cladocera,,0.519,150.935,44.3434,-31.5123,-1.5641,1.1012,0.0064728,0.081011,0.519,171.198,10.0247,5.4979,,-0.29796,0.25913,-0.035774,0.038319,,-184.2773601,-81.4243,,,5.867802742,,0.2647113,,4.423414167,23.0142246,5.2028193,1.916095629,0.371444228,5.15850156
O,Cladocera,,0.56,180.752,49.3193,-26.9176,-1.5641,1.1012,0.0064728,0.081011,0.56,178.168,9.6757,3.6885,,-0.29796,0.25913,-0.035774,0.038319,,-141.1080836,-35.0595,,,6.110958365,,0.2642743,,5.097233275,27.618808,5.418392,2.299459495,0.386834583,5.944296602
Z,Cladocera,,0.59,187.36,48.5411,-28.0407,-1.5641,1.1012,0.0064728,0.081011,0.59,162.496,8.3621,4.1421,,-0.29796,0.25913,-0.035774,0.038319,,-145.5611315,-57.5709,,,5.640068336,,0.2693153,,5.804893508,28.639249,4.933639,2.384418366,0.352226672,6.76955652
Morgenroth,Cricket,,0.762,222.804,44.7675,-27.5762,-1.5641,1.1012,0.0064728,0.081011,0.762,278.257,11.1737,2.8454,,-0.29796,0.25913,-0.035774,0.038319,,,,,,,,,,4.00650635,34.112835,8.5143594,2.840132795,0.607864596,4.672311584
C,periphyton,QMA,2.031,224.982,17.4283,-25.9593,0.92544,1.1554,-0.050606,0.057281,2.031,93.287,1.5001,-5.01302,,0.29144,0.26336,-0.099243,0.064786,,-201.6629004,,,,,,,,11.61809213,35.3968773,3.0467031,2.947038323,0.217512894,13.5487983
Clear,periphyton,QMA,2.101,145.928,10.5859,-23.5935,-1.5641,1.1012,0.0064728,0.081011,2.101,72.695,1.0262,-6.21558,,-0.29796,0.25913,-0.035774,0.038319,,-215.0620822,,,,,,,,10.31563048,22.2409759,2.1560462,1.851717251,0.153926337,12.02989228
Clear,periphyton,GFF,2.071,348.96,26.2883,-23.3717,0.92544,1.1554,-0.050606,0.057281,2.071,171.228,2.6317,-6.016411,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,9.989094502,54.4430693,5.4502507,4.532767405,0.389109067,11.64909222
L,periphyton,QMA,2.022,362.074,27.5075,-26.1833,-1.5641,1.1012,0.0064728,0.081011,2.022,77.721,1.1431,-8.0219,,-0.29796,0.25913,-0.035774,0.038319,,-184.1148789,,,,,,,,24.06394891,55.620165,2.3113482,4.630768879,0.165013793,28.06292002
L,periphyton,GFF,2.107,377.682,27.5243,-26.058,-1.7936,1.8802,-0.085415,0.13102,2.107,82.97,1.2093,-8.1928,,-0.50568,0.44186,0.0091391,0.057457,,,,,,,,,,22.76052262,57.9937001,2.5479951,4.828382325,0.181908696,26.54288904
Milk,periphyton,QMA,2.089,68.923,5.4679,-22.5353,0.92544,1.1554,-0.050606,0.057281,2.089,30.984,0.53866,-7.5904,,0.29144,0.26336,-0.099243,0.064786,,-234.6008112,,,,,,,,10.15093009,11.4224431,1.12526074,0.95099851,0.080335599,11.83782181
Mirror,periphyton,GFF,2.165,341.404,24.6107,-13.3094,0.92544,1.1554,-0.050606,0.057281,2.165,170.376,2.5053,-4.23119,,0.29144,0.26336,-0.099243,0.064786,,,,,,,,,,9.823454277,53.2821655,5.4239745,4.43611402,0.387233133,11.45592574
