"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.67784474538361,-0.54280807108429,-5.18454863865237,-6.19239,-30.5522548912777,-30.3317770922865,-25.1517172306509,-28.37235,-191.757626227047,-205.525891388394,-210.873348004079,-157.3064625,1.56196636279266,3.64282269039046,4.56339824601809,2.72679794,1.45292723964691,3.83342066022443,3.65707124677665,1.540348521,10.1063577463787,18.4947487043911,13.307683595165,15.47038337
"Clear","Calanoida",-0.0493763685251025,-0.40027970832214,-6.40830874534302,-6.19239,-35.7905196380095,-31.6959558471187,-22.6953334858852,-28.37235,-241.670087864691,-229.848352180814,-231.627966853483,-161.4372422,1.5661409718693,3.60923674273051,3.61054819965135,2.72679794,1.53650691552478,6.25366621854229,4.36478142722792,1.540348521,10.3330105093603,19.7180692604222,14.9305775446076,15.47038337
"L","Calanoida",-3.43841042900196,-0.865738279035915,-7.97350493550742,-6.19239,-28.2513999382956,-31.2141422758932,-25.1094217836171,-28.37235,-183.976471397481,-202.485042944007,-214.572770640093,-161.4372422,1.48313475621665,2.98117830664714,3.73952762313085,2.72679794,1.66224485135017,3.66367903410183,3.48418684440489,1.540348521,10.1192964787042,22.4558825207411,14.0471273288655,15.47038337
"Milk","Calanoida",-2.07145212829073,-1.74562467820431,-7.45513441024732,-6.96259,-36.9610514131413,-31.3111265478464,-22.0910078979251,-26.644,-256.291703502899,-242.406287530193,-241.021602715744,-157.3064625,1.4215530551924,3.18937877618135,3.15482057830203,2.597857878,1.48079607363742,7.75055857813155,4.97307898617975,1.617015005,11.0249094654919,23.5471166519738,13.6399734702451,19.03892533
"Mirror","Calanoida",-3.24506091965733,-1.95098605335523,-6.25247754419438,-6.96259,-27.8554361217343,-28.0882616154785,-18.993786670025,-26.644,-236.39505260482,-237.482610123407,-240.07488570131,-161.4372422,1.62359909017674,2.8432436110852,3.7840235112552,2.597857878,1.57777190382381,5.42464742804712,9.85848989773041,1.617015005,10.4865770285309,19.3876429786173,14.3934866855673,19.03892533
"Morgenroth","Calanoida",0.556514801660697,-0.932348192164841,-7.66269436533644,-6.19239,-35.0920201383197,-31.7170463554801,-20.0493275800179,-28.37235,-228.624270063531,-231.702315087847,-239.431630074337,-161.4372422,1.5708837926667,2.79993148028076,3.46267663970508,2.72679794,1.50740079446805,3.86202791796922,5.45358016952674,1.540348521,10.4352577311024,17.7690685940551,13.9256847576676,15.47038337
"O","Calanoida",-2.65683166791879,-0.625674742972715,-6.75029385959909,-6.19239,-28.4571504385588,-31.2875636471638,-24.9580774493532,-28.37235,-185.805930001165,-204.605770535394,-208.329906931695,-161.4372422,1.52306800561165,3.39570524724157,6.27406744712314,2.72679794,1.51753637393364,4.59993596784903,3.33073819305286,1.540348521,10.0292893937054,20.1311153589379,16.9421956323908,15.47038337
"Y-015","Calanoida",-3.40803010101035,-1.27023387272898,-7.53569758733226,-6.96259,-27.7667400235764,-30.2729508873938,-19.4668484031518,-26.644,-245.551064915854,-234.132049044715,-242.141624413552,-157.3064625,1.47798573406453,5.19485401622168,3.29396645060955,2.597857878,1.4784451931971,4.93401806930409,5.24354463903211,1.617015005,10.442193121383,21.2373602914318,13.7384850835741,19.03892533
"Y-025","Calanoida",-1.89813472219373,-1.35911272566045,-6.85359928984631,-6.96259,-25.539605559277,-27.3660607701962,-21.6200454734212,-26.644,-240.894137133339,-236.587596233382,-245.198292254737,-157.3064625,1.48805752117304,3.13651055756682,3.22946666341953,2.597857878,1.70291992253546,5.71602109196795,5.0663815291125,1.617015005,10.4130168505806,17.3935688667366,13.399268514802,19.03892533
"Z","Calanoida",-1.45114387758419,-0.59366221702917,-6.56330560340788,-6.19239,-29.4090462970558,-31.7207839201528,-24.9499368598189,-28.37235,-176.547698251981,-203.977851555103,-219.15392259423,-157.3064625,1.5136538048547,3.05374032770449,3.65140559434361,2.72679794,1.50222693978851,3.85711928455255,3.04366730999672,1.540348521,10.3202905096035,20.2344672423546,13.1433491004361,15.47038337
"Milk","Chaoborus",-1.78651030746052,-1.74562467820431,-7.45513441024732,-6.96259,-35.1768877118018,-31.3111265478464,-22.0910078979251,-26.644,-219.742467917706,-242.406287530193,-241.021602715744,-157.3064625,1.59788258583517,3.18937877618135,3.15482057830203,2.597857878,1.6711950518994,7.75055857813155,4.97307898617975,1.617015005,8.93876127065992,23.5471166519738,13.6399734702451,19.03892533
"C","Cladocera",-2.55960121578869,-0.54280807108429,-5.18454863865237,-6.19239,-27.5790998612962,-30.3317770922865,-25.1517172306509,-28.37235,-181.141595541799,-205.525891388394,-210.873348004079,-157.3064625,1.5336777756308,3.64282269039046,4.56339824601809,2.72679794,1.59796555454575,3.83342066022443,3.65707124677665,1.540348521,10.9787902474405,18.4947487043911,13.307683595165,15.47038337
"Clear","Cladocera",-1.61805521508677,-0.40027970832214,-6.40830874534302,-6.19239,-31.3004105347688,-31.6959558471187,-22.6953334858852,-28.37235,-224.77942368132,-229.848352180814,-231.627966853483,-161.4372422,1.5561616151655,3.60923674273051,3.61054819965135,2.72679794,1.4918656729772,6.25366621854229,4.36478142722792,1.540348521,9.4255940629438,19.7180692604222,14.9305775446076,15.47038337
"L","Cladocera",-1.76084849254568,-0.865738279035915,-7.97350493550742,-6.19239,-26.7461132957902,-31.2141422758932,-25.1094217836171,-28.37235,-182.064063287491,-202.485042944007,-214.572770640093,-161.4372422,1.53888537725639,2.98117830664714,3.73952762313085,2.72679794,1.53843841961993,3.66367903410183,3.48418684440489,1.540348521,11.0683275147633,22.4558825207411,14.0471273288655,15.47038337
"Morgenroth","Cladocera",-1.1318780486619,-0.932348192164841,-7.66269436533644,-6.19239,-32.797123013813,-31.7170463554801,-20.0493275800179,-28.37235,-214.681199751335,-231.702315087847,-239.431630074337,-161.4372422,1.6686991486124,2.79993148028076,3.46267663970508,2.72679794,1.65088246066016,3.86202791796922,5.45358016952674,1.540348521,10.0502522645682,17.7690685940551,13.9256847576676,15.47038337
"O","Cladocera",-3.18121786913539,-0.625674742972715,-6.75029385959909,-6.19239,-27.5683151062841,-31.2875636471638,-24.9580774493532,-28.37235,-176.721943160322,-204.605770535394,-208.329906931695,-161.4372422,1.41359741331241,3.39570524724157,6.27406744712314,2.72679794,1.50116756579581,4.59993596784903,3.33073819305286,1.540348521,10.4507791480594,20.1311153589379,16.9421956323908,15.47038337
"Z","Cladocera",-2.76584733473429,-0.59366221702917,-6.56330560340788,-6.19239,-28.9331048307947,-31.7207839201528,-24.9499368598189,-28.37235,-177.117480549371,-203.977851555103,-219.15392259423,-157.3064625,1.48503524878232,3.05374032770449,3.65140559434361,2.72679794,1.60828583803917,3.85711928455255,3.04366730999672,1.540348521,9.98519173473478,20.2344672423546,13.1433491004361,15.47038337
"Mirror","Salvelinus",-0.255142694746894,-1.95098605335523,-6.25247754419438,-6.96259,-19.1824346028537,-28.0882616154785,-18.993786670025,-26.644,-218.034675841977,-237.482610123407,-240.07488570131,-161.4372422,1.60856525906621,2.8432436110852,3.7840235112552,2.597857878,1.42703749533937,5.42464742804712,9.85848989773041,1.617015005,9.79019629535722,19.3876429786173,14.3934866855673,19.03892533
"Mirror","Salvelinus",0.118321181074435,-1.95098605335523,-6.25247754419438,-6.96259,-20.1682077006744,-28.0882616154785,-18.993786670025,-26.644,-199.280523356757,-237.482610123407,-240.07488570131,-161.4372422,1.51331362552662,2.8432436110852,3.7840235112552,2.597857878,1.45317139573307,5.42464742804712,9.85848989773041,1.617015005,9.83352933778619,19.3876429786173,14.3934866855673,19.03892533
"C","Trichoptera",-2.73220793392311,-0.54280807108429,-5.18454863865237,-6.19239,-25.0971582530467,-30.3317770922865,-25.1517172306509,-28.37235,-198.834211571689,-205.525891388394,-210.873348004079,-157.3064625,1.45253220374332,3.64282269039046,4.56339824601809,2.72679794,1.40968120070774,3.83342066022443,3.65707124677665,1.540348521,9.8248957798713,18.4947487043911,13.307683595165,15.47038337
"C","Trichoptera",-3.4554662711862,-0.54280807108429,-5.18454863865237,-6.19239,-26.0291036854346,-30.3317770922865,-25.1517172306509,-28.37235,-191.721806573476,-205.525891388394,-210.873348004079,-157.3064625,1.55271138465731,3.64282269039046,4.56339824601809,2.72679794,1.51486639983184,3.83342066022443,3.65707124677665,1.540348521,11.4496766986917,18.4947487043911,13.307683595165,15.47038337
"Clear","Trichoptera",-6.04255896874234,-0.40027970832214,-6.40830874534302,-6.19239,-25.6891221605685,-31.6959558471187,-22.6953334858852,-28.37235,-196.616635596182,-229.848352180814,-231.627966853483,-161.4372422,1.48758089385566,3.60923674273051,3.61054819965135,2.72679794,1.41515587137929,6.25366621854229,4.36478142722792,1.540348521,10.7573792433844,19.7180692604222,14.9305775446076,15.47038337
"Milk","Trichoptera",-6.10608174918089,-1.74562467820431,-7.45513441024732,-6.96259,-24.9781076597173,-31.3111265478464,-22.0910078979251,-26.644,-237.962548164466,-242.406287530193,-241.021602715744,-157.3064625,1.56382263124468,3.18937877618135,3.15482057830203,2.597857878,1.56021116641095,7.75055857813155,4.97307898617975,1.617015005,11.0823541457357,23.5471166519738,13.6399734702451,19.03892533
"Mirror","Trichoptera",-5.21275875141836,-1.95098605335523,-6.25247754419438,-6.96259,-23.0235342271504,-28.0882616154785,-18.993786670025,-26.644,-240.587869194298,-237.482610123407,-240.07488570131,-161.4372422,1.52922193845818,2.8432436110852,3.7840235112552,2.597857878,1.53998985636403,5.42464742804712,9.85848989773041,1.617015005,10.4120688905439,19.3876429786173,14.3934866855673,19.03892533
"Morgenroth","Trichoptera",-4.82203195919068,-0.932348192164841,-7.66269436533644,-6.19239,-25.3716438868191,-31.7170463554801,-20.0493275800179,-28.37235,-236.114212253386,-231.702315087847,-239.431630074337,-161.4372422,1.42641413044926,2.79993148028076,3.46267663970508,2.72679794,1.5505333708705,3.86202791796922,5.45358016952674,1.540348521,10.7201524099679,17.7690685940551,13.9256847576676,15.47038337
"Morgenroth","Trichoptera",-4.91317919485638,-0.932348192164841,-7.66269436533644,-6.19239,-23.7849458216566,-31.7170463554801,-20.0493275800179,-28.37235,-242.56637639351,-231.702315087847,-239.431630074337,-161.4372422,1.7951817366763,2.79993148028076,3.46267663970508,2.72679794,1.53711693155336,3.86202791796922,5.45358016952674,1.540348521,9.37412114549762,17.7690685940551,13.9256847576676,15.47038337
