"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.16958893307917,-0.675721247042568,-5.53920535838606,-6.192393333,-30.3233612598687,-30.3136079281155,-25.2064745777947,-28.37235,-190.218505000344,-201.253172773352,-211.262327557099,-157.3064625,1.41790959924743,3.7511322966301,4.20462664764085,2.72679794,1.54275020163801,3.70667987170878,3.58636057287823,1.540348521,11.6797476262613,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-0.126748700238409,-0.728699990447754,-6.46798501412974,-6.192393333,-36.0641247833586,-32.1044096570966,-22.7796641430676,-28.37235,-235.315946784246,-237.616829617785,-227.787682602852,-161.4372422,1.57382531729436,3.48261682981135,3.3982703316688,2.72679794,1.53784212311593,6.45127707251769,4.51888769214587,1.540348521,11.2356325318916,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-2.87625165158218,-0.721784725465159,-7.65432810491417,-6.192393333,-28.5187004398588,-31.3903811904155,-25.1079696058431,-28.37235,-184.178522795827,-202.946269245913,-217.512557680938,-161.4372422,1.61586307302329,2.92072854139188,3.97466871061764,2.72679794,1.4989079183239,3.59701827314883,3.25892219929203,1.540348521,10.423551268665,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-2.3815188160731,-1.94053917933561,-7.5686129488159,-6.96259,-36.8877325964296,-32.4515177478187,-22.1592642142546,-26.644,-256.367596774332,-237.027363610288,-240.011620742348,-157.3064625,1.49374259516761,3.20968864136549,3.27273643587308,2.597857878,1.76746464314593,8.11793270565709,5.3829295577982,1.617015005,10.5028560787129,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-2.68708214782481,-1.79507364081246,-6.09769794200679,-6.96259,-28.4947949585536,-27.9489558260143,-18.4895861890801,-26.644,-229.583616385306,-243.523152175726,-238.385449279191,-161.4372422,1.50235948434761,3.10695183848198,3.88259430512398,2.597857878,1.54494592114764,5.29813250159769,9.52930765829312,1.617015005,10.7334554559777,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",0.502892291409097,-0.960049617528894,-7.80192835236272,-6.192393333,-35.0011222798547,-31.7799914745219,-19.9873055133148,-28.37235,-233.29160778122,-238.806441823403,-240.461821563758,-161.4372422,1.51647166339829,2.85309684927098,3.82651134016102,2.72679794,1.63932893479847,3.98785287863553,5.33631412493896,1.540348521,11.409204312162,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-2.70204792157212,-0.69926785053141,-6.11366558769981,-6.192393333,-28.1891283929638,-30.6806216574121,-25.0778859628808,-28.37235,-183.775206718466,-206.333620030204,-212.680762382593,-161.4372422,1.51393734558685,3.26568085635706,6.24774036262642,2.72679794,1.50365805237072,4.6710577016353,3.60611864892801,1.540348521,10.338516633429,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-3.35426799254381,-1.47041920931745,-7.57753974517591,-6.96259,-27.3842947227271,-30.1011969942632,-19.6018624893783,-26.644,-247.820553604378,-230.408629430576,-241.345817293268,-157.3064625,1.51931343624832,4.8384898450801,3.32054538405981,2.597857878,1.54795453858842,4.71366481747617,5.63245678860225,1.617015005,9.82684984968279,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-2.10315510249166,-1.27020837550997,-6.54954856384784,-6.96259,-25.5004420737208,-27.2167640801548,-21.6691185002807,-26.644,-243.040178298718,-239.650616434034,-242.91541846195,-157.3064625,1.47074913579659,3.08975196758895,3.34457631102079,2.597857878,1.41640924010424,6.06113545108123,5.02108871404274,1.617015005,11.1466889016738,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-1.79603396473067,-0.708715007705383,-7.19115771701392,-6.192393333,-29.4532688260862,-31.6495502283268,-25.0540556618901,-28.37235,-172.825456728726,-209.708889815053,-220.566497783563,-157.3064625,1.52371132203158,2.89767873970557,3.48363297232447,2.72679794,1.49390920805348,3.95148394334033,3.21138082089687,1.540348521,10.3675274295471,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-1.92119979412558,-1.94053917933561,-7.5686129488159,-6.96259,-34.6026360507598,-32.4515177478187,-22.1592642142546,-26.644,-226.719234026225,-237.027363610288,-240.011620742348,-157.3064625,1.51976385177646,3.20968864136549,3.27273643587308,2.597857878,1.56005857346308,8.11793270565709,5.3829295577982,1.617015005,10.0141752499388,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-1.98305487055501,-0.675721247042568,-5.53920535838606,-6.192393333,-27.741914237516,-30.3136079281155,-25.2064745777947,-28.37235,-186.716664643842,-201.253172773352,-211.262327557099,-157.3064625,1.56789064044461,3.7511322966301,4.20462664764085,2.72679794,1.49962599415346,3.70667987170878,3.58636057287823,1.540348521,11.3578843644324,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-1.99970112385979,-0.728699990447754,-6.46798501412974,-6.192393333,-31.1889082736109,-32.1044096570966,-22.7796641430676,-28.37235,-223.928265927906,-237.616829617785,-227.787682602852,-161.4372422,1.49705395485042,3.48261682981135,3.3982703316688,2.72679794,1.44349560877762,6.45127707251769,4.51888769214587,1.540348521,10.1923964288149,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-2.43851710919907,-0.721784725465159,-7.65432810491417,-6.192393333,-26.9868965509522,-31.3903811904155,-25.1079696058431,-28.37235,-183.830094911171,-202.946269245913,-217.512557680938,-161.4372422,1.46847124187824,2.92072854139188,3.97466871061764,2.72679794,1.5435503102811,3.59701827314883,3.25892219929203,1.540348521,10.3613580652847,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-1.61425622620725,-0.960049617528894,-7.80192835236272,-6.192393333,-32.3000749996266,-31.7799914745219,-19.9873055133148,-28.37235,-222.520935507328,-238.806441823403,-240.461821563758,-161.4372422,1.60528168269688,2.85309684927098,3.82651134016102,2.72679794,1.52756021528871,3.98785287863553,5.33631412493896,1.540348521,10.6740579233507,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-3.17229988596908,-0.69926785053141,-6.11366558769981,-6.192393333,-27.6689794756972,-30.6806216574121,-25.0778859628808,-28.37235,-178.058270242394,-206.333620030204,-212.680762382593,-161.4372422,1.47072871340064,3.26568085635706,6.24774036262642,2.72679794,1.52512842540225,4.6710577016353,3.60611864892801,1.540348521,10.3180418706461,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-2.65366838468708,-0.708715007705383,-7.19115771701392,-6.192393333,-28.8242451412406,-31.6495502283268,-25.0540556618901,-28.37235,-179.6358993667,-209.708889815053,-220.566497783563,-157.3064625,1.54085232795245,2.89767873970557,3.48363297232447,2.72679794,1.54955120580577,3.95148394334033,3.21138082089687,1.540348521,11.0597972483557,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",0.627498426908673,-1.79507364081246,-6.09769794200679,-6.96259,-19.4014272011461,-27.9489558260143,-18.4895861890801,-26.644,-216.629567332795,-243.523152175726,-238.385449279191,-161.4372422,1.60867635062492,3.10695183848198,3.88259430512398,2.597857878,1.46725256101546,5.29813250159769,9.52930765829312,1.617015005,9.8836907158628,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",-0.0168891777711764,-1.79507364081246,-6.09769794200679,-6.96259,-20.6891719430447,-27.9489558260143,-18.4895861890801,-26.644,-189.947108365471,-243.523152175726,-238.385449279191,-161.4372422,1.33562920715092,3.10695183848198,3.88259430512398,2.597857878,1.49149553632841,5.29813250159769,9.52930765829312,1.617015005,9.9834661864523,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.29010836177241,-0.675721247042568,-5.53920535838606,-6.192393333,-25.6340611521541,-30.3136079281155,-25.2064745777947,-28.37235,-204.005968629647,-201.253172773352,-211.262327557099,-157.3064625,1.50161763030403,3.7511322966301,4.20462664764085,2.72679794,1.53267321501472,3.70667987170878,3.58636057287823,1.540348521,11.3684180328226,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-3.73069965597873,-0.675721247042568,-5.53920535838606,-6.192393333,-26.1585851251293,-30.3136079281155,-25.2064745777947,-28.37235,-192.352842555547,-201.253172773352,-211.262327557099,-157.3064625,1.52318963039857,3.7511322966301,4.20462664764085,2.72679794,1.5116634991971,3.70667987170878,3.58636057287823,1.540348521,10.2941134252032,19.2693270128454,14.393886253489,15.47038337
"Clear","Trichoptera",-5.99455977738833,-0.728699990447754,-6.46798501412974,-6.192393333,-25.741548792634,-32.1044096570966,-22.7796641430676,-28.37235,-195.524573940421,-237.616829617785,-227.787682602852,-161.4372422,1.48495008294965,3.48261682981135,3.3982703316688,2.72679794,1.42586079645615,6.45127707251769,4.51888769214587,1.540348521,10.3953109437313,19.9660628405562,15.1415558620887,15.47038337
"Milk","Trichoptera",-6.16101422400476,-1.94053917933561,-7.5686129488159,-6.96259,-24.8092456706562,-32.4515177478187,-22.1592642142546,-26.644,-244.656631040803,-237.027363610288,-240.011620742348,-157.3064625,1.52116337943592,3.20968864136549,3.27273643587308,2.597857878,1.56563567178926,8.11793270565709,5.3829295577982,1.617015005,10.026565998745,20.611725236529,14.2005425579273,19.03892533
"Mirror","Trichoptera",-5.29483756782591,-1.79507364081246,-6.09769794200679,-6.96259,-23.1131079049511,-27.9489558260143,-18.4895861890801,-26.644,-242.098295738885,-243.523152175726,-238.385449279191,-161.4372422,1.51229722491912,3.10695183848198,3.88259430512398,2.597857878,1.55663200731219,5.29813250159769,9.52930765829312,1.617015005,10.4205125339004,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Trichoptera",-4.88654789742137,-0.960049617528894,-7.80192835236272,-6.192393333,-25.551247115216,-31.7799914745219,-19.9873055133148,-28.37235,-237.39899525852,-238.806441823403,-240.461821563758,-161.4372422,1.4969270588593,2.85309684927098,3.82651134016102,2.72679794,1.53584783049865,3.98785287863553,5.33631412493896,1.540348521,10.799989633912,21.4298937263986,14.9470509286722,15.47038337
"Morgenroth","Trichoptera",-4.99181643867745,-0.960049617528894,-7.80192835236272,-6.192393333,-23.7767397239463,-31.7799914745219,-19.9873055133148,-28.37235,-244.25792821529,-238.806441823403,-240.461821563758,-161.4372422,1.50288165399303,2.85309684927098,3.82651134016102,2.72679794,1.43960737114173,3.98785287863553,5.33631412493896,1.540348521,11.4421662862358,21.4298937263986,14.9470509286722,15.47038337
"No Name","Trichoptera",-5.61655492912607,-1.47632239967872,-6.7036379188141,-6.192393333,-27.2658603656394,-31.1692575251977,-22.7846765479317,-28.37235,-257.964108687364,-231.450004384411,-241.272140135283,-161.4372422,1.63970202357421,2.78761428451552,3.45315875067983,2.72679794,1.5432452777145,3.86861130173427,4.30146125740658,1.540348521,11.2968233708737,18.2061142867846,16.1468342009499,15.47038337
"Y-015","Trichoptera",-5.72409454280734,-1.47041920931745,-7.57753974517591,-6.96259,-21.4243301112912,-30.1011969942632,-19.6018624893783,-26.644,-243.298602133787,-230.408629430576,-241.345817293268,-157.3064625,1.50229239719025,4.8384898450801,3.32054538405981,2.597857878,1.56108139585898,4.71366481747617,5.63245678860225,1.617015005,11.0477341096328,20.564046413556,13.5568416660392,19.03892533
"Y-025","Trichoptera",-5.9559890986462,-1.27020837550997,-6.54954856384784,-6.96259,-22.7235036694488,-27.2167640801548,-21.6691185002807,-26.644,-247.621421664152,-239.650616434034,-242.91541846195,-157.3064625,1.52266540631402,3.08975196758895,3.34457631102079,2.597857878,1.59916865398696,6.06113545108123,5.02108871404274,1.617015005,10.4862715851163,19.3415978714667,13.7446142544739,19.03892533
"Z","Trichoptera",-3.10747132675847,-0.708715007705383,-7.19115771701392,-6.192393333,-27.134237901985,-31.6495502283268,-25.0540556618901,-28.37235,-189.514585007721,-209.708889815053,-220.566497783563,-157.3064625,1.41531830752983,2.89767873970557,3.48363297232447,2.72679794,1.55639473205481,3.95148394334033,3.21138082089687,1.540348521,9.40541011778578,21.1213567578619,13.6878893408975,15.47038337
