"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.15131847741102,-0.675721247042568,-5.53920535838606,-6.192393333,-30.2588204319856,-30.3136079281155,-25.2064745777947,-28.37235,-187.146861548028,-201.253172773352,-211.262327557099,-157.3064625,1.40382184012994,3.7511322966301,4.20462664764085,2.72679794,1.39848063734629,3.70667987170878,3.58636057287823,1.540348521,10.7522480471848,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-0.0887330158255537,-0.728699990447754,-6.46798501412974,-6.192393333,-36.4254067146189,-32.1044096570966,-22.7796641430676,-28.37235,-245.620245079977,-237.616829617785,-227.787682602852,-161.4372422,1.51100030694864,3.48261682981135,3.3982703316688,2.72679794,1.55086075667822,6.45127707251769,4.51888769214587,1.540348521,10.6013421899913,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-3.07566072216176,-0.721784725465159,-7.65432810491417,-6.192393333,-28.6658345341393,-31.3903811904155,-25.1079696058431,-28.37235,-182.987791970286,-202.946269245913,-217.512557680938,-161.4372422,1.58760281056205,2.92072854139188,3.97466871061764,2.72679794,1.52018793824339,3.59701827314883,3.25892219929203,1.540348521,10.5718847369339,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-2.50921362887702,-1.94053917933561,-7.5686129488159,-6.96259,-36.9565213437535,-32.4515177478187,-22.1592642142546,-26.644,-248.600789708952,-237.027363610288,-240.011620742348,-157.3064625,1.51888901088462,3.20968864136549,3.27273643587308,2.597857878,1.58801460405308,8.11793270565709,5.3829295577982,1.617015005,9.75095165443818,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-3.00416427378386,-1.79507364081246,-6.09769794200679,-6.96259,-28.6576862443091,-27.9489558260143,-18.4895861890801,-26.644,-230.571280252882,-243.523152175726,-238.385449279191,-161.4372422,1.45013245998288,3.10695183848198,3.88259430512398,2.597857878,1.68413670988274,5.29813250159769,9.52930765829312,1.617015005,12.0145578804002,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",0.171211587370365,-0.960049617528894,-7.80192835236272,-6.192393333,-34.823666725413,-31.7799914745219,-19.9873055133148,-28.37235,-231.462859747794,-238.806441823403,-240.461821563758,-161.4372422,1.44472148150895,2.85309684927098,3.82651134016102,2.72679794,1.54443269720618,3.98785287863553,5.33631412493896,1.540348521,10.0876884445307,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-2.42958466078993,-0.69926785053141,-6.11366558769981,-6.192393333,-28.2758035522552,-30.6806216574121,-25.0778859628808,-28.37235,-192.130595864465,-206.333620030204,-212.680762382593,-161.4372422,1.56339121026266,3.26568085635706,6.24774036262642,2.72679794,1.48280158372721,4.6710577016353,3.60611864892801,1.540348521,10.9930850492105,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-3.44342641932978,-1.47041920931745,-7.57753974517591,-6.96259,-26.8148012795773,-30.1011969942632,-19.6018624893783,-26.644,-243.894328136548,-230.408629430576,-241.345817293268,-157.3064625,1.47103889370445,4.8384898450801,3.32054538405981,2.597857878,1.64444768806607,4.71366481747617,5.63245678860225,1.617015005,9.33942939398629,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-2.21399819128165,-1.27020837550997,-6.54954856384784,-6.96259,-25.2897465864987,-27.2167640801548,-21.6691185002807,-26.644,-242.515556558539,-239.650616434034,-242.91541846195,-157.3064625,1.65192685004613,3.08975196758895,3.34457631102079,2.597857878,1.68940871415777,6.06113545108123,5.02108871404274,1.617015005,10.9287675306283,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-1.61902081525288,-0.708715007705383,-7.19115771701392,-6.192393333,-29.2384999778923,-31.6495502283268,-25.0540556618901,-28.37235,-175.006414607199,-209.708889815053,-220.566497783563,-157.3064625,1.55915880605262,2.89767873970557,3.48363297232447,2.72679794,1.61617374611874,3.95148394334033,3.21138082089687,1.540348521,10.1856203349716,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-1.61653127205317,-1.94053917933561,-7.5686129488159,-6.96259,-34.9495607301237,-32.4515177478187,-22.1592642142546,-26.644,-223.488891761368,-237.027363610288,-240.011620742348,-157.3064625,1.59013706979258,3.20968864136549,3.27273643587308,2.597857878,1.62166198377498,8.11793270565709,5.3829295577982,1.617015005,9.64980735404332,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-2.42992323394985,-0.675721247042568,-5.53920535838606,-6.192393333,-27.9765316698228,-30.3136079281155,-25.2064745777947,-28.37235,-182.303545729474,-201.253172773352,-211.262327557099,-157.3064625,1.65083993628501,3.7511322966301,4.20462664764085,2.72679794,1.61449716128588,3.70667987170878,3.58636057287823,1.540348521,11.3048300208708,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-1.6355531755346,-0.728699990447754,-6.46798501412974,-6.192393333,-30.9236434317001,-32.1044096570966,-22.7796641430676,-28.37235,-222.304327605257,-237.616829617785,-227.787682602852,-161.4372422,1.4766621671615,3.48261682981135,3.3982703316688,2.72679794,1.65766772395429,6.45127707251769,4.51888769214587,1.540348521,9.63096282064526,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-2.47406360025985,-0.721784725465159,-7.65432810491417,-6.192393333,-27.1060463894378,-31.3903811904155,-25.1079696058431,-28.37235,-182.594616865393,-202.946269245913,-217.512557680938,-161.4372422,1.62814923056579,2.92072854139188,3.97466871061764,2.72679794,1.45719323174429,3.59701827314883,3.25892219929203,1.540348521,10.3616307315466,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-1.30679070452948,-0.960049617528894,-7.80192835236272,-6.192393333,-31.8488400321922,-31.7799914745219,-19.9873055133148,-28.37235,-223.794236290055,-238.806441823403,-240.461821563758,-161.4372422,1.62367995132253,2.85309684927098,3.82651134016102,2.72679794,1.60558441392971,3.98785287863553,5.33631412493896,1.540348521,11.0759323497583,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-3.08185200350671,-0.69926785053141,-6.11366558769981,-6.192393333,-27.7522017684957,-30.6806216574121,-25.0778859628808,-28.37235,-177.982112830894,-206.333620030204,-212.680762382593,-161.4372422,1.51532452004502,3.26568085635706,6.24774036262642,2.72679794,1.51520077025653,4.6710577016353,3.60611864892801,1.540348521,10.0001200460885,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-2.64275826140202,-0.708715007705383,-7.19115771701392,-6.192393333,-29.0143163389359,-31.6495502283268,-25.0540556618901,-28.37235,-181.745738262331,-209.708889815053,-220.566497783563,-157.3064625,1.54381165837695,2.89767873970557,3.48363297232447,2.72679794,1.53562881994905,3.95148394334033,3.21138082089687,1.540348521,10.2005808606764,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",-0.0287476204829886,-1.79507364081246,-6.09769794200679,-6.96259,-19.5772011104331,-27.9489558260143,-18.4895861890801,-26.644,-213.451039636287,-243.523152175726,-238.385449279191,-161.4372422,1.63811571559771,3.10695183848198,3.88259430512398,2.597857878,1.50435416307453,5.29813250159769,9.52930765829312,1.617015005,8.49391465199823,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",0.0426324437952559,-1.79507364081246,-6.09769794200679,-6.96259,-19.6209338940745,-27.9489558260143,-18.4895861890801,-26.644,-198.311621030446,-243.523152175726,-238.385449279191,-161.4372422,1.62501966671157,3.10695183848198,3.88259430512398,2.597857878,1.55469686967804,5.29813250159769,9.52930765829312,1.617015005,9.93635989523253,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.34839304510768,-0.675721247042568,-5.53920535838606,-6.192393333,-25.5141456940515,-30.3136079281155,-25.2064745777947,-28.37235,-208.199560859358,-201.253172773352,-211.262327557099,-157.3064625,1.60149929128706,3.7511322966301,4.20462664764085,2.72679794,1.56365330917588,3.70667987170878,3.58636057287823,1.540348521,9.62693640218599,19.2693270128454,14.393886253489,15.47038337
"C","Trichoptera",-3.64083191468893,-0.675721247042568,-5.53920535838606,-6.192393333,-25.7426635857036,-30.3136079281155,-25.2064745777947,-28.37235,-191.877624334676,-201.253172773352,-211.262327557099,-157.3064625,1.46214509856495,3.7511322966301,4.20462664764085,2.72679794,1.60263533989444,3.70667987170878,3.58636057287823,1.540348521,9.78100369843382,19.2693270128454,14.393886253489,15.47038337
"Clear","Trichoptera",-5.67246672908821,-0.728699990447754,-6.46798501412974,-6.192393333,-25.3264808236294,-32.1044096570966,-22.7796641430676,-28.37235,-198.661850635488,-237.616829617785,-227.787682602852,-161.4372422,1.58774896692309,3.48261682981135,3.3982703316688,2.72679794,1.62243107762341,6.45127707251769,4.51888769214587,1.540348521,10.3166691537411,19.9660628405562,15.1415558620887,15.47038337
"Milk","Trichoptera",-6.28387330940944,-1.94053917933561,-7.5686129488159,-6.96259,-24.5138012855293,-32.4515177478187,-22.1592642142546,-26.644,-242.108510932234,-237.027363610288,-240.011620742348,-157.3064625,1.50610099330343,3.20968864136549,3.27273643587308,2.597857878,1.50520109467716,8.11793270565709,5.3829295577982,1.617015005,10.2943928702731,20.611725236529,14.2005425579273,19.03892533
