"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.68010951574044,-0.946352087760769,-5.42516232964932,-6.192393333,-30.3262747735783,-30.4456232725278,-25.1916328015126,-28.37235,-187.162243330184,-209.855680707867,-210.701740716991,-157.3064625,1.5575292082737,3.95941677186745,4.34077472491754,2.72679794,1.5801053429097,3.66660476088886,3.2756044498191,1.540348521,11.8249290679107,18.3538407666578,14.3524347522751,15.47038337
"Clear","Calanoida",-0.0508254139878517,-0.904851582282324,-6.4902713082324,-6.192393333,-35.742961214377,-31.7693036302187,-22.6615212271871,-28.37235,-233.988518576067,-237.403755106259,-224.984634178936,-161.4372422,1.56476050218442,3.3964407327064,3.61202130929428,2.72679794,1.32701456229653,6.52699196796095,4.49935017771335,1.540348521,10.7183280159472,15.2537448246446,15.4910528673981,15.47038337
"L","Calanoida",-3.2581032566887,-0.881259004050566,-7.39564416327003,-6.192393333,-28.195923117499,-31.319982434097,-25.1815617477756,-28.37235,-181.714717909044,-197.71114317989,-216.931261584673,-161.4372422,1.52098882887677,2.99353199583862,3.83022595207147,2.72679794,1.44630629491938,3.5231784700702,2.96349711703509,1.540348521,10.1278942432955,14.9975510585323,14.1292011987503,15.47038337
"Milk","Calanoida",-2.41103252718426,-1.9065398536882,-7.50880974641541,-6.96259,-37.2349120385243,-31.4927186333834,-22.041516006514,-26.644,-252.085034660337,-245.943542497575,-240.785263536506,-157.3064625,1.60587454642736,3.25988538922317,3.23323546185706,2.597857878,1.51662108995367,8.16875607152279,5.25377576130837,1.617015005,10.7618236492506,16.1141574342858,13.1271253746644,19.03892533
"Mirror","Calanoida",-3.35952678247685,-1.91525137428938,-6.16758198512158,-6.96259,-27.904623137929,-28.085040615946,-21.3100626980283,-26.644,-229.03803758756,-237.13634438796,-241.09377665269,-161.4372422,1.46749161388671,3.32242677776612,3.65528875665833,2.597857878,1.48149450516068,5.66439673962142,9.84391387342748,1.617015005,9.76133600343105,15.0125564962577,14.302433156113,19.03892533
"Morgenroth","Calanoida",0.262982166079226,-0.911551097399303,-7.56279280472498,-6.192393333,-35.1452753278429,-31.6678631155133,-19.9056122751467,-28.37235,-231.033858644992,-231.845644684416,-240.050441847558,-161.4372422,1.42340053510486,2.7614313324543,3.56635532535762,2.72679794,1.61964906551202,4.00084900580545,5.6809078311267,1.540348521,10.0037639283483,15.3637289855016,14.5902602037673,15.47038337
"O","Calanoida",-2.70568872630122,-0.515406166976824,-5.93874347766028,-6.192393333,-28.0552782484604,-31.2387137744387,-25.1292172305253,-28.37235,-192.991281161238,-187.577360143624,-206.889786944988,-161.4372422,1.53804526324108,3.26423912612145,6.18042862187435,2.72679794,1.53416769608488,4.68586372254625,3.54042903201825,1.540348521,11.1385321340779,16.3296534155605,16.7044093815406,15.47038337
"Y-015","Calanoida",-3.00444713745104,-1.74287728262,-7.46776781210702,-6.96259,-27.5417196511584,-30.2980461022841,-19.8824447333437,-26.644,-242.465051857153,-227.602887790603,-240.971980468948,-157.3064625,1.62357489151228,4.81048945821013,3.30000331162884,2.597857878,1.44455828934526,5.01408650650068,5.56521453444262,1.617015005,10.3235624678643,16.5909800998134,13.7801539799377,19.03892533
"Y-025","Calanoida",-2.12030796597352,-1.36698543057032,-6.82508919364438,-6.96259,-25.6436915429757,-27.1524063162111,-21.5001213905063,-26.644,-236.07047966155,-236.416652562661,-243.108427418069,-157.3064625,1.4987833024264,3.0154572910007,3.15806891863463,2.597857878,1.56231594354079,6.0786795063724,5.20638451314353,1.617015005,9.68075156808353,14.9880053088809,13.0156493964034,19.03892533
"Z","Calanoida",-1.88868339437282,-0.626400892958958,-7.05077728494269,-6.192393333,-29.7506268203188,-31.7511703810925,-25.0648579301827,-28.37235,-173.36637511712,-207.498499989185,-215.370491976764,-157.3064625,1.41044829259226,2.90040212155336,3.50011110137617,2.72679794,1.54652407122056,3.84027896234527,3.29662488935653,1.540348521,9.87090178823776,15.4710354215403,14.0253808339556,15.47038337
