"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.19112717941036,-0.492531292157974,-5.2798443685447,-6.19239,-30.3810013353956,-30.2438957541773,-25.1216759823104,-28.37235,-191.213946222384,-197.056731716079,-211.162985255854,-157.3064625,1.44257803726649,3.74497278224188,4.47860424022183,2.72679794,1.55740492318332,3.74883277593739,3.89334955536804,1.540348521,10.413329966306,18.5469832986162,14.6830392860235,15.47038337
"Clear","Calanoida",-0.0247686398793547,-0.391332756159302,-6.49625931969583,-6.19239,-36.0942424811786,-31.5121312610225,-22.6844628851845,-28.37235,-239.255092312679,-241.887961136128,-229.467349249529,-161.4372422,1.47142087832036,3.41882752683922,3.39694963579496,2.72679794,1.47225724996481,6.31116962044683,4.38830041178093,1.540348521,10.2782432347212,19.3229316320607,15.1260809764148,15.47038337
"L","Calanoida",-2.94627149550875,-0.843528660681303,-6.75609237215954,-6.19239,-28.8288260381763,-31.301688025159,-25.0142875974957,-28.37235,-186.482496386943,-207.702027794417,-220.358755832503,-161.4372422,1.4625722304902,2.83476886142451,3.98845707517765,2.72679794,1.62158306319376,3.5288068891915,3.18765868498275,1.540348521,10.1528483957586,17.6916172343721,15.384719090145,15.47038337
"Milk","Calanoida",-2.75486025618963,-1.92274497883332,-7.47849029355554,-6.96259,-36.842939046704,-31.5872487532558,-22.0162766606441,-26.644,-254.510406767213,-234.424034663457,-239.70701645531,-157.3064625,1.58801736940646,3.20905432956218,3.34929909108576,2.597857878,1.57910856738906,8.47212995962129,5.21909187398371,1.617015005,9.12810354761521,21.772955522339,13.0314251770546,19.03892533
"Mirror","Calanoida",-3.27734160199385,-1.95969163694242,-6.17290732420313,-6.96259,-28.7526907167655,-27.8355636445119,-20.2407195290788,-26.644,-231.42816286668,-232.663061184619,-240.619428399938,-161.4372422,1.49324754791961,3.09050007667154,3.86350916665226,2.597857878,1.57314370656635,5.49395497492807,10.3338412196468,1.617015005,10.6498023235728,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Calanoida",0.348851457097467,-0.998590586609869,-7.72542595573312,-6.19239,-35.1243963725623,-31.6872353418134,-20.4850887695174,-28.37235,-235.38808466628,-233.780737808523,-241.137221132675,-161.4372422,1.5645017471877,3.09263732138076,3.35491951569177,2.72679794,1.54698604840226,3.92682178316978,5.33292344368317,1.540348521,9.79369880836492,17.927050980278,14.6501706713687,15.47038337
"O","Calanoida",-2.55008790095226,-0.85222528260659,-6.53189169095612,-6.19239,-28.4895666376199,-30.6562099035089,-25.040582544184,-28.37235,-188.617159046876,-197.458553109771,-208.961512766408,-161.4372422,1.43020352131514,3.70703054578008,6.07307954721157,2.72679794,1.47028232009959,4.53425154484618,3.72029915504319,1.540348521,10.5525502128407,21.9705983986724,16.3410820036258,15.47038337
"Y-015","Calanoida",-3.70961375076317,-1.49137458001878,-7.42509794161072,-6.96259,-27.3962093806227,-30.1436792947851,-19.6001608906615,-26.644,-245.587176906692,-237.501255078756,-239.673152627241,-157.3064625,1.50264259704016,4.90758496413172,3.47331142945325,2.597857878,1.49685552906946,5.09102835690797,5.4634170486111,1.617015005,10.0999657989207,23.4535701970079,14.7148204863773,19.03892533
"Y-025","Calanoida",-2.26924431695076,-1.37393329061914,-6.59923696613045,-6.96259,-25.7539197583801,-27.0451013271735,-21.6439615374512,-26.644,-244.052485262583,-239.97172382351,-241.870244111365,-157.3064625,1.56787633991121,3.08635074512413,3.27118409452431,2.597857878,1.47259515549694,6.26409063074552,5.00642024753934,1.617015005,9.72783204409364,19.4500593654794,14.2200038523801,19.03892533
"Z","Calanoida",-1.35501883361535,-0.637485620512241,-6.83309342559743,-6.19239,-29.1620646434916,-31.6485544744834,-24.9276668696017,-28.37235,-173.571555966862,-192.520085314915,-218.839706330627,-157.3064625,1.53752225793229,2.85767029245773,3.55262243536771,2.72679794,1.41802964387976,3.79637825387773,3.33903479141874,1.540348521,11.1505655127037,21.8535142490198,14.7108474002054,15.47038337
"Milk","Chaoborus",-1.21864171234748,-1.92274497883332,-7.47849029355554,-6.96259,-35.2255175308064,-31.5872487532558,-22.0162766606441,-26.644,-227.905788945149,-234.424034663457,-239.70701645531,-157.3064625,1.51547592597109,3.20905432956218,3.34929909108576,2.597857878,1.48620496215777,8.47212995962129,5.21909187398371,1.617015005,10.2700692853535,21.772955522339,13.0314251770546,19.03892533
"C","Cladocera",-2.42310923350333,-0.492531292157974,-5.2798443685447,-6.19239,-27.697177176141,-30.2438957541773,-25.1216759823104,-28.37235,-184.33566718063,-197.056731716079,-211.162985255854,-157.3064625,1.65894040212909,3.74497278224188,4.47860424022183,2.72679794,1.52527261284029,3.74883277593739,3.89334955536804,1.540348521,10.3631016777649,18.5469832986162,14.6830392860235,15.47038337
"Clear","Cladocera",-1.46911885119668,-0.391332756159302,-6.49625931969583,-6.19239,-31.6967963691315,-31.5121312610225,-22.6844628851845,-28.37235,-225.889058307226,-241.887961136128,-229.467349249529,-161.4372422,1.54312351689233,3.41882752683922,3.39694963579496,2.72679794,1.49480602027481,6.31116962044683,4.38830041178093,1.540348521,10.1007295079161,19.3229316320607,15.1260809764148,15.47038337
"L","Cladocera",-2.3790616294266,-0.843528660681303,-6.75609237215954,-6.19239,-27.0061007987207,-31.301688025159,-25.0142875974957,-28.37235,-183.32955195782,-207.702027794417,-220.358755832503,-161.4372422,1.46895711319323,2.83476886142451,3.98845707517765,2.72679794,1.50504184386272,3.5288068891915,3.18765868498275,1.540348521,10.9625048622838,17.6916172343721,15.384719090145,15.47038337
"Morgenroth","Cladocera",-1.20025776313162,-0.998590586609869,-7.72542595573312,-6.19239,-31.780591933368,-31.6872353418134,-20.4850887695174,-28.37235,-224.342084127752,-233.780737808523,-241.137221132675,-161.4372422,1.502198673452,3.09263732138076,3.35491951569177,2.72679794,1.48374229901593,3.92682178316978,5.33292344368317,1.540348521,10.4134925262654,17.927050980278,14.6501706713687,15.47038337
"O","Cladocera",-3.36369845809482,-0.85222528260659,-6.53189169095612,-6.19239,-27.9769360223981,-30.6562099035089,-25.040582544184,-28.37235,-182.261606330299,-197.458553109771,-208.961512766408,-161.4372422,1.42580026824501,3.70703054578008,6.07307954721157,2.72679794,1.49477900037409,4.53425154484618,3.72029915504319,1.540348521,9.47929152144215,21.9705983986724,16.3410820036258,15.47038337
"Z","Cladocera",-2.72644127204703,-0.637485620512241,-6.83309342559743,-6.19239,-28.294920834818,-31.6485544744834,-24.9276668696017,-28.37235,-179.998461902277,-192.520085314915,-218.839706330627,-157.3064625,1.62699195943216,2.85767029245773,3.55262243536771,2.72679794,1.54761616449444,3.79637825387773,3.33903479141874,1.540348521,10.977844305342,21.8535142490198,14.7108474002054,15.47038337
"Mirror","Salvelinus",-0.25079565528705,-1.95969163694242,-6.17290732420313,-6.96259,-19.26052423427,-27.8355636445119,-20.2407195290788,-26.644,-219.993449968864,-232.663061184619,-240.619428399938,-161.4372422,1.59678035219167,3.09050007667154,3.86350916665226,2.597857878,1.67348365692138,5.49395497492807,10.3338412196468,1.617015005,9.85612158598174,19.1339598867164,13.4029483704276,19.03892533
"Mirror","Salvelinus",0.251124487030808,-1.95969163694242,-6.17290732420313,-6.96259,-21.0253289282714,-27.8355636445119,-20.2407195290788,-26.644,-201.534638011889,-232.663061184619,-240.619428399938,-161.4372422,1.60322701431987,3.09050007667154,3.86350916665226,2.597857878,1.42735399663101,5.49395497492807,10.3338412196468,1.617015005,9.90029719006025,19.1339598867164,13.4029483704276,19.03892533
"C","Trichoptera",-3.35268178791009,-0.492531292157974,-5.2798443685447,-6.19239,-25.7503970949775,-30.2438957541773,-25.1216759823104,-28.37235,-206.642780494798,-197.056731716079,-211.162985255854,-157.3064625,1.50740681228762,3.74497278224188,4.47860424022183,2.72679794,1.61198753753842,3.74883277593739,3.89334955536804,1.540348521,10.4176681422816,18.5469832986162,14.6830392860235,15.47038337
"C","Trichoptera",-3.7986558695749,-0.492531292157974,-5.2798443685447,-6.19239,-26.0346376445967,-30.2438957541773,-25.1216759823104,-28.37235,-195.082483299105,-197.056731716079,-211.162985255854,-157.3064625,1.541713897324,3.74497278224188,4.47860424022183,2.72679794,1.51559723671206,3.74883277593739,3.89334955536804,1.540348521,10.8118163107635,18.5469832986162,14.6830392860235,15.47038337
"Clear","Trichoptera",-5.7359205039693,-0.391332756159302,-6.49625931969583,-6.19239,-25.6444149416248,-31.5121312610225,-22.6844628851845,-28.37235,-198.364158584124,-241.887961136128,-229.467349249529,-161.4372422,1.45535713322146,3.41882752683922,3.39694963579496,2.72679794,1.50981019248315,6.31116962044683,4.38830041178093,1.540348521,10.7080214770928,19.3229316320607,15.1260809764148,15.47038337
