"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.67784474538361,-0.256933571972925,-5.41003075590026,-6.19239,-30.5522548912777,-30.2093443832331,-25.4489304290657,-28.37235,-191.757626227047,-204.713716534067,-206.669293804847,-157.3064625,1.56196636279266,3.24596270786013,4.48324966919669,2.72679794,1.45292723964691,3.58151608878782,3.43506270232287,1.540348521,10.1063577463787,18.737776895187,14.8402673946327,15.47038337
"Clear","Calanoida",-0.0493763685251025,-0.465861024491181,-6.41935679864896,-6.19239,-35.7905196380095,-31.0935202986265,-23.2117515546113,-28.37235,-241.670087864691,-237.112327784492,-230.965451468681,-161.4372422,1.5661409718693,3.14782851206369,3.59056798632916,2.72679794,1.53650691552478,5.90657826298484,4.56978417672305,1.540348521,10.3330105093603,17.6920247172055,17.57275455896,15.47038337
"L","Calanoida",-3.43841042900196,-0.912317632661014,-7.34109381024719,-6.19239,-28.2513999382956,-31.2353454617612,-25.295351975178,-28.37235,-183.976471397481,-203.101053923606,-212.870104939727,-161.4372422,1.48313475621665,2.91142826182726,3.97958859374831,2.72679794,1.66224485135017,3.56292338148124,3.14949807377635,1.540348521,10.1192964787042,17.9437299534978,15.5464355403853,15.47038337
"Milk","Calanoida",-2.07145212829073,-2.15017226818914,-7.38067262628873,-6.96259,-36.9610514131413,-30.7136615488158,-22.1882707807491,-26.644,-256.291703502899,-240.664038955191,-237.180501398598,-157.3064625,1.4215530551924,3.33876805078206,3.13982947710015,2.597857878,1.48079607363742,8.05679630004284,5.19180890906963,1.617015005,11.0249094654919,18.491273468112,12.9306383125041,19.03892533
"Mirror","Calanoida",-3.24506091965733,-2.20887602305897,-6.07617918431501,-6.96259,-27.8554361217343,-27.8044794555352,-18.6042581899416,-26.644,-236.39505260482,-235.869656552118,-236.499633899062,-161.4372422,1.62359909017674,3.10438330131901,3.55548166372081,2.597857878,1.57777190382381,5.7220270866216,9.40808924330469,1.617015005,10.4865770285309,19.2077773750441,13.2457026762822,19.03892533
"Morgenroth","Calanoida",0.556514801660697,-1.12664806092875,-7.76526955287488,-6.19239,-35.0920201383197,-31.5372576109183,-20.4848577841436,-28.37235,-228.624270063531,-238.151609664425,-237.133791542609,-161.4372422,1.5708837926667,2.57836043514127,3.52663000463498,2.72679794,1.50740079446805,4.07244852079018,5.12893944524218,1.540348521,10.4352577311024,19.7099935074622,14.6692136696519,15.47038337
"O","Calanoida",-2.65683166791879,-0.591796392005817,-6.41397527719368,-6.19239,-28.4571504385588,-30.4852106564218,-25.2504915141266,-28.37235,-185.805930001165,-199.007279109182,-202.689046495961,-161.4372422,1.52306800561165,3.07862267960106,5.77370130792679,2.72679794,1.51753637393364,4.63738214799344,3.59851651360364,1.540348521,10.0292893937054,17.1053241022617,17.9970082444013,15.47038337
"Y-015","Calanoida",-3.40803010101035,-1.66790031922706,-7.56328837318017,-6.96259,-27.7667400235764,-30.1444720927474,-20.1645749577218,-26.644,-245.551064915854,-233.813996824224,-238.499339473563,-157.3064625,1.47798573406453,4.96692713466223,3.31486042984791,2.597857878,1.4784451931971,4.85448756980657,5.55917341612632,1.617015005,10.442193121383,19.6931719510669,14.4123693422073,19.03892533
"Y-025","Calanoida",-1.89813472219373,-1.56738570043986,-6.48239011629078,-6.96259,-25.539605559277,-27.2083514060428,-22.104386174423,-26.644,-240.894137133339,-237.053499730559,-239.617669833731,-157.3064625,1.48805752117304,3.00582735993579,3.09897151129862,2.597857878,1.70291992253546,6.43071108306833,4.88384670278718,1.617015005,10.4130168505806,19.6058444542905,14.8941522567765,19.03892533
"Z","Calanoida",-1.45114387758419,-0.792805153885886,-7.29469534371584,-6.19239,-29.4090462970558,-31.6690216714551,-25.3785054713852,-28.37235,-176.547698251981,-193.727689629481,-216.0147969225,-157.3064625,1.5136538048547,2.57013666644873,3.6219216666639,2.72679794,1.50222693978851,3.84448752771058,3.31224979384229,1.540348521,10.3202905096035,17.9704681311342,14.1095805824543,15.47038337
"Milk","Chaoborus",-1.78651030746052,-2.15017226818914,-7.38067262628873,-6.96259,-35.1768877118018,-30.7136615488158,-22.1882707807491,-26.644,-219.742467917706,-240.664038955191,-237.180501398598,-157.3064625,1.59788258583517,3.33876805078206,3.13982947710015,2.597857878,1.6711950518994,8.05679630004284,5.19180890906963,1.617015005,8.93876127065992,18.491273468112,12.9306383125041,19.03892533
"C","Cladocera",-2.55960121578869,-0.256933571972925,-5.41003075590026,-6.19239,-27.5790998612962,-30.2093443832331,-25.4489304290657,-28.37235,-181.141595541799,-204.713716534067,-206.669293804847,-157.3064625,1.5336777756308,3.24596270786013,4.48324966919669,2.72679794,1.59796555454575,3.58151608878782,3.43506270232287,1.540348521,10.9787902474405,18.737776895187,14.8402673946327,15.47038337
"Clear","Cladocera",-1.61805521508677,-0.465861024491181,-6.41935679864896,-6.19239,-31.3004105347688,-31.0935202986265,-23.2117515546113,-28.37235,-224.77942368132,-237.112327784492,-230.965451468681,-161.4372422,1.5561616151655,3.14782851206369,3.59056798632916,2.72679794,1.4918656729772,5.90657826298484,4.56978417672305,1.540348521,9.4255940629438,17.6920247172055,17.57275455896,15.47038337
"L","Cladocera",-1.76084849254568,-0.912317632661014,-7.34109381024719,-6.19239,-26.7461132957902,-31.2353454617612,-25.295351975178,-28.37235,-182.064063287491,-203.101053923606,-212.870104939727,-161.4372422,1.53888537725639,2.91142826182726,3.97958859374831,2.72679794,1.53843841961993,3.56292338148124,3.14949807377635,1.540348521,11.0683275147633,17.9437299534978,15.5464355403853,15.47038337
"Morgenroth","Cladocera",-1.1318780486619,-1.12664806092875,-7.76526955287488,-6.19239,-32.797123013813,-31.5372576109183,-20.4848577841436,-28.37235,-214.681199751335,-238.151609664425,-237.133791542609,-161.4372422,1.6686991486124,2.57836043514127,3.52663000463498,2.72679794,1.65088246066016,4.07244852079018,5.12893944524218,1.540348521,10.0502522645682,19.7099935074622,14.6692136696519,15.47038337
"O","Cladocera",-3.18121786913539,-0.591796392005817,-6.41397527719368,-6.19239,-27.5683151062841,-30.4852106564218,-25.2504915141266,-28.37235,-176.721943160322,-199.007279109182,-202.689046495961,-161.4372422,1.41359741331241,3.07862267960106,5.77370130792679,2.72679794,1.50116756579581,4.63738214799344,3.59851651360364,1.540348521,10.4507791480594,17.1053241022617,17.9970082444013,15.47038337
"Z","Cladocera",-2.76584733473429,-0.792805153885886,-7.29469534371584,-6.19239,-28.9331048307947,-31.6690216714551,-25.3785054713852,-28.37235,-177.117480549371,-193.727689629481,-216.0147969225,-157.3064625,1.48503524878232,2.57013666644873,3.6219216666639,2.72679794,1.60828583803917,3.84448752771058,3.31224979384229,1.540348521,9.98519173473478,17.9704681311342,14.1095805824543,15.47038337
"Mirror","Salvelinus",-0.255142694746894,-2.20887602305897,-6.07617918431501,-6.96259,-19.1824346028537,-27.8044794555352,-18.6042581899416,-26.644,-218.034675841977,-235.869656552118,-236.499633899062,-161.4372422,1.60856525906621,3.10438330131901,3.55548166372081,2.597857878,1.42703749533937,5.7220270866216,9.40808924330469,1.617015005,9.79019629535722,19.2077773750441,13.2457026762822,19.03892533
