"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-1.67387881725533,-0.675721247042568,-5.53920535838606,-6.192393333,-34.9310271900342,-30.3136079281155,-25.2064745777947,-28.37235,-189.992021585653,-201.253172773352,-211.262327557099,-157.3064625,1.60313236016158,3.7511322966301,4.20462664764085,2.72679794,1.4272192892176,3.70667987170878,3.58636057287823,1.540348521,10.7048039258248,19.2693270128454,14.393886253489,15.47038337
"Clear","Calanoida",-0.154704708353151,-0.728699990447754,-6.46798501412974,-6.192393333,-40.6264970189907,-32.1044096570966,-22.7796641430676,-28.37235,-238.840192286888,-237.616829617785,-227.787682602852,-161.4372422,1.59635156222898,3.48261682981135,3.3982703316688,2.72679794,1.53356500170954,6.45127707251769,4.51888769214587,1.540348521,10.5339496234855,19.9660628405562,15.1415558620887,15.47038337
"L","Calanoida",-3.1566865771229,-0.721784725465159,-7.65432810491417,-6.192393333,-33.0325560556736,-31.3903811904155,-25.1079696058431,-28.37235,-181.082001186714,-202.946269245913,-217.512557680938,-161.4372422,1.39626337437019,2.92072854139188,3.97466871061764,2.72679794,1.49642080134133,3.59701827314883,3.25892219929203,1.540348521,9.56212873161273,19.8704070350952,14.4670140705234,15.47038337
"Milk","Calanoida",-2.55111163593517,-1.94053917933561,-7.5686129488159,-6.96259,-41.4682230699903,-32.4515177478187,-22.1592642142546,-26.644,-249.544657041231,-237.027363610288,-240.011620742348,-157.3064625,1.54816074784579,3.20968864136549,3.27273643587308,2.597857878,1.34486844379954,8.11793270565709,5.3829295577982,1.617015005,10.3152731077784,20.611725236529,14.2005425579273,19.03892533
"Mirror","Calanoida",-3.3762161427034,-1.79507364081246,-6.09769794200679,-6.96259,-33.0776192636403,-27.9489558260143,-18.4895861890801,-26.644,-229.56867429762,-243.523152175726,-238.385449279191,-161.4372422,1.47490298801667,3.10695183848198,3.88259430512398,2.597857878,1.56425049945168,5.29813250159769,9.52930765829312,1.617015005,11.2254778429251,19.3066161200602,14.0755403098069,19.03892533
"Morgenroth","Calanoida",0.0143307490862412,-0.960049617528894,-7.80192835236272,-6.192393333,-39.4753725887643,-31.7799914745219,-19.9873055133148,-28.37235,-230.859745743457,-238.806441823403,-240.461821563758,-161.4372422,1.47246494873683,2.85309684927098,3.82651134016102,2.72679794,1.46890885282063,3.98785287863553,5.33631412493896,1.540348521,9.98864863802744,21.4298937263986,14.9470509286722,15.47038337
"O","Calanoida",-2.10111168753481,-0.69926785053141,-6.11366558769981,-6.192393333,-32.8158633209568,-30.6806216574121,-25.0778859628808,-28.37235,-186.067397511119,-206.333620030204,-212.680762382593,-161.4372422,1.47032311947257,3.26568085635706,6.24774036262642,2.72679794,1.53920963698919,4.6710577016353,3.60611864892801,1.540348521,10.1248097739013,18.3825565482637,16.909483801094,15.47038337
"Y-015","Calanoida",-3.84907000481579,-1.47041920931745,-7.57753974517591,-6.96259,-31.9159383568088,-30.1011969942632,-19.6018624893783,-26.644,-236.89791161136,-230.408629430576,-241.345817293268,-157.3064625,1.47928559387425,4.8384898450801,3.32054538405981,2.597857878,1.61573389523546,4.71366481747617,5.63245678860225,1.617015005,9.66780720831953,20.564046413556,13.5568416660392,19.03892533
"Y-025","Calanoida",-1.81850659432803,-1.27020837550997,-6.54954856384784,-6.96259,-29.9801989252069,-27.2167640801548,-21.6691185002807,-26.644,-244.401473893468,-239.650616434034,-242.91541846195,-157.3064625,1.56091187592383,3.08975196758895,3.34457631102079,2.597857878,1.63319764927638,6.06113545108123,5.02108871404274,1.617015005,10.4237655708408,19.3415978714667,13.7446142544739,19.03892533
"Z","Calanoida",-1.18993752618755,-0.708715007705383,-7.19115771701392,-6.192393333,-34.0235538421584,-31.6495502283268,-25.0540556618901,-28.37235,-172.879738732509,-209.708889815053,-220.566497783563,-157.3064625,1.58904808415229,2.89767873970557,3.48363297232447,2.72679794,1.61846553097587,3.95148394334033,3.21138082089687,1.540348521,10.9607988304639,21.1213567578619,13.6878893408975,15.47038337
"Milk","Chaoborus",-1.64998249610751,-1.94053917933561,-7.5686129488159,-6.96259,-41.4703239190348,-32.4515177478187,-22.1592642142546,-26.644,-223.650748504795,-237.027363610288,-240.011620742348,-157.3064625,1.46738210066802,3.20968864136549,3.27273643587308,2.597857878,1.57168484418889,8.11793270565709,5.3829295577982,1.617015005,9.19819789205576,20.611725236529,14.2005425579273,19.03892533
"C","Cladocera",-2.87402365026232,-0.675721247042568,-5.53920535838606,-6.192393333,-32.32067250381,-30.3136079281155,-25.2064745777947,-28.37235,-181.532639695327,-201.253172773352,-211.262327557099,-157.3064625,1.5433709585934,3.7511322966301,4.20462664764085,2.72679794,1.50639309968527,3.70667987170878,3.58636057287823,1.540348521,11.0886950854426,19.2693270128454,14.393886253489,15.47038337
"Clear","Cladocera",-1.55387877963778,-0.728699990447754,-6.46798501412974,-6.192393333,-35.8574774955977,-32.1044096570966,-22.7796641430676,-28.37235,-221.600909267089,-237.616829617785,-227.787682602852,-161.4372422,1.42638046142417,3.48261682981135,3.3982703316688,2.72679794,1.51477928207152,6.45127707251769,4.51888769214587,1.540348521,10.0629677133332,19.9660628405562,15.1415558620887,15.47038337
"L","Cladocera",-2.65498295312267,-0.721784725465159,-7.65432810491417,-6.192393333,-31.5450647696386,-31.3903811904155,-25.1079696058431,-28.37235,-180.628084984886,-202.946269245913,-217.512557680938,-161.4372422,1.53254971837254,2.92072854139188,3.97466871061764,2.72679794,1.6008344196218,3.59701827314883,3.25892219929203,1.540348521,10.7962329262119,19.8704070350952,14.4670140705234,15.47038337
"Morgenroth","Cladocera",-1.32221559117568,-0.960049617528894,-7.80192835236272,-6.192393333,-36.8395121758814,-31.7799914745219,-19.9873055133148,-28.37235,-220.810386451855,-238.806441823403,-240.461821563758,-161.4372422,1.43392531961526,2.85309684927098,3.82651134016102,2.72679794,1.48700073481204,3.98785287863553,5.33631412493896,1.540348521,10.2921347302555,21.4298937263986,14.9470509286722,15.47038337
"O","Cladocera",-2.81160123838238,-0.69926785053141,-6.11366558769981,-6.192393333,-32.2406685748498,-30.6806216574121,-25.0778859628808,-28.37235,-180.650190763955,-206.333620030204,-212.680762382593,-161.4372422,1.58140706983429,3.26568085635706,6.24774036262642,2.72679794,1.51477163005613,4.6710577016353,3.60611864892801,1.540348521,9.9121738169005,18.3825565482637,16.909483801094,15.47038337
"Z","Cladocera",-2.67631750650347,-0.708715007705383,-7.19115771701392,-6.192393333,-33.3844207832202,-31.6495502283268,-25.0540556618901,-28.37235,-176.25502444451,-209.708889815053,-220.566497783563,-157.3064625,1.73675541535758,2.89767873970557,3.48363297232447,2.72679794,1.44133509438728,3.95148394334033,3.21138082089687,1.540348521,10.0645773629094,21.1213567578619,13.6878893408975,15.47038337
"Mirror","Salvelinus",-0.69875065385186,-1.79507364081246,-6.09769794200679,-6.96259,-26.222986358454,-27.9489558260143,-18.4895861890801,-26.644,-218.049560775419,-243.523152175726,-238.385449279191,-161.4372422,1.52374781979162,3.10695183848198,3.88259430512398,2.597857878,1.53816099771814,5.29813250159769,9.52930765829312,1.617015005,10.2249660495529,19.3066161200602,14.0755403098069,19.03892533
"Mirror","Salvelinus",0.442182371948931,-1.79507364081246,-6.09769794200679,-6.96259,-27.583685929509,-27.9489558260143,-18.4895861890801,-26.644,-198.66261365775,-243.523152175726,-238.385449279191,-161.4372422,1.51707315980563,3.10695183848198,3.88259430512398,2.597857878,1.59469015359493,5.29813250159769,9.52930765829312,1.617015005,9.32662339907473,19.3066161200602,14.0755403098069,19.03892533
"C","Trichoptera",-3.06178713685388,-0.675721247042568,-5.53920535838606,-6.192393333,-30.1613694561052,-30.3136079281155,-25.2064745777947,-28.37235,-209.353514515383,-201.253172773352,-211.262327557099,-157.3064625,1.54311913378465,3.7511322966301,4.20462664764085,2.72679794,1.53843514670497,3.70667987170878,3.58636057287823,1.540348521,9.72714970838817,19.2693270128454,14.393886253489,15.47038337
