"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-6.12735747660953,-0.492531292157974,-5.2798443685447,-6.19239,-29.2304604190563,-30.2438957541773,-25.1216759823104,-28.37235,-187.983438664185,-197.056731716079,-211.162985255854,-157.3064625,1.43657096820533,3.74497278224188,4.47860424022183,2.72679794,1.66752359011949,3.74883277593739,3.89334955536804,1.540348521,10.2849621654322,18.5469832986162,14.6830392860235,15.47038337
"Clear","Calanoida",-4.05263465376487,-0.391332756159302,-6.49625931969583,-6.19239,-35.8086009996038,-31.5121312610225,-22.6844628851845,-28.37235,-237.482508101125,-241.887961136128,-229.467349249529,-161.4372422,1.45312112422094,3.41882752683922,3.39694963579496,2.72679794,1.51078781884799,6.31116962044683,4.38830041178093,1.540348521,10.9440141634823,19.3229316320607,15.1260809764148,15.47038337
"L","Calanoida",-7.03723066495948,-0.843528660681303,-6.75609237215954,-6.19239,-28.2280493646561,-31.301688025159,-25.0142875974957,-28.37235,-182.410206125135,-207.702027794417,-220.358755832503,-161.4372422,1.49732659110022,2.83476886142451,3.98845707517765,2.72679794,1.49793141214602,3.5288068891915,3.18765868498275,1.540348521,9.99348721685881,17.6916172343721,15.384719090145,15.47038337
"Milk","Calanoida",-6.50483945680507,-1.92274497883332,-7.47849029355554,-6.96259,-36.6142877444821,-31.5872487532558,-22.0162766606441,-26.644,-247.230765588605,-234.424034663457,-239.70701645531,-157.3064625,1.50305023567029,3.20905432956218,3.34929909108576,2.597857878,1.42062909514078,8.47212995962129,5.21909187398371,1.617015005,10.4295121550245,21.772955522339,13.0314251770546,19.03892533
"Mirror","Calanoida",-7.02243847413629,-1.95969163694242,-6.17290732420313,-6.96259,-28.6514439492498,-27.8355636445119,-20.2407195290788,-26.644,-228.582459616357,-232.663061184619,-240.619428399938,-161.4372422,1.56442160842664,3.09050007667154,3.86350916665226,2.597857878,1.45247542175333,5.49395497492807,10.3338412196468,1.617015005,10.0538591897411,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Calanoida",-3.73348170722302,-0.998590586609869,-7.72542595573312,-6.19239,-34.8699620158105,-31.6872353418134,-20.4850887695174,-28.37235,-234.275531527261,-233.780737808523,-241.137221132675,-161.4372422,1.66314107605039,3.09263732138076,3.35491951569177,2.72679794,1.48666218084774,3.92682178316978,5.33292344368317,1.540348521,10.7936447831491,17.927050980278,14.6501706713687,15.47038337
"O","Calanoida",-6.41755275574934,-0.85222528260659,-6.53189169095612,-6.19239,-27.8555027844228,-30.6562099035089,-25.040582544184,-28.37235,-189.328425031701,-197.458553109771,-208.961512766408,-161.4372422,1.49684009522795,3.70703054578008,6.07307954721157,2.72679794,1.51209994160818,4.53425154484618,3.72029915504319,1.540348521,10.9288003558355,21.9705983986724,16.3410820036258,15.47038337
"Y-015","Calanoida",-7.45469068898554,-1.49137458001878,-7.42509794161072,-6.96259,-27.6529609136204,-30.1436792947851,-19.6001608906615,-26.644,-239.181033784858,-237.501255078756,-239.673152627241,-157.3064625,1.50884423575355,4.90758496413172,3.47331142945325,2.597857878,1.45448336164952,5.09102835690797,5.4634170486111,1.617015005,10.6077848006954,23.4535701970079,14.7148204863773,19.03892533
"Y-025","Calanoida",-6.06569941993502,-1.37393329061914,-6.59923696613045,-6.96259,-25.3482420742725,-27.0451013271735,-21.6439615374512,-26.644,-238.311919565128,-239.97172382351,-241.870244111365,-157.3064625,1.49383793643762,3.08635074512413,3.27118409452431,2.597857878,1.51899325260706,6.26409063074552,5.00642024753934,1.617015005,10.8633704492148,19.4500593654794,14.2200038523801,19.03892533
"Z","Calanoida",-5.59317829901968,-0.637485620512241,-6.83309342559743,-6.19239,-29.9028936003538,-31.6485544744834,-24.9276668696017,-28.37235,-173.087539272372,-192.520085314915,-218.839706330627,-157.3064625,1.52870693080028,2.85767029245773,3.55262243536771,2.72679794,1.53860227448654,3.79637825387773,3.33903479141874,1.540348521,11.2326143669488,21.8535142490198,14.7108474002054,15.47038337
"Milk","Chaoborus",-7.56920314191103,-1.92274497883332,-7.47849029355554,-6.96259,-33.9751590102303,-31.5872487532558,-22.0162766606441,-26.644,-215.953388759884,-234.424034663457,-239.70701645531,-157.3064625,1.50956364508936,3.20905432956218,3.34929909108576,2.597857878,1.51927573421087,8.47212995962129,5.21909187398371,1.617015005,9.90225776261029,21.772955522339,13.0314251770546,19.03892533
"C","Cladocera",-6.37502161733741,-0.492531292157974,-5.2798443685447,-6.19239,-27.9949356860639,-30.2438957541773,-25.1216759823104,-28.37235,-183.35079632891,-197.056731716079,-211.162985255854,-157.3064625,1.41536882833081,3.74497278224188,4.47860424022183,2.72679794,1.48827133536196,3.74883277593739,3.89334955536804,1.540348521,9.83113322899861,18.5469832986162,14.6830392860235,15.47038337
"Clear","Cladocera",-5.66049233383711,-0.391332756159302,-6.49625931969583,-6.19239,-30.9869772454268,-31.5121312610225,-22.6844628851845,-28.37235,-224.214000386335,-241.887961136128,-229.467349249529,-161.4372422,1.52160853929235,3.41882752683922,3.39694963579496,2.72679794,1.62740787477072,6.31116962044683,4.38830041178093,1.540348521,10.5364121838878,19.3229316320607,15.1260809764148,15.47038337
"L","Cladocera",-6.41724294375646,-0.843528660681303,-6.75609237215954,-6.19239,-27.0534232080031,-31.301688025159,-25.0142875974957,-28.37235,-181.661964435352,-207.702027794417,-220.358755832503,-161.4372422,1.63931119033861,2.83476886142451,3.98845707517765,2.72679794,1.58482778662438,3.5288068891915,3.18765868498275,1.540348521,10.1808791627588,17.6916172343721,15.384719090145,15.47038337
"Morgenroth","Cladocera",-5.23897273223606,-0.998590586609869,-7.72542595573312,-6.19239,-31.9729794118908,-31.6872353418134,-20.4850887695174,-28.37235,-220.348424053391,-233.780737808523,-241.137221132675,-161.4372422,1.60061645591606,3.09263732138076,3.35491951569177,2.72679794,1.49032192401121,3.92682178316978,5.33292344368317,1.540348521,10.5985061806092,17.927050980278,14.6501706713687,15.47038337
"O","Cladocera",-7.08737987325947,-0.85222528260659,-6.53189169095612,-6.19239,-27.2714199959094,-30.6562099035089,-25.040582544184,-28.37235,-180.097683785743,-197.458553109771,-208.961512766408,-161.4372422,1.45509199525113,3.70703054578008,6.07307954721157,2.72679794,1.43400699017711,4.53425154484618,3.72029915504319,1.540348521,10.3039876655505,21.9705983986724,16.3410820036258,15.47038337
"Z","Cladocera",-6.62936552288942,-0.637485620512241,-6.83309342559743,-6.19239,-29.2355935339672,-31.6485544744834,-24.9276668696017,-28.37235,-176.986903579085,-192.520085314915,-218.839706330627,-157.3064625,1.59977406524056,2.85767029245773,3.55262243536771,2.72679794,1.61278104916701,3.79637825387773,3.33903479141874,1.540348521,10.1265780060174,21.8535142490198,14.7108474002054,15.47038337
