"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.67784474538361,-0.153766354962557,-5.44830197364603,-6.19239,-30.5522548912777,-30.2053095256991,-25.1684277067063,-28.37235,-191.757626227047,-156.376847388934,-213.84565655046,-157.3064625,1.56196636279266,3.53938223301627,4.18020033379244,2.72679794,1.45292723964691,3.68706399786299,3.76126439711434,1.540348521,10.1063577463787,16.4706168894686,14.8635645263464,15.47038337
"Clear","Calanoida",-0.0493763685251025,-0.708437573077632,-6.55302675091273,-6.19239,-35.7905196380095,-31.6676128154095,-22.6810593573003,-28.37235,-241.670087864691,-183.050964998166,-225.510001516947,-161.4372422,1.5661409718693,3.49429008252855,3.49742217687367,2.72679794,1.53650691552478,6.20014483609842,4.62331519479372,1.540348521,10.3330105093603,15.1803538029903,15.1343501424709,15.47038337
"L","Calanoida",-3.43841042900196,-0.624249374241244,-7.52605689718457,-6.19239,-28.2513999382956,-31.4519250071613,-25.1498329305155,-28.37235,-183.976471397481,-143.676430093802,-214.742470995659,-161.4372422,1.48313475621665,2.84932869703921,3.94560162572756,2.72679794,1.66224485135017,3.54632587803736,3.13633127961565,1.540348521,10.1192964787042,13.9546931158168,13.773844786164,15.47038337
"Milk","Calanoida",-2.07145212829073,-1.99693107187012,-7.57808523401626,-6.96259,-36.9610514131413,-31.6189086232496,-22.1186934386613,-26.644,-256.291703502899,-192.562944087237,-240.198797061625,-157.3064625,1.4215530551924,3.19874002103849,3.39561163070196,2.597857878,1.48079607363742,7.89257469236974,5.1502197923657,1.617015005,11.0249094654919,16.1642200885112,12.4108885510204,19.03892533
"Mirror","Calanoida",-3.24506091965733,-2.05126712432665,-6.55713392273339,-6.96259,-27.8554361217343,-28.0265658474348,-21.8008695466515,-26.644,-236.39505260482,-183.176409674503,-240.416865862299,-161.4372422,1.62359909017674,3.05865931248139,3.86151059321068,2.597857878,1.57777190382381,5.63712277305994,10.9091861058735,1.617015005,10.4865770285309,14.9506483228655,13.3668014737757,19.03892533
"Morgenroth","Calanoida",0.556514801660697,-0.881805792817631,-7.40700293921701,-6.19239,-35.0920201383197,-31.6781842488392,-19.8392278030429,-28.37235,-228.624270063531,-177.768223392899,-238.248066344469,-161.4372422,1.5708837926667,2.75926432412473,3.44219508399012,2.72679794,1.50740079446805,3.92860049285734,5.03543494423258,1.540348521,10.4352577311024,15.3881858656653,14.3672096141663,15.47038337
"O","Calanoida",-2.65683166791879,-0.674263915766471,-6.44560788701413,-6.19239,-28.4571504385588,-30.9981491661896,-25.1217432431338,-28.37235,-185.805930001165,-133.637055425195,-207.372036914013,-161.4372422,1.52306800561165,3.39376499651751,6.10698329141717,2.72679794,1.51753637393364,4.40261518044847,3.64072875892998,1.540348521,10.0292893937054,18.3366849245178,16.4716566331722,15.47038337
"Y-015","Calanoida",-3.40803010101035,-2.05848484462146,-7.59059222767079,-6.96259,-27.7667400235764,-30.2234945482349,-19.704598451209,-26.644,-245.551064915854,-172.57491868636,-240.54894859298,-157.3064625,1.47798573406453,5.03023418671721,3.35002372458734,2.597857878,1.4784451931971,5.03169992936762,5.37883243600047,1.617015005,10.442193121383,17.0842274775551,14.1102972784508,19.03892533
"Y-025","Calanoida",-1.89813472219373,-1.36540546710614,-6.72314301504082,-6.96259,-25.539605559277,-27.2732096592125,-21.8181046411763,-26.644,-240.894137133339,-182.772830612138,-239.621493186305,-157.3064625,1.48805752117304,3.11880556667492,3.47159786420389,2.597857878,1.70291992253546,5.75418286936461,5.04756101637116,1.617015005,10.4130168505806,14.4878088720671,14.1874333432282,19.03892533
"Z","Calanoida",-1.45114387758419,-0.532512285731845,-6.86250247297544,-6.19239,-29.4090462970558,-31.7615327196185,-25.0871854142116,-28.37235,-176.547698251981,-153.114384301825,-218.406110492151,-157.3064625,1.5136538048547,2.95984121893154,3.48006598320383,2.72679794,1.50222693978851,3.95147831740207,3.45586531419071,1.540348521,10.3202905096035,14.91813566643,14.6451170703568,15.47038337
"Milk","Chaoborus",-1.78651030746052,-1.99693107187012,-7.57808523401626,-6.96259,-35.1768877118018,-31.6189086232496,-22.1186934386613,-26.644,-219.742467917706,-192.562944087237,-240.198797061625,-157.3064625,1.59788258583517,3.19874002103849,3.39561163070196,2.597857878,1.6711950518994,7.89257469236974,5.1502197923657,1.617015005,8.93876127065992,16.1642200885112,12.4108885510204,19.03892533
"C","Cladocera",-2.55960121578869,-0.153766354962557,-5.44830197364603,-6.19239,-27.5790998612962,-30.2053095256991,-25.1684277067063,-28.37235,-181.141595541799,-156.376847388934,-213.84565655046,-157.3064625,1.5336777756308,3.53938223301627,4.18020033379244,2.72679794,1.59796555454575,3.68706399786299,3.76126439711434,1.540348521,10.9787902474405,16.4706168894686,14.8635645263464,15.47038337
"Clear","Cladocera",-1.61805521508677,-0.708437573077632,-6.55302675091273,-6.19239,-31.3004105347688,-31.6676128154095,-22.6810593573003,-28.37235,-224.77942368132,-183.050964998166,-225.510001516947,-161.4372422,1.5561616151655,3.49429008252855,3.49742217687367,2.72679794,1.4918656729772,6.20014483609842,4.62331519479372,1.540348521,9.4255940629438,15.1803538029903,15.1343501424709,15.47038337
"L","Cladocera",-1.76084849254568,-0.624249374241244,-7.52605689718457,-6.19239,-26.7461132957902,-31.4519250071613,-25.1498329305155,-28.37235,-182.064063287491,-143.676430093802,-214.742470995659,-161.4372422,1.53888537725639,2.84932869703921,3.94560162572756,2.72679794,1.53843841961993,3.54632587803736,3.13633127961565,1.540348521,11.0683275147633,13.9546931158168,13.773844786164,15.47038337
"Morgenroth","Cladocera",-1.1318780486619,-0.881805792817631,-7.40700293921701,-6.19239,-32.797123013813,-31.6781842488392,-19.8392278030429,-28.37235,-214.681199751335,-177.768223392899,-238.248066344469,-161.4372422,1.6686991486124,2.75926432412473,3.44219508399012,2.72679794,1.65088246066016,3.92860049285734,5.03543494423258,1.540348521,10.0502522645682,15.3881858656653,14.3672096141663,15.47038337
"O","Cladocera",-3.18121786913539,-0.674263915766471,-6.44560788701413,-6.19239,-27.5683151062841,-30.9981491661896,-25.1217432431338,-28.37235,-176.721943160322,-133.637055425195,-207.372036914013,-161.4372422,1.41359741331241,3.39376499651751,6.10698329141717,2.72679794,1.50116756579581,4.40261518044847,3.64072875892998,1.540348521,10.4507791480594,18.3366849245178,16.4716566331722,15.47038337
"Z","Cladocera",-2.76584733473429,-0.532512285731845,-6.86250247297544,-6.19239,-28.9331048307947,-31.7615327196185,-25.0871854142116,-28.37235,-177.117480549371,-153.114384301825,-218.406110492151,-157.3064625,1.48503524878232,2.95984121893154,3.48006598320383,2.72679794,1.60828583803917,3.95147831740207,3.45586531419071,1.540348521,9.98519173473478,14.91813566643,14.6451170703568,15.47038337
"Mirror","Salvelinus",-0.255142694746894,-2.05126712432665,-6.55713392273339,-6.96259,-19.1824346028537,-28.0265658474348,-21.8008695466515,-26.644,-218.034675841977,-183.176409674503,-240.416865862299,-161.4372422,1.60856525906621,3.05865931248139,3.86151059321068,2.597857878,1.42703749533937,5.63712277305994,10.9091861058735,1.617015005,9.79019629535722,14.9506483228655,13.3668014737757,19.03892533
"Mirror","Salvelinus",0.118321181074435,-2.05126712432665,-6.55713392273339,-6.96259,-20.1682077006744,-28.0265658474348,-21.8008695466515,-26.644,-199.280523356757,-183.176409674503,-240.416865862299,-161.4372422,1.51331362552662,3.05865931248139,3.86151059321068,2.597857878,1.45317139573307,5.63712277305994,10.9091861058735,1.617015005,9.83352933778619,14.9506483228655,13.3668014737757,19.03892533
"C","Trichoptera",-2.73220793392311,-0.153766354962557,-5.44830197364603,-6.19239,-25.0971582530467,-30.2053095256991,-25.1684277067063,-28.37235,-198.834211571689,-156.376847388934,-213.84565655046,-157.3064625,1.45253220374332,3.53938223301627,4.18020033379244,2.72679794,1.40968120070774,3.68706399786299,3.76126439711434,1.540348521,9.8248957798713,16.4706168894686,14.8635645263464,15.47038337
"C","Trichoptera",-3.4554662711862,-0.153766354962557,-5.44830197364603,-6.19239,-26.0291036854346,-30.2053095256991,-25.1684277067063,-28.37235,-191.721806573476,-156.376847388934,-213.84565655046,-157.3064625,1.55271138465731,3.53938223301627,4.18020033379244,2.72679794,1.51486639983184,3.68706399786299,3.76126439711434,1.540348521,11.4496766986917,16.4706168894686,14.8635645263464,15.47038337
"Clear","Trichoptera",-6.04255896874234,-0.708437573077632,-6.55302675091273,-6.19239,-25.6891221605685,-31.6676128154095,-22.6810593573003,-28.37235,-196.616635596182,-183.050964998166,-225.510001516947,-161.4372422,1.48758089385566,3.49429008252855,3.49742217687367,2.72679794,1.41515587137929,6.20014483609842,4.62331519479372,1.540348521,10.7573792433844,15.1803538029903,15.1343501424709,15.47038337
"Milk","Trichoptera",-6.10608174918089,-1.99693107187012,-7.57808523401626,-6.96259,-24.9781076597173,-31.6189086232496,-22.1186934386613,-26.644,-237.962548164466,-192.562944087237,-240.198797061625,-157.3064625,1.56382263124468,3.19874002103849,3.39561163070196,2.597857878,1.56021116641095,7.89257469236974,5.1502197923657,1.617015005,11.0823541457357,16.1642200885112,12.4108885510204,19.03892533
