"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.0367770610108,-0.492531292157974,-5.2798443685447,-6.19239,-30.3792640843261,-30.2438957541773,-25.1216759823104,-28.37235,-256.428276646061,-197.056731716079,-211.162985255854,-157.3064625,1.55141098626838,3.74497278224188,4.47860424022183,2.72679794,1.56026096621747,3.74883277593739,3.89334955536804,1.540348521,10.7917657912532,18.5469832986162,14.6830392860235,15.47038337
"Clear","Calanoida",-0.0260911634049421,-0.391332756159302,-6.49625931969583,-6.19239,-36.1129284971674,-31.5121312610225,-22.6844628851845,-28.37235,-315.329943131031,-241.887961136128,-229.467349249529,-161.4372422,1.50923653453934,3.41882752683922,3.39694963579496,2.72679794,1.53766745355922,6.31116962044683,4.38830041178093,1.540348521,9.26784140076036,19.3229316320607,15.1260809764148,15.47038337
"L","Calanoida",-3.18907678894375,-0.843528660681303,-6.75609237215954,-6.19239,-28.1819132775923,-31.301688025159,-25.0142875974957,-28.37235,-256.630293397502,-207.702027794417,-220.358755832503,-161.4372422,1.47699278086586,2.83476886142451,3.98845707517765,2.72679794,1.58307999179503,3.5288068891915,3.18765868498275,1.540348521,10.727065115421,17.6916172343721,15.384719090145,15.47038337
"Milk","Calanoida",-2.38584403359988,-1.92274497883332,-7.47849029355554,-6.96259,-36.7727558393162,-31.5872487532558,-22.0162766606441,-26.644,-333.070927330709,-234.424034663457,-239.70701645531,-157.3064625,1.66870582218783,3.20905432956218,3.34929909108576,2.597857878,1.46315561684588,8.47212995962129,5.21909187398371,1.617015005,9.41580373138131,21.772955522339,13.0314251770546,19.03892533
"Mirror","Calanoida",-3.14195881213627,-1.95969163694242,-6.17290732420313,-6.96259,-28.2754903389583,-27.8355636445119,-20.2407195290788,-26.644,-304.618622806999,-232.663061184619,-240.619428399938,-161.4372422,1.65878070926731,3.09050007667154,3.86350916665226,2.597857878,1.64376785799669,5.49395497492807,10.3338412196468,1.617015005,10.4419510777877,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Calanoida",0.226851501257684,-0.998590586609869,-7.72542595573312,-6.19239,-35.3648149250988,-31.6872353418134,-20.4850887695174,-28.37235,-311.104628737604,-233.780737808523,-241.137221132675,-161.4372422,1.49561541632125,3.09263732138076,3.35491951569177,2.72679794,1.57014548213959,3.92682178316978,5.33292344368317,1.540348521,9.09546115318616,17.927050980278,14.6501706713687,15.47038337
"O","Calanoida",-2.44719662409588,-0.85222528260659,-6.53189169095612,-6.19239,-28.5116251794703,-30.6562099035089,-25.040582544184,-28.37235,-265.738412523427,-197.458553109771,-208.961512766408,-161.4372422,1.40168630594391,3.70703054578008,6.07307954721157,2.72679794,1.6155938602411,4.53425154484618,3.72029915504319,1.540348521,8.8825163957652,21.9705983986724,16.3410820036258,15.47038337
"Y-015","Calanoida",-3.22909702698198,-1.49137458001878,-7.42509794161072,-6.96259,-28.085064306189,-30.1436792947851,-19.6001608906615,-26.644,-330.231827764122,-237.501255078756,-239.673152627241,-157.3064625,1.54537814574183,4.90758496413172,3.47331142945325,2.597857878,1.48600419300342,5.09102835690797,5.4634170486111,1.617015005,9.97535135558797,23.4535701970079,14.7148204863773,19.03892533
"Y-025","Calanoida",-2.26443278629046,-1.37393329061914,-6.59923696613045,-6.96259,-25.3851864703809,-27.0451013271735,-21.6439615374512,-26.644,-321.88490558778,-239.97172382351,-241.870244111365,-157.3064625,1.52615607688736,3.08635074512413,3.27118409452431,2.597857878,1.5822805930719,6.26409063074552,5.00642024753934,1.617015005,10.0031958965504,19.4500593654794,14.2200038523801,19.03892533
"Z","Calanoida",-1.59972093930814,-0.637485620512241,-6.83309342559743,-6.19239,-29.50089274465,-31.6485544744834,-24.9276668696017,-28.37235,-232.080820968653,-192.520085314915,-218.839706330627,-157.3064625,1.46899958773405,2.85767029245773,3.55262243536771,2.72679794,1.49313909187541,3.79637825387773,3.33903479141874,1.540348521,10.515917266519,21.8535142490198,14.7108474002054,15.47038337
