"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.67784474538361,-0.568257828116714,-5.65560375653137,-6.19239,-30.5522548912777,-30.6099299500025,-25.004507838478,-28.37235,-191.757626227047,-200.042273949813,-218.280949176635,-157.3064625,1.56196636279266,4.08678529957558,4.12174889226158,2.72679794,1.45292723964691,3.51121459452221,3.40431348467309,1.540348521,10.1063577463787,17.2078254523263,14.392517523965,15.47038337
"Clear","Calanoida",-0.0493763685251025,-0.627437897979545,-6.35461279041273,-6.19239,-35.7905196380095,-31.8308686735225,-22.5989244357265,-28.37235,-241.670087864691,-233.323595233946,-233.666122032872,-161.4372422,1.5661409718693,3.71586135752323,3.41042653078333,2.72679794,1.53650691552478,6.45662695746875,4.19713099497665,1.540348521,10.3330105093603,20.1413966239932,14.9852709205525,15.47038337
"L","Calanoida",-3.43841042900196,-0.581893599716907,-7.16843580919989,-6.19239,-28.2513999382956,-31.5896835528447,-25.0121276968435,-28.37235,-183.976471397481,-203.559304967697,-219.470117782629,-161.4372422,1.48313475621665,3.04480084338993,4.10912985589965,2.72679794,1.66224485135017,3.53668446956643,3.10234270215494,1.540348521,10.1192964787042,19.5289052677259,13.6235108798636,15.47038337
"Milk","Calanoida",-2.07145212829073,-1.76207190429269,-7.48493960221365,-6.96259,-36.9610514131413,-31.1558818007549,-21.8429775909089,-26.644,-256.291703502899,-241.88497483148,-243.502396985442,-157.3064625,1.4215530551924,3.15105611080426,3.22710067094035,2.597857878,1.48079607363742,8.46743876813228,5.18817258357384,1.617015005,11.0249094654919,18.0565512315875,13.3311745689647,19.03892533
"Mirror","Calanoida",-3.24506091965733,-1.66017067897836,-7.13288570887139,-6.96259,-27.8554361217343,-28.1161809297543,-20.4434905326001,-26.644,-236.39505260482,-240.421978567046,-243.088841978747,-161.4372422,1.62359909017674,3.09893043229015,3.87423294366435,2.597857878,1.57777190382381,5.36224801911044,10.5542077924597,1.617015005,10.4865770285309,18.0321793012569,13.022628379162,19.03892533
"Morgenroth","Calanoida",0.556514801660697,-0.782229038333873,-7.60265701312123,-6.19239,-35.0920201383197,-31.9928106650797,-21.5018717834279,-28.37235,-228.624270063531,-232.867949454247,-240.888084753087,-161.4372422,1.5708837926667,3.11746111373204,3.38162370065477,2.72679794,1.50740079446805,4.05417116515295,5.21834348552429,1.540348521,10.4352577311024,18.7663654121215,16.2297773147741,15.47038337
"O","Calanoida",-2.65683166791879,-0.61880414017933,-5.84414491328797,-6.19239,-28.4571504385588,-30.8730382349448,-24.864956886894,-28.37235,-185.805930001165,-202.918085470942,-216.63840032227,-161.4372422,1.52306800561165,3.65239048201289,6.32877906143992,2.72679794,1.51753637393364,4.70440532093757,3.6210781946878,1.540348521,10.0292893937054,17.9825757553457,15.4389621724237,15.47038337
"Y-015","Calanoida",-3.40803010101035,-1.55759068909265,-7.59630419288886,-6.96259,-27.7667400235764,-30.2886425435791,-19.2157603733515,-26.644,-245.551064915854,-236.289822771255,-244.287985874225,-157.3064625,1.47798573406453,4.5836641901941,3.05758255742833,2.597857878,1.4784451931971,4.78805552816041,5.2733706095311,1.617015005,10.442193121383,20.4376357585841,14.1661367023717,19.03892533
"Y-025","Calanoida",-1.89813472219373,-1.11315590021845,-6.8739532838757,-6.96259,-25.539605559277,-27.6958289582392,-21.5167936724311,-26.644,-240.894137133339,-238.00368808505,-246.044429125817,-157.3064625,1.48805752117304,3.07998636794138,3.19216902944395,2.597857878,1.70291992253546,6.13168272153159,5.27352431980162,1.617015005,10.4130168505806,19.3628389386704,14.6242927898809,19.03892533
"Z","Calanoida",-1.45114387758419,-0.43242663482458,-7.35090761165561,-6.19239,-29.4090462970558,-31.89861278533,-24.8360134274119,-28.37235,-176.547698251981,-199.611136810898,-223.140860194822,-157.3064625,1.5136538048547,3.00999658384145,3.56250984485619,2.72679794,1.50222693978851,3.87239336679431,3.32954765227901,1.540348521,10.3202905096035,17.5604490071342,13.3717309092635,15.47038337
"Milk","Chaoborus",-1.78651030746052,-1.76207190429269,-7.48493960221365,-6.96259,-35.1768877118018,-31.1558818007549,-21.8429775909089,-26.644,-219.742467917706,-241.88497483148,-243.502396985442,-157.3064625,1.59788258583517,3.15105611080426,3.22710067094035,2.597857878,1.6711950518994,8.46743876813228,5.18817258357384,1.617015005,8.93876127065992,18.0565512315875,13.3311745689647,19.03892533
"C","Cladocera",-2.55960121578869,-0.568257828116714,-5.65560375653137,-6.19239,-27.5790998612962,-30.6099299500025,-25.004507838478,-28.37235,-181.141595541799,-200.042273949813,-218.280949176635,-157.3064625,1.5336777756308,4.08678529957558,4.12174889226158,2.72679794,1.59796555454575,3.51121459452221,3.40431348467309,1.540348521,10.9787902474405,17.2078254523263,14.392517523965,15.47038337
"Clear","Cladocera",-1.61805521508677,-0.627437897979545,-6.35461279041273,-6.19239,-31.3004105347688,-31.8308686735225,-22.5989244357265,-28.37235,-224.77942368132,-233.323595233946,-233.666122032872,-161.4372422,1.5561616151655,3.71586135752323,3.41042653078333,2.72679794,1.4918656729772,6.45662695746875,4.19713099497665,1.540348521,9.4255940629438,20.1413966239932,14.9852709205525,15.47038337
"L","Cladocera",-1.76084849254568,-0.581893599716907,-7.16843580919989,-6.19239,-26.7461132957902,-31.5896835528447,-25.0121276968435,-28.37235,-182.064063287491,-203.559304967697,-219.470117782629,-161.4372422,1.53888537725639,3.04480084338993,4.10912985589965,2.72679794,1.53843841961993,3.53668446956643,3.10234270215494,1.540348521,11.0683275147633,19.5289052677259,13.6235108798636,15.47038337
