"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",1.80376176315319,-0.492531292157974,-5.2798443685447,-6.19239,-30.2735041816133,-30.2438957541773,-25.1216759823104,-28.37235,-193.487963451878,-197.056731716079,-211.162985255854,-157.3064625,1.47661975655976,3.74497278224188,4.47860424022183,2.72679794,1.50906404109448,3.74883277593739,3.89334955536804,1.540348521,9.82367010746372,18.5469832986162,14.6830392860235,15.47038337
"Clear","Calanoida",3.91815452389908,-0.391332756159302,-6.49625931969583,-6.19239,-35.6558843697123,-31.5121312610225,-22.6844628851845,-28.37235,-230.245545384164,-241.887961136128,-229.467349249529,-161.4372422,1.4661918269694,3.41882752683922,3.39694963579496,2.72679794,1.49696952020717,6.31116962044683,4.38830041178093,1.540348521,9.86732660760646,19.3229316320607,15.1260809764148,15.47038337
"L","Calanoida",0.843048402503214,-0.843528660681303,-6.75609237215954,-6.19239,-28.4927496571072,-31.301688025159,-25.0142875974957,-28.37235,-181.880161802341,-207.702027794417,-220.358755832503,-161.4372422,1.62703743780036,2.83476886142451,3.98845707517765,2.72679794,1.53844514967162,3.5288068891915,3.18765868498275,1.540348521,10.8894533162251,17.6916172343721,15.384719090145,15.47038337
"Milk","Calanoida",1.46880846750838,-1.92274497883332,-7.47849029355554,-6.96259,-37.1506777751876,-31.5872487532558,-22.0162766606441,-26.644,-257.830202159652,-234.424034663457,-239.70701645531,-157.3064625,1.70537904804238,3.20905432956218,3.34929909108576,2.597857878,1.53404569967835,8.47212995962129,5.21909187398371,1.617015005,9.97562476030375,21.772955522339,13.0314251770546,19.03892533
"Mirror","Calanoida",0.910453496877381,-1.95969163694242,-6.17290732420313,-6.96259,-28.218070054249,-27.8355636445119,-20.2407195290788,-26.644,-226.217049586764,-232.663061184619,-240.619428399938,-161.4372422,1.65329900826217,3.09050007667154,3.86350916665226,2.597857878,1.57047161605119,5.49395497492807,10.3338412196468,1.617015005,9.98794885912374,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Calanoida",4.15874909604742,-0.998590586609869,-7.72542595573312,-6.19239,-34.6093871429246,-31.6872353418134,-20.4850887695174,-28.37235,-229.305993135664,-233.780737808523,-241.137221132675,-161.4372422,1.44004682127504,3.09263732138076,3.35491951569177,2.72679794,1.54329651287768,3.92682178316978,5.33292344368317,1.540348521,10.0414492607435,17.927050980278,14.6501706713687,15.47038337
"O","Calanoida",1.58044059814534,-0.85222528260659,-6.53189169095612,-6.19239,-28.2453737864622,-30.6562099035089,-25.040582544184,-28.37235,-184.81212459526,-197.458553109771,-208.961512766408,-161.4372422,1.59197133476668,3.70703054578008,6.07307954721157,2.72679794,1.54994366635235,4.53425154484618,3.72029915504319,1.540348521,10.0828565208896,21.9705983986724,16.3410820036258,15.47038337
"Y-015","Calanoida",0.553941644590324,-1.49137458001878,-7.42509794161072,-6.96259,-27.4518530796221,-30.1436792947851,-19.6001608906615,-26.644,-241.066369733706,-237.501255078756,-239.673152627241,-157.3064625,1.38648560660354,4.90758496413172,3.47331142945325,2.597857878,1.51089900168829,5.09102835690797,5.4634170486111,1.617015005,10.6416731492717,23.4535701970079,14.7148204863773,19.03892533
"Y-025","Calanoida",1.82982201216231,-1.37393329061914,-6.59923696613045,-6.96259,-25.3821709098125,-27.0451013271735,-21.6439615374512,-26.644,-235.710346401279,-239.97172382351,-241.870244111365,-157.3064625,1.56637360501733,3.08635074512413,3.27118409452431,2.597857878,1.59724659614316,6.26409063074552,5.00642024753934,1.617015005,11.8387202497447,19.4500593654794,14.2200038523801,19.03892533
"Z","Calanoida",2.38742860808529,-0.637485620512241,-6.83309342559743,-6.19239,-29.0389425678581,-31.6485544744834,-24.9276668696017,-28.37235,-173.121946941373,-192.520085314915,-218.839706330627,-157.3064625,1.43067809665982,2.85767029245773,3.55262243536771,2.72679794,1.68347178918674,3.79637825387773,3.33903479141874,1.540348521,10.1271915279535,21.8535142490198,14.7108474002054,15.47038337
"Milk","Chaoborus",4.3594173164193,-1.92274497883332,-7.47849029355554,-6.96259,-34.4731250898021,-31.5872487532558,-22.0162766606441,-26.644,-225.07896344805,-234.424034663457,-239.70701645531,-157.3064625,1.58997233793854,3.20905432956218,3.34929909108576,2.597857878,1.46081314503539,8.47212995962129,5.21909187398371,1.617015005,9.28161930743118,21.772955522339,13.0314251770546,19.03892533
"C","Cladocera",1.57132580410718,-0.492531292157974,-5.2798443685447,-6.19239,-27.4455186859682,-30.2438957541773,-25.1216759823104,-28.37235,-182.964836577981,-197.056731716079,-211.162985255854,-157.3064625,1.54909830881093,3.74497278224188,4.47860424022183,2.72679794,1.51964401525445,3.74883277593739,3.89334955536804,1.540348521,9.69100651776135,18.5469832986162,14.6830392860235,15.47038337
"Clear","Cladocera",2.26528747495695,-0.391332756159302,-6.49625931969583,-6.19239,-31.5350284542771,-31.5121312610225,-22.6844628851845,-28.37235,-220.79248581149,-241.887961136128,-229.467349249529,-161.4372422,1.54323213571179,3.41882752683922,3.39694963579496,2.72679794,1.58352354790035,6.31116962044683,4.38830041178093,1.540348521,11.049787677821,19.3229316320607,15.1260809764148,15.47038337
"L","Cladocera",1.51555547525903,-0.843528660681303,-6.75609237215954,-6.19239,-27.0955596800849,-31.301688025159,-25.0142875974957,-28.37235,-181.822831435692,-207.702027794417,-220.358755832503,-161.4372422,1.53676839646596,2.83476886142451,3.98845707517765,2.72679794,1.50444825247709,3.5288068891915,3.18765868498275,1.540348521,9.98829596996909,17.6916172343721,15.384719090145,15.47038337
"Morgenroth","Cladocera",2.59704975814002,-0.998590586609869,-7.72542595573312,-6.19239,-32.19958369893,-31.6872353418134,-20.4850887695174,-28.37235,-223.004419647353,-233.780737808523,-241.137221132675,-161.4372422,1.72600157531726,3.09263732138076,3.35491951569177,2.72679794,1.56096012685122,3.92682178316978,5.33292344368317,1.540348521,11.345627133709,17.927050980278,14.6501706713687,15.47038337
"O","Cladocera",0.820312117679975,-0.85222528260659,-6.53189169095612,-6.19239,-27.9039601394629,-30.6562099035089,-25.040582544184,-28.37235,-184.512655151143,-197.458553109771,-208.961512766408,-161.4372422,1.43633396480691,3.70703054578008,6.07307954721157,2.72679794,1.47113976354889,4.53425154484618,3.72029915504319,1.540348521,10.1556125515315,21.9705983986724,16.3410820036258,15.47038337
"Z","Cladocera",1.28366938900182,-0.637485620512241,-6.83309342559743,-6.19239,-28.5397129514386,-31.6485544744834,-24.9276668696017,-28.37235,-179.398044439384,-192.520085314915,-218.839706330627,-157.3064625,1.51424872762283,2.85767029245773,3.55262243536771,2.72679794,1.58131228376172,3.79637825387773,3.33903479141874,1.540348521,11.5220191059522,21.8535142490198,14.7108474002054,15.47038337
"Mirror","Salvelinus",5.88038332986724,-1.95969163694242,-6.17290732420313,-6.96259,-19.5447616068321,-27.8355636445119,-20.2407195290788,-26.644,-219.801226270075,-232.663061184619,-240.619428399938,-161.4372422,1.55286879047582,3.09050007667154,3.86350916665226,2.597857878,1.41953041678826,5.49395497492807,10.3338412196468,1.617015005,9.50892301438507,19.1339598867164,13.4029483704276,19.03892533
"Mirror","Salvelinus",6.03509619678904,-1.95969163694242,-6.17290732420313,-6.96259,-20.8101603903316,-27.8355636445119,-20.2407195290788,-26.644,-197.902457329199,-232.663061184619,-240.619428399938,-161.4372422,1.42941725407192,3.09050007667154,3.86350916665226,2.597857878,1.605501605683,5.49395497492807,10.3338412196468,1.617015005,10.0536373561884,19.1339598867164,13.4029483704276,19.03892533
"C","Trichoptera",0.581286139174949,-0.492531292157974,-5.2798443685447,-6.19239,-26.0878075901842,-30.2438957541773,-25.1216759823104,-28.37235,-202.948605886556,-197.056731716079,-211.162985255854,-157.3064625,1.48674355304026,3.74497278224188,4.47860424022183,2.72679794,1.39818290197251,3.74883277593739,3.89334955536804,1.540348521,10.850498445417,18.5469832986162,14.6830392860235,15.47038337
"C","Trichoptera",0.379946991369565,-0.492531292157974,-5.2798443685447,-6.19239,-26.3278636325324,-30.2438957541773,-25.1216759823104,-28.37235,-190.863575824712,-197.056731716079,-211.162985255854,-157.3064625,1.55383578136238,3.74497278224188,4.47860424022183,2.72679794,1.48854934675331,3.74883277593739,3.89334955536804,1.540348521,10.3423841938021,18.5469832986162,14.6830392860235,15.47038337
"Clear","Trichoptera",-1.7285166988717,-0.391332756159302,-6.49625931969583,-6.19239,-25.703556533793,-31.5121312610225,-22.6844628851845,-28.37235,-197.976253000885,-241.887961136128,-229.467349249529,-161.4372422,1.40957136309068,3.41882752683922,3.39694963579496,2.72679794,1.46160375715335,6.31116962044683,4.38830041178093,1.540348521,9.9045132463674,19.3229316320607,15.1260809764148,15.47038337
"Milk","Trichoptera",-2.34528460989701,-1.92274497883332,-7.47849029355554,-6.96259,-25.2113720011279,-31.5872487532558,-22.0162766606441,-26.644,-243.371770049138,-234.424034663457,-239.70701645531,-157.3064625,1.5925640272195,3.20905432956218,3.34929909108576,2.597857878,1.51837178682356,8.47212995962129,5.21909187398371,1.617015005,10.5728717822884,21.772955522339,13.0314251770546,19.03892533
"Mirror","Trichoptera",-1.60938766921313,-1.95969163694242,-6.17290732420313,-6.96259,-23.1643713485038,-27.8355636445119,-20.2407195290788,-26.644,-236.79386514643,-232.663061184619,-240.619428399938,-161.4372422,1.51386882241793,3.09050007667154,3.86350916665226,2.597857878,1.52683025692951,5.49395497492807,10.3338412196468,1.617015005,10.1826642089309,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Trichoptera",-1.12039725394303,-0.998590586609869,-7.72542595573312,-6.19239,-25.124862525816,-31.6872353418134,-20.4850887695174,-28.37235,-235.494957095752,-233.780737808523,-241.137221132675,-161.4372422,1.53738772761828,3.09263732138076,3.35491951569177,2.72679794,1.41744504761734,3.92682178316978,5.33292344368317,1.540348521,11.0032034233396,17.927050980278,14.6501706713687,15.47038337
"Morgenroth","Trichoptera",-0.891569745990537,-0.998590586609869,-7.72542595573312,-6.19239,-23.7890582811582,-31.6872353418134,-20.4850887695174,-28.37235,-252.896246667018,-233.780737808523,-241.137221132675,-161.4372422,1.51400348783535,3.09263732138076,3.35491951569177,2.72679794,1.49825018346377,3.92682178316978,5.33292344368317,1.540348521,10.5204015891421,17.927050980278,14.6501706713687,15.47038337
"No Name","Trichoptera",-1.48249892537547,-1.42686420153344,-6.54046805284092,-6.19239,-27.662532828603,-31.2649895661521,-22.8375428887722,-28.37235,-264.399832352751,-232.287255532643,-240.024408320568,-161.4372422,1.47727913946434,2.92624919601768,3.40554210698269,2.72679794,1.36349176080387,3.94031192827801,4.49358401262737,1.540348521,9.56468550114012,22.7916890810102,16.7888167539804,15.47038337
