"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.67784474538361,-0.256409065925594,-5.24415079313344,-6.19239,-30.5522548912777,-30.3269024196305,-25.233628108684,-28.37235,-191.757626227047,-263.658357748733,-213.226049445702,-157.3064625,1.56196636279266,3.58311279609712,4.2650686096077,2.72679794,1.45292723964691,3.97601509836814,3.84562677066249,1.540348521,10.1063577463787,16.6933648015077,14.3443612312341,15.47038337
"Clear","Calanoida",-0.0493763685251025,-0.920813343381505,-6.45752542162153,-6.19239,-35.7905196380095,-31.6909248401642,-22.8158484195508,-28.37235,-241.670087864691,-291.475554401619,-235.694456567973,-161.4372422,1.5661409718693,3.41281937092123,3.43667156509352,2.72679794,1.53650691552478,6.27359509021018,4.64606976351232,1.540348521,10.3330105093603,16.8664384133875,15.2600682522425,15.47038337
"L","Calanoida",-3.43841042900196,-0.760473395956682,-8.30336584773275,-6.19239,-28.2513999382956,-31.4416980039555,-24.8741909751375,-28.37235,-183.976471397481,-252.048520475758,-221.508986070983,-161.4372422,1.48313475621665,2.93663757135828,3.78450606052261,2.72679794,1.66224485135017,3.39722110139153,3.26099601434442,1.540348521,10.1192964787042,16.8285767425672,15.3977974616623,15.47038337
"Milk","Calanoida",-2.07145212829073,-1.90439171268283,-7.40791571853746,-6.96259,-36.9610514131413,-31.8238056227811,-21.9529547905604,-26.644,-256.291703502899,-300.146950813237,-239.889637899174,-157.3064625,1.4215530551924,3.2754268238996,3.28638703739411,2.597857878,1.48079607363742,7.81984821255032,5.25055568143728,1.617015005,11.0249094654919,17.252104843895,12.4377787725645,19.03892533
"Mirror","Calanoida",-3.24506091965733,-1.79098053372947,-6.61904525926778,-6.96259,-27.8554361217343,-27.8928162829159,-20.0828953577008,-26.644,-236.39505260482,-290.385472123276,-239.952440895899,-161.4372422,1.62359909017674,3.32441504770004,3.79921036850962,2.597857878,1.57777190382381,5.45972908541376,9.91037768350625,1.617015005,10.4865770285309,15.1375591823065,14.8290319273991,19.03892533
"Morgenroth","Calanoida",0.556514801660697,-1.02919198792343,-7.58278295345331,-6.19239,-35.0920201383197,-31.7979803321616,-20.0232976840265,-28.37235,-228.624270063531,-285.190460620723,-240.048016543102,-161.4372422,1.5708837926667,2.97713832769827,3.59635209819985,2.72679794,1.50740079446805,3.99926307632957,5.15206906788233,1.540348521,10.4352577311024,15.0654270656871,15.2191229906847,15.47038337
"O","Calanoida",-2.65683166791879,-0.481466521816246,-6.20911584425064,-6.19239,-28.4571504385588,-30.6467853023521,-25.0400151524552,-28.37235,-185.805930001165,-241.088605247073,-213.668282217579,-161.4372422,1.52306800561165,3.16024218072421,6.10018883118037,2.72679794,1.51753637393364,4.90298165908798,3.72630988381733,1.540348521,10.0292893937054,18.9977617642579,14.8064957496973,15.47038337
"Y-015","Calanoida",-3.40803010101035,-2.36530147156533,-7.49735917338292,-6.96259,-27.7667400235764,-30.1330054364462,-19.7665822941684,-26.644,-245.551064915854,-280.533852183361,-240.347768314746,-157.3064625,1.47798573406453,4.94296442525275,3.25851042058099,2.597857878,1.4784451931971,5.12155714163966,5.38649854318304,1.617015005,10.442193121383,17.1901862703736,13.885573847676,19.03892533
"Y-025","Calanoida",-1.89813472219373,-1.28989543606754,-6.60442331523403,-6.96259,-25.539605559277,-29.7065218932176,-21.8015556121861,-26.644,-240.894137133339,-290.58028267151,-242.916008976382,-157.3064625,1.48805752117304,3.17325172545746,3.12213441856618,2.597857878,1.70291992253546,6.35783671183207,4.99445807188306,1.617015005,10.4130168505806,14.7834446244782,14.3102199110802,19.03892533
"Z","Calanoida",-1.45114387758419,-0.74544886208098,-6.92319648067929,-6.19239,-29.4090462970558,-31.7479784384723,-25.0293300472835,-28.37235,-176.547698251981,-260.696067912493,-213.985001876314,-157.3064625,1.5136538048547,2.9564590749168,3.58752307678122,2.72679794,1.50222693978851,3.67234884875947,3.30897814640268,1.540348521,10.3202905096035,15.5420618788534,13.8700682992709,15.47038337
"Milk","Chaoborus",-1.78651030746052,-1.90439171268283,-7.40791571853746,-6.96259,-35.1768877118018,-31.8238056227811,-21.9529547905604,-26.644,-219.742467917706,-300.146950813237,-239.889637899174,-157.3064625,1.59788258583517,3.2754268238996,3.28638703739411,2.597857878,1.6711950518994,7.81984821255032,5.25055568143728,1.617015005,8.93876127065992,17.252104843895,12.4377787725645,19.03892533
"C","Cladocera",-2.55960121578869,-0.256409065925594,-5.24415079313344,-6.19239,-27.5790998612962,-30.3269024196305,-25.233628108684,-28.37235,-181.141595541799,-263.658357748733,-213.226049445702,-157.3064625,1.5336777756308,3.58311279609712,4.2650686096077,2.72679794,1.59796555454575,3.97601509836814,3.84562677066249,1.540348521,10.9787902474405,16.6933648015077,14.3443612312341,15.47038337
