"lake_name","sample_type","cons_N_u","phyto_N_u","peri_N_u","terr_N_u","cons_C_u","phyto_C_u","peri_C_u","terr_C_u","cons_H_u","phyto_H_u","peri_H_u","terr_H_u","cons_N_sd","phyto_N_sd","peri_N_sd","terr_N_sd","cons_C_sd","phyto_C_sd","peri_C_sd","terr_C_sd","cons_H_sd","phyto_H_sd","peri_H_sd","terr_H_sd"
"C","Calanoida",-2.11056113413575,-0.492531292157974,-5.2798443685447,-6.19239,-30.1673636579851,-30.2438957541773,-25.1216759823104,-28.37235,-158.786393596335,-197.056731716079,-211.162985255854,-157.3064625,1.48270525794531,3.74497278224188,4.47860424022183,2.72679794,1.39892864426643,3.74883277593739,3.89334955536804,1.540348521,10.1312454920057,18.5469832986162,14.6830392860235,15.47038337
"Clear","Calanoida",-0.205412713075006,-0.391332756159302,-6.49625931969583,-6.19239,-35.8602069581967,-31.5121312610225,-22.6844628851845,-28.37235,-202.12784737622,-241.887961136128,-229.467349249529,-161.4372422,1.51075814361152,3.41882752683922,3.39694963579496,2.72679794,1.2711256057806,6.31116962044683,4.38830041178093,1.540348521,10.7594000515165,19.3229316320607,15.1260809764148,15.47038337
"L","Calanoida",-3.66686883233893,-0.843528660681303,-6.75609237215954,-6.19239,-28.4076874450619,-31.301688025159,-25.0142875974957,-28.37235,-151.767830505932,-207.702027794417,-220.358755832503,-161.4372422,1.51108817601658,2.83476886142451,3.98845707517765,2.72679794,1.47473912642942,3.5288068891915,3.18765868498275,1.540348521,10.1684735046919,17.6916172343721,15.384719090145,15.47038337
"Milk","Calanoida",-2.65315554178898,-1.92274497883332,-7.47849029355554,-6.96259,-36.6472742545433,-31.5872487532558,-22.0162766606441,-26.644,-215.315164058663,-234.424034663457,-239.70701645531,-157.3064625,1.53833523726172,3.20905432956218,3.34929909108576,2.597857878,1.63967994315323,8.47212995962129,5.21909187398371,1.617015005,10.5506463251776,21.772955522339,13.0314251770546,19.03892533
"Mirror","Calanoida",-2.55123187198951,-1.95969163694242,-6.17290732420313,-6.96259,-28.2269443050061,-27.8355636445119,-20.2407195290788,-26.644,-195.198155001292,-232.663061184619,-240.619428399938,-161.4372422,1.53602459888068,3.09050007667154,3.86350916665226,2.597857878,1.60289272736047,5.49395497492807,10.3338412196468,1.617015005,11.4421385220283,19.1339598867164,13.4029483704276,19.03892533
"Morgenroth","Calanoida",0.323515951380372,-0.998590586609869,-7.72542595573312,-6.19239,-35.1553449164468,-31.6872353418134,-20.4850887695174,-28.37235,-196.627529298703,-233.780737808523,-241.137221132675,-161.4372422,1.57347075231359,3.09263732138076,3.35491951569177,2.72679794,1.44674740222459,3.92682178316978,5.33292344368317,1.540348521,10.7580545118219,17.927050980278,14.6501706713687,15.47038337
"O","Calanoida",-2.38217192116218,-0.85222528260659,-6.53189169095612,-6.19239,-28.4694607759848,-30.6562099035089,-25.040582544184,-28.37235,-150.040379093234,-197.458553109771,-208.961512766408,-161.4372422,1.40891921302874,3.70703054578008,6.07307954721157,2.72679794,1.55008248383022,4.53425154484618,3.72029915504319,1.540348521,10.9064406007771,21.9705983986724,16.3410820036258,15.47038337
"Y-015","Calanoida",-3.64837080457011,-1.49137458001878,-7.42509794161072,-6.96259,-27.6568252766084,-30.1436792947851,-19.6001608906615,-26.644,-202.794016092616,-237.501255078756,-239.673152627241,-157.3064625,1.6098745941177,4.90758496413172,3.47331142945325,2.597857878,1.49975590387211,5.09102835690797,5.4634170486111,1.617015005,12.0094298771805,23.4535701970079,14.7148204863773,19.03892533
"Y-025","Calanoida",-1.91544953245501,-1.37393329061914,-6.59923696613045,-6.96259,-25.2702665658792,-27.0451013271735,-21.6439615374512,-26.644,-204.159570768802,-239.97172382351,-241.870244111365,-157.3064625,1.42921298850149,3.08635074512413,3.27118409452431,2.597857878,1.49235778753764,6.26409063074552,5.00642024753934,1.617015005,11.3799802202875,19.4500593654794,14.2200038523801,19.03892533
"Z","Calanoida",-1.34739555275232,-0.637485620512241,-6.83309342559743,-6.19239,-29.8046732109792,-31.6485544744834,-24.9276668696017,-28.37235,-144.452086010276,-192.520085314915,-218.839706330627,-157.3064625,1.48132151044791,2.85767029245773,3.55262243536771,2.72679794,1.49192394948084,3.79637825387773,3.33903479141874,1.540348521,10.4328078065159,21.8535142490198,14.7108474002054,15.47038337
